Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40
37:26.2,0.13688013,0.17820084,-0.31816,-0.03698601,-0.024909295,-0.123522036,-0.45606732,0.057201084,0.8363679,0.027090868,-0.02364119,1.0306466,0.29864028,-0.040545307,0.07853661,0.23663299,-0.05257755,-0.4331961,-0.22378992,0.066756904,865.4945,857.8388,848.1685,730.9158,867.9121,100,0,0.123840332,0.011779785,0.985534668,1.457977295,2.534637451,2.123413086,1,1,1,1,1,91.08
37:26.8,0.030104993,0.047893286,-0.41064686,0.066324145,-0.14541727,-0.22140567,-0.51630014,0.08218494,0.72538215,-0.13997401,-0.02364119,1.0315697,0.2777574,0.005982264,-0.07843855,0.20555402,-0.03848181,-0.26164755,-0.22567528,0.010635346,860.65936,864.68866,846.1539,948.49817,978.315,100,0,0.118713379,0.013549805,0.982849121,1.338348389,2.82623291,2.086029053,1,1,1,1,1,91.06
37:27.3,0.05737463,-0.14295404,-0.36309582,0.12625518,-0.14670567,-0.2644181,-0.5133992,0.08641549,0.579968,-0.14664772,-0.06983671,0.9663917,0.3507254,0.000117,-0.07969216,0.17127742,0.030495308,-0.17909472,-0.25654018,0.0697911,851.79486,858.6447,849.3773,1034.7252,963.8095,100,0,0.123962402,0.009521484,0.98425293,0.82244873,2.429962158,1.95892334,1,1,1,1,1,91.06
37:27.8,-0.066697344,-0.21148561,-0.3876677,0.043037627,-0.20493378,-0.38290495,-0.82012033,-0.13698284,0.5701197,-0.07552684,-0.25069386,0.7909434,0.24418366,-0.023849538,-0.07552359,0.06834369,0.021317355,-0.082611755,-0.25547764,-0.005106233,864.68866,849.3773,845.34796,880.80585,772.01465,100,0,0.122924805,0.01361084,0.985595703,1.226196289,2.669219971,2.385101318,1,1,1,1,1,91.06
37:28.3,0.069209345,-0.15484339,-0.3182248,-0.039719403,0.13562144,-0.3895573,-0.71744484,0.13881566,0.6915524,-0.14204589,-0.3369906,0.75411177,0.21563846,-0.047907684,0.019262046,0.07514864,0.08231025,-0.070712246,-0.24335137,0.006049201,850.18317,856.2271,855.82416,858.24176,945.6777,100,0,0.124938965,0.010620117,0.985229492,1.196289063,2.549591064,2.235565186,1,1,1,1,1,91.06
37:28.8,0.30369294,-0.09149195,-0.24795268,0.34085447,0.21724688,-0.4779934,-0.83110476,0.3139131,0.6931897,-0.14263023,-0.35863534,0.80131143,0.12076892,-0.086439446,0.11892008,0.08421942,0.09426723,-0.06985113,-0.2750714,0.029360002,860.2564,851.39197,854.61536,702.3077,810.696,100,0,0.121643066,0.01385498,0.987304688,0.971984863,3.110351563,1.86920166,1,1,1,1,1,91.06
37:29.3,0.30026647,0.32011467,-0.04807164,0.39481947,0.2412072,-0.21350932,-0.57942116,0.38140422,0.68966925,-0.297381,0.011112239,0.7939761,0.19541995,0.008829324,0.12769817,0.20299444,0.056883797,-0.12044443,-0.3695068,0.018673243,855.42126,844.94507,849.3773,915.05493,987.1795,100,0,0.120056152,0.01574707,0.985351563,1.390686035,2.415008545,2.519683838,1,1,1,1,1,91.06
37:29.8,0.25505212,0.34107468,0.005643728,0.4055694,0.004729662,-0.2572558,-0.59537584,0.2988521,0.50322044,-0.16563855,0.044557955,0.8984144,0.20021336,-0.011370146,0.14689012,0.2595614,-0.056157157,-0.12312915,-0.42285332,0.05162592,857.8388,856.63007,858.6447,730.5128,709.9634,100,0,0.117492676,0.015991211,0.983520508,1.114044189,2.228088379,2.512207031,1,1,1,1,1,91.06
37:30.3,-0.086605325,0.2904696,-0.06350221,0.084738635,-0.060759626,-0.18219188,-0.53802097,0.2300514,0.38933408,-0.045355,0.044776313,0.8986976,0.2385465,-0.022849184,0.11011548,0.31673265,-0.09572347,-0.18475278,-0.36372676,0.000258,854.61536,856.63007,850.18317,672.8938,775.64105,100,0,0.121582031,0.016418457,0.986206055,1.360778809,2.332763672,2.377624512,1,1,1,1,1,91.06
37:30.8,-0.07562591,-0.271427,-0.48683196,0.019727152,-0.01950563,-0.3261111,-0.6632662,0.13395984,0.37037894,-0.058789905,-0.115607075,0.8986976,0.15072471,-0.18218552,0.11654383,0.28560346,-0.106899425,-0.22521196,-0.3592481,-0.038962174,853.00366,848.5714,849.3773,841.31866,958.5714,100,0,0.119140625,0.018859863,0.98626709,0.971984863,2.796325684,2.415008545,1,1,1,1,1,91.06
37:31.3,0.006393849,-0.5864325,-0.7799755,-0.030194687,0.07306359,-0.27084285,-0.66789526,0.053435057,0.3743629,-0.064786494,-0.14020085,0.83869356,0.17312287,-0.1545862,0.072039224,0.2712923,-0.07017687,-0.3619963,-0.29656845,-0.10567943,853.8095,858.24176,855.42126,1021.02563,1004.5055,100,0,0.116149902,0.016601563,0.98236084,0.91217041,3.386993408,2.175750732,1,1,1,1,1,91.06
37:31.9,-0.002179407,-0.43119743,-0.9741971,-0.16382669,0.011355669,-0.2021214,-0.67360485,-0.18929316,0.45296603,-0.30573183,-0.14519162,0.3377979,0.2356018,-0.071025915,0.047876433,0.21481065,-0.042707518,-0.41819033,-0.35674015,-0.08138212,855.0183,849.3773,838.49817,651.53845,728.49817,100,0,0.117492676,0.018981934,0.985656738,1.443023682,2.788848877,2.504730225,1,1,1,1,1,91.06
37:32.4,0.13241291,-0.18190539,-0.5952248,-0.04047535,-0.050788272,-0.26693273,-0.5007614,-0.1645707,0.62587875,-0.06245103,-0.1688698,0.39289582,0.24951209,-0.025421698,0.026222803,0.23767446,-0.028982706,-0.48565304,-0.3089175,-0.054748897,855.42126,855.42126,853.00366,815.12823,934.3956,100,0,0.110290527,0.017333984,0.983886719,1.315917969,2.84866333,2.213134766,1,1,1,1,1,91.06
