Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38
53:42.2,1.2804263,1.5844821,0.4584149,1.3680785,0.8054462,0.69938904,-0.028962057,0.8621413,0.88389426,0.67405593,-0.003481846,1.2185991,0.020052573,1.2810351,-0.016869547,0.26964363,-0.018869925,0.7372823,-0.15001564,0.044086255,864.68866,954.94507,848.5714,858.24176,903.36993,0.303894043,0.267456055,0.910400391,1.241149902,3.050537109,2.444915771,1,1,1,1,1,81.66
53:42.7,1.3907406,1.5844821,0.25172248,1.4689641,0.9932827,0.69938904,-0.23466201,1.085198,0.92085993,0.67405593,0.096618325,1.2388141,0.016049217,1.2810351,-0.039446574,0.32595795,-0.03682797,0.7372823,-0.088608176,-0.056020394,877.98535,986.3736,848.97437,871.53845,905.38464,0.297973633,0.264526367,0.908996582,-0.157012939,2.609405518,2.018737793,1,1,1,1,1,81.63
53:43.2,1.6840978,1.5844821,0.22914067,1.7193415,1.0775168,0.69938904,-0.1265513,1.1496296,0.84177953,0.67405593,0.094669804,1.1718756,0.09884716,1.2810351,-0.06619393,0.28397098,-0.07901914,0.7372823,-0.12840904,-0.061384987,845.34796,1100.8059,850.58606,848.1685,812.3077,0.302612305,0.269775391,0.908447266,0.672912598,2.729034424,1.742095947,1,1,1,1,1,81.63
53:43.7,1.7747881,1.5844821,0.19364087,1.799042,1.1299816,0.69938904,-0.0684241,1.1597114,0.6885766,0.67405593,0.08409729,0.7923052,0.19734478,1.2810351,-0.084213026,0.23873992,-0.14702775,0.7372823,-0.030132443,-0.053028744,834.4689,937.619,850.18317,836.4835,790.14655,0.301452637,0.265808105,0.910095215,0.702819824,2.257995605,2.572021484,1,1,1,1,1,81.63
53:44.2,1.7495754,1.5844821,0.16906805,1.7775148,1.0911354,0.69938904,-0.17900066,1.0539058,0.6024526,0.67405593,-0.054298237,0.7307086,0.20835869,1.2810351,-0.075295545,0.17970626,-0.069960676,0.7372823,-0.07170577,0.038823504,827.2161,914.2491,853.00366,824.7985,882.4176,0.299194336,0.272155762,0.907958984,0.897216797,2.91595459,2.84866333,1,1,2,1,1,81.63
53:44.7,1.5557412,1.5844821,0.038755964,1.6290369,1.069414,0.69938904,-0.3248268,1.0915437,0.62835443,0.67405593,-0.011200551,0.7326833,0.307477,1.2810351,-0.003386524,0.20252621,-0.04040858,0.7372823,-0.03430891,0.11480702,869.12085,929.15753,861.06226,863.47986,899.34064,0.300354004,0.271484375,0.913574219,0.157012939,2.564544678,1.82434082,1,1,2,1,1,81.63
53:45.3,1.344607,1.5844821,-0.19268449,1.4940952,0.80087274,0.69938904,-0.24665679,0.92657745,0.62765825,0.67405593,-0.06558887,0.6130143,0.36032602,1.2810351,-0.016231693,0.22352822,-0.015230785,0.7372823,-0.061963543,0.09923187,864.2857,912.23444,852.6007,858.6447,916.6667,0.299987793,0.26763916,0.911132813,0.493469238,2.534637451,2.347717285,1,1,2,1,1,81.63
53:45.8,1.3730756,1.5844821,-0.13134612,1.503602,0.7232934,0.69938904,-0.23653702,0.8974716,0.54288995,0.67405593,0.028962592,0.6337002,0.3394295,1.2810351,-0.041689057,0.24691316,-0.00176226,0.7372823,-0.052638877,-0.011029423,813.91943,923.91943,856.63007,822.7839,817.5458,0.297119141,0.268066406,0.913208008,0.538330078,2.743988037,3.207550049,1,1,1,1,1,81.63
53:46.3,1.3949728,1.5844821,0.069472164,1.511637,0.5321688,0.69938904,-0.17439483,0.6974671,0.6498939,0.67405593,0.32982758,1.0562508,0.2080447,1.2810351,-0.08885146,0.3236861,0.00803822,0.7372823,-0.12422482,-0.0702662,836.4835,909.41394,850.989,832.8571,810.696,0.297790527,0.268432617,0.912597656,0.13458252,2.519683838,1.577606201,1,1,2,1,1,81.63
53:46.8,1.3327373,1.5844821,-0.024051169,1.4094555,0.48905239,0.69938904,-0.34734094,0.5664268,0.67150944,0.67405593,0.32982758,1.0549854,0.20095518,1.2810351,0.03674972,0.34944278,-0.005347748,0.7372823,-0.16977869,-0.08908011,860.2564,943.2601,853.4066,851.79486,903.36993,0.300292969,0.268798828,0.912658691,0.538330078,2.923431396,2.586975098,1,1,2,1,1,81.63
