Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40
10:53.5,0.79243577,1.0374266,0.6889725,0.927775,0.55172145,0.7377193,0.1829531,0.5500049,1.2715161,0.60124403,0.1751907,1.2965943,0.6215569,0.8960188,0.09473384,1.0695652,0.3326464,0.3748093,-0.35323164,0.6637266,784.90845,877.5824,831.2454,841.7216,628.1685,100,0,0.259155273,0.172485352,0.944152832,0.852355957,2.280426025,2.773895264,1,1,1,1,1,54
10:54.0,0.95417446,1.1445396,1.0043563,1.044584,0.66288817,0.8794974,0.48455992,0.57687736,1.2626873,0.53208566,0.2359972,1.2953633,0.6712948,0.8857239,0.05135562,1.1172168,0.34524313,0.3902837,-0.29674974,0.7307964,791.75824,829.2308,859.0476,824.7985,650.32965,100,0,0.252624512,0.163818359,0.948120117,0.194396973,2.572021484,2.310333252,1,1,1,1,1,54
10:54.5,0.95417446,1.1018764,1.0569419,1.044584,0.66288817,0.96098375,0.5368571,0.57687736,1.2626873,0.5353292,0.23652081,1.2953633,0.6712948,0.8324524,-0.010838538,1.1172168,0.34524313,0.47593942,-0.3065724,0.7307964,887.6557,880.40295,872.74725,879.19415,768.3883,100,0,0.244567871,0.164428711,0.947387695,0.500946045,3.058013916,2.272949219,1,1,1,1,1,54
10:55.0,1.3754737,0.9420893,1.0160184,1.474908,0.644093,0.4408579,0.4858665,0.873942,1.2098364,0.55103296,0.25203162,1.1238074,0.6474897,0.7276353,0.017485963,0.79210216,0.34021667,0.5458505,-0.31816545,1.0226955,1000.4762,867.1062,852.1978,914.65204,814.3223,100,0,0.248596191,0.172180176,0.946716309,1.054229736,1.876678467,2.975769043,1,1,1,1,1,54
10:55.5,1.3870822,1.115288,0.95076686,1.474908,0.6927867,0.6163879,0.52315277,0.873942,1.2217395,0.61676794,0.45999208,1.1238074,0.64166486,0.7089595,-0.02190078,0.79210216,0.3300252,0.40943697,-0.33254722,1.0226955,776.8498,850.18317,863.47986,818.7546,645.89746,100,0,0.246704102,0.166015625,0.950439453,0.321502686,2.190704346,2.228088379,1,1,1,1,1,54
10:56.0,1.3870822,1.2166879,0.9947835,1.474908,0.6927867,0.7463253,0.58077246,0.873942,1.2217395,0.61676794,0.49892274,1.1238074,0.64166486,0.70157343,-0.018875815,0.79210216,0.3300252,0.38354915,-0.37621078,1.0226955,813.5165,873.5531,869.5238,792.1612,728.0952,100,0,0.241149902,0.166259766,0.951599121,0.710296631,2.639312744,2.138366699,1,1,1,1,1,54
10:56.5,1.4302753,1.295118,1.0565983,1.474908,0.73555154,0.9750382,0.74038005,0.873942,1.0638652,0.5441127,0.49073073,1.1238074,0.57384604,0.76928663,-0.09796791,0.79210216,0.3497952,0.13009943,-0.4385053,1.0226955,858.6447,889.67035,887.25275,833.2601,813.91943,100,0,0.247192383,0.170471191,0.949462891,0.403747559,2.355194092,2.317810059,1,1,1,1,1,54
10:57.1,1.4302753,1.3020159,1.0271688,1.474908,0.73555154,1.0516312,0.7132316,0.873942,1.0638652,0.5093811,0.5035457,1.1238074,0.57384604,0.8483021,-0.11408099,0.79210216,0.3497952,0.16159117,-0.5226093,1.0226955,985.16486,882.8205,863.8828,913.44324,840.9158,100,0,0.246520996,0.168151855,0.949768066,0.672912598,2.796325684,2.497253418,1,1,1,1,1,54
10:57.6,1.4302753,1.3792244,1.2036362,1.474908,0.73555154,0.92123455,0.74600923,0.873942,1.0638652,0.58025604,0.39926863,1.1238074,0.57384604,0.79764235,-0.06261273,0.79210216,0.3497952,0.20816445,-0.3920845,1.0226955,878.3883,885.64105,869.12085,859.45056,822.381,100,0,0.240112305,0.162109375,0.950317383,0.261688232,3.207550049,2.04864502,1,1,1,1,1,54
10:58.1,1.4302753,1.5490423,1.2334685,1.474908,0.73555154,0.93010306,0.678135,0.873942,1.0638652,0.5867632,0.272953,1.1238074,0.57384604,0.74916553,-0.007991141,0.79210216,0.3497952,0.24173866,-0.33315742,1.0226955,978.71796,856.2271,863.0769,879.59705,855.0183,100,0,0.244445801,0.17010498,0.949768066,0.710296631,2.370147705,2.220611572,1,2,1,1,2,54
