TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
41:43.4,1.5301986,0.410959,0.38906077,1.531534,1.0851622,-0.07901221,0.11711698,1.136214,1.1349359,-0.20652357,0.27793324,1.2714499,0.34186575,-0.25031787,0.11246885,0.5089798,0.22879617,-0.36862433,-0.28397322,0.20565554,815.9341,835.2747,821.978,726.8865,780.07324,100,0,0.042480469,0.271606445,0.959472656,1.136474609,2.773895264,2.773895264,1,1,1,1,1,58.84,NaN
41:43.9,1.5494846,0.48640203,0.5497229,1.5532731,1.0970212,-0.05465719,0.17353147,1.1248304,0.92807484,-0.18555945,0.26277485,1.1831394,0.33693144,-0.1708419,0.111768365,0.44006738,0.28900012,-0.3809946,-0.3025163,0.22121397,857.03296,838.0952,835.6777,891.28204,954.5421,98,0,0.042541504,0.270629883,0.954711914,0.82244873,2.415008545,2.751464844,1,1,1,1,1,58.84,NaN
41:44.4,1.4923402,0.45495605,0.63312405,1.5483686,1.0888056,-0.12712891,0.17940171,1.1541657,1.0819542,0.079657495,0.3082043,1.0732511,0.5260329,-0.15637238,0.097365595,0.50341904,-0.001608675,-0.37338722,-0.2805771,-0.060161874,837.6923,845.7509,865.09155,946.4835,990,90.00001,0,0.04119873,0.266784668,0.955200195,0.971984863,3.072967529,2.549591064,1,1,1,1,1,58.84,NaN
41:44.9,1.0233972,0.538227,0.65082496,0.95413876,0.726952,-0.19237505,0.07721653,0.85237414,1.0643252,0.079657495,0.20346116,0.9658905,0.46999863,-0.17854013,0.13868953,0.49597198,-0.20361307,-0.3664344,-0.3040357,-0.07893049,848.97437,848.97437,843.73627,867.1062,791.75824,98,0,0.040100098,0.273254395,0.95690918,1.009368896,2.82623291,2.527160645,1,1,1,1,1,58.84,NaN
41:45.5,0.8827352,0.43946412,0.41052324,0.77767867,0.6061905,-0.3904298,-0.09202611,0.637035,1.0869116,0.039339628,0.20328106,0.96644884,0.4167955,-0.21498719,0.107565835,0.36921525,-0.23677479,-0.4769339,-0.38618952,-0.08015063,851.79486,856.2271,848.1685,881.6117,926.337,100,0,0.043701172,0.270751953,0.954711914,1.443023682,2.968292236,2.73651123,1,1,1,1,1,58.84,NaN
41:46.0,0.50671995,0.41127104,0.34713763,0.512652,0.32490683,-0.4768419,-0.3081483,0.37488848,1.1309351,-0.033079658,0.12055499,0.9355093,0.3758461,-0.23611596,0.018192487,0.2763085,-0.28054586,-0.67927307,-0.29676813,-0.053416047,846.9597,854.61536,873.1502,956.9597,978.71796,100,0,0.048706055,0.272827148,0.960693359,0.762634277,1.764526367,2.452392578,1,1,1,1,1,58.84,NaN
41:46.5,0.4775946,0.25649565,0.38037848,0.5317148,0.33646563,-0.37088278,-0.43667075,0.33017662,0.96165043,-0.040355936,-0.019370338,1.0880827,0.4484695,-0.2472195,-0.055974547,0.23457222,-0.051975075,-0.6665728,-0.30164337,0.21525261,847.3626,856.2271,849.3773,863.8828,791.75824,100,0,0.045227051,0.271362305,0.958984375,0.762634277,3.132781982,2.138366699,1,1,1,1,1,58.84,NaN
41:47.0,0.3691622,0.054078758,0.39736483,0.51060385,0.21103145,-0.40159994,-0.49598518,0.37426552,0.91429335,-0.14811777,0.027908064,1.0949488,0.41936153,-0.18214233,-0.007668163,0.24451378,-0.021226222,-0.6605484,-0.2704841,0.27186394,852.1978,855.0183,869.5238,926.337,916.6667,100,0,0.044433594,0.268798828,0.953186035,1.241149902,0.814971924,3.334655762,1,1,1,1,1,58.84,NaN
41:47.5,0.29357767,-0.25985023,0.21301322,0.3792342,0.19822699,-0.40899342,-0.66693103,0.33183458,0.795956,-0.19580303,-0.08966824,1.0955411,0.36461568,-0.10769334,0.07160192,0.29547298,-0.028284004,-0.6084806,-0.35280985,0.26005232,838.0952,849.3773,840.10986,797.3993,862.674,100,0,0.043884277,0.27331543,0.954284668,0.82244873,2.542114258,2.549591064,1,1,1,1,1,58.84,NaN
41:48.0,0.3023291,-0.20127319,-0.010511142,0.19313286,0.14521694,-0.2911255,-0.5746698,-0.08258726,0.5294508,-0.34848997,-0.12811194,0.89432776,0.23384464,-0.1303476,0.11428882,0.32296088,-0.19038676,-0.6583398,-0.3019935,-0.084246285,849.3773,847.3626,824.3956,759.5238,728.9011,100,0,0.048828125,0.270874023,0.95513916,0.441131592,2.235565186,2.355194092,1,1,1,1,1,58.84,NaN
