TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
39:25.5,1.1406771,0.47004777,0.7677188,1.2310418,0.5952677,-0.11633644,-0.029051516,0.45935363,1.1100543,0.2163166,0.7518079,0.5923137,1.097285,0.3837228,0.55909854,0.6696739,0.6265327,-0.03894581,0.33864897,0.40106368,822.7839,850.989,837.28937,780.4762,844.5421,0,0,0.176635742,0.308166504,0.936096191,0.418701172,2.901000977,2.467346191,1,1,1,1,1,65.73,NaN
39:26.0,1.0847728,0.08938264,0.61216545,1.1452016,0.34018123,-0.305774,0.007013025,0.4618085,0.63300824,0.056713,0.07573112,0.6410735,0.37107384,-0.12736359,0.1603848,0.66017866,0.1812453,-0.23902644,-0.08414394,0.38797465,811.50183,865.89746,863.8828,951.31866,998.0586,0,0,0.178039551,0.306518555,0.930480957,1.106567383,2.990722656,2.639312744,1,1,1,1,1,65.73,NaN
39:26.5,0.9383777,-0.019686485,0.36200798,1.1043904,0.33211464,-0.3292137,0.14576745,0.530136,0.9069794,-0.10356854,0.07573112,1.0136775,0.3457347,-0.32027313,0.11397894,0.5256638,0.019791538,-0.5864189,-0.26099637,0.3641477,821.1722,853.00366,853.00366,893.69965,819.15753,0,0,0.1796875,0.313354492,0.929199219,0.897216797,2.564544678,2.930908203,1,1,1,1,1,65.73,NaN
39:27.0,1.0453596,0.19471942,0.4198288,1.1954157,0.38338998,-0.3267674,0.2874414,0.63974303,0.9280849,-0.15824302,0.070430785,1.0179187,0.37241194,-0.26404953,0.10766178,0.51838964,0.04939352,-0.5812231,-0.28644413,0.34951007,822.7839,853.4066,830.4396,720.0366,683.7729,0,0,0.18371582,0.313903809,0.929321289,0.777587891,3.162689209,2.153320313,1,1,1,1,1,65.73,NaN
39:27.5,1.3027654,0.26577058,0.9512071,1.3786278,0.535209,-0.26383364,0.50689274,0.7784289,0.9739408,0.13925643,0.2559799,1.0951153,0.4423756,-0.18540883,0.10062098,0.51948386,0.10134689,-0.2935714,-0.2090558,0.3440123,838.0952,856.2271,850.18317,813.91943,861.4652,0,0,0.179260254,0.311401367,0.930175781,0.598144531,2.684173584,2.751464844,1,1,1,1,1,65.73,NaN
39:28.0,1.4954468,0.24871163,1.0479347,1.4757454,0.65776384,-0.22532193,0.5462367,0.7539549,1.0350722,0.14755195,0.262194,1.0510409,0.47756308,-0.128645,0.107650585,0.60808384,0.32511684,-0.092678875,-0.12302009,0.4575185,809.89014,853.4066,862.27106,958.5714,1016.5934,0,0,0.178466797,0.307006836,0.930114746,0.553283691,2.429962158,2.624359131,1,1,1,1,1,65.73,NaN
39:28.6,1.4863973,0.21220937,1.0751623,1.4637632,0.7339629,-0.32728773,0.5290506,0.6751584,1.1376383,0.3096269,0.262194,1.0558124,0.5517526,-0.111246645,0.11687037,0.67231673,0.57879394,0.028070632,-0.005883293,0.7418381,831.2454,855.0183,840.10986,881.6117,790.54944,0,0,0.166259766,0.301330566,0.937866211,0.127105713,1.951446533,3.790740967,1,1,1,1,1,65.73,NaN
39:29.1,1.3638009,0.3790482,0.8840586,1.337868,0.61697096,-0.29990557,0.32401082,0.55347866,1.107933,0.4394854,0.16012916,1.1104778,0.62732,-0.11942324,0.08253939,0.7487664,0.64300907,0.026900198,-0.032538183,0.77358586,809.4872,845.7509,837.6923,713.9927,686.1905,0,0,0.175476074,0.303222656,0.934204102,0.97946167,1.988830566,3.050537109,1,1,1,1,1,65.73,NaN
39:29.6,1.1821793,0.349241,1.0446911,1.1675861,0.520361,-0.27558193,0.41990173,0.523264,1.1158414,0.4394854,0.13833697,1.2488668,0.71480536,-0.07779358,0.14140408,0.94582,0.68267775,0.12424229,0.042412743,0.8031355,828.8278,855.82416,873.1502,973.47986,992.4176,0,0,0.180786133,0.308105469,0.935791016,0.814971924,2.751464844,2.205657959,1,1,1,1,1,65.73,NaN
39:30.1,1.179066,0.27184865,1.2370154,1.1599299,0.5300983,-0.1480472,0.574154,0.5447713,1.0875257,0.43935072,0.30100995,1.2457956,0.8131152,0.04209563,0.12748657,0.95087075,0.601927,0.18472405,0.120460525,0.65044963,833.663,868.315,828.022,815.12823,748.24176,0,0,0.175415039,0.307678223,0.930969238,0.770111084,3.491668701,2.370147705,1,1,1,1,1,65.73,NaN
