Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38
10:37.8,1.2844845,1.1324677,1.4831134,1.8064423,1.0372733,0.5665061,0.8690124,0.42464668,1.5059997,0.5136186,0.7226935,1.4168878,0.5688974,-0.13773489,-0.14212987,0.5891431,0.5131114,-0.43184668,-0.2515767,0.47895062,794.17584,886.4469,873.1502,808.68134,716.4103,0.093811035,0.208435059,0.977722168,0.239257813,2.661743164,4.284210205,1,1,1,1,1,98.91
10:38.3,1.2770075,0.87249696,1.3649701,1.738649,1.1862525,0.45657027,0.7502354,0.19220866,1.5055674,0.40196368,0.7184203,1.339729,0.3764437,-0.3786986,-0.2705908,0.508208,0.20518276,-0.35888922,-0.3256196,0.47091436,791.3553,886.04395,872.3443,755.4945,913.8461,0.043579102,0.204711914,0.970031738,1.884155273,8.000183105,10.01144409,1,1,1,1,1,98.91
10:38.8,1.2770075,0.5355157,1.188028,1.4352338,1.1862525,0.14163037,0.5645492,0.5636357,1.5055674,0.3060453,0.6368125,1.0925255,0.3764437,-0.37676695,-0.26068935,0.64124566,0.20518276,-0.43991664,-0.38250026,0.308998,817.5458,872.3443,893.69965,850.18317,1016.5934,0.053894043,0.198852539,0.971862793,0.104675293,1.308441162,2.198181152,1,1,1,1,1,98.91
10:39.3,1.939719,0.118444,1.1103638,1.2550441,0.8976865,-0.028202346,0.2881555,0.57854044,1.0949086,-0.11161983,0.08666218,1.1433759,0.6312072,-0.25388885,-0.18042713,0.58792603,0.28276512,-0.44390732,-0.4394939,0.1900648,878.7912,878.3883,882.01465,883.22345,872.74725,0.059326172,0.212280273,0.967590332,1.82434082,2.609405518,3.656158447,1,1,1,1,1,98.91
10:39.8,1.8129054,0.26346138,1.1522994,1.1922632,0.72380877,0.084377795,0.16542032,0.54819906,1.1082128,-0.1245984,0.06964724,1.1720376,0.5203339,-0.09064711,-0.07221793,0.5255903,0.25468746,-0.28566328,-0.39480275,0.14411357,823.5897,871.9414,876.77655,800.2198,861.4652,0.064758301,0.20703125,0.969116211,0.254211426,2.639312744,2.145843506,1,1,1,1,1,98.91
10:40.3,1.784137,0.4459815,1.1663557,1.4822894,0.7017929,0.22636029,0.26202357,0.6959973,1.319002,0.16806225,0.14940749,1.2612393,0.45031503,0.019738939,0.002618258,0.43766063,0.23834556,-0.21868777,-0.3705725,0.10881971,885.64105,864.68866,867.50916,888.46155,1014.17584,0.067138672,0.201904297,0.973815918,-1.256103516,2.654266357,1.667327881,1,1,1,1,1,98.91
10:40.9,1.538833,0.3495782,1.0414722,1.4977251,0.54610443,0.09031645,0.04196574,0.68614,1.3675139,0.16032925,0.25071198,1.347172,0.33187947,-0.0384772,0.08764299,0.42777866,0.1804256,-0.22370526,-0.3622328,0.09460803,864.2857,883.6264,826.0073,841.31866,777.25275,0.077392578,0.209960938,0.96685791,-1.143951416,2.512207031,0.515899658,1,1,1,1,1,98.91
10:41.4,1.4456315,0.54187346,0.917431,1.5135181,0.7621447,0.3198486,0.59847456,0.7457668,1.3313402,0.5428383,0.83203286,1.3591369,0.34141552,-0.18198529,0.15807572,0.38907057,0.16412535,-0.4038228,-0.40010852,0.09349406,859.0476,860.65936,853.4066,847.3626,838.0952,0.069702148,0.201965332,0.972473145,-0.224304199,2.601928711,2.497253418,1,1,1,1,1,98.91
10:41.9,1.26153,0.59558654,0.87217164,1.1265528,0.80886304,0.33540708,0.6963944,0.65780616,1.3490394,0.5409284,0.8335184,1.3556721,0.39735508,-0.35770696,0.14761609,0.32499766,0.111640275,-0.55052555,-0.35747883,-0.003151552,776.4469,859.85345,851.39197,746.63007,668.86444,0.069213867,0.194519043,0.970275879,-1.099090576,2.706604004,2.198181152,1,1,1,1,1,98.78
10:42.4,1.4014318,0.6090743,0.8879685,1.1524541,0.97590303,0.32782784,0.7099777,0.751818,1.1179817,0.5409284,0.8335184,1.2547722,0.3917754,-0.31899142,0.042430315,0.17244112,0.044484008,-0.70282865,-0.38469142,-0.07778554,775.2381,855.82416,848.5714,756.7033,841.31866,0.075012207,0.198303223,0.972717285,0.418701172,2.063598633,2.751464844,1,1,1,1,1,98.78
10:42.9,1.6548654,0.42813373,0.7209994,1.1438768,1.0691547,0.08755568,0.42325857,0.7698342,1.0979083,0.4220506,0.7622336,1.1642307,0.41167623,-0.29902843,-0.11187162,0.12989317,-0.001118255,-0.74594826,-0.42296594,-0.1629637,813.5165,857.03296,845.34796,783.2967,708.3516,0.076721191,0.202087402,0.975158691,1.06918335,2.751464844,2.579498291,1,1,1,1,1,98.78
10:43.4,1.6406775,0.07491498,0.523632,1.134575,1.0708625,-0.20736136,0.003422644,0.7075291,1.2771063,-0.0975817,0.52476686,1.1721699,0.50944525,-0.32182097,-0.09167903,0.47796598,-0.046122566,-0.8009406,-0.44857946,-0.053362276,770,864.2857,829.6337,716.4103,725.2747,0.076721191,0.204162598,0.969238281,0.403747559,3.192596436,2.325286865,1,1,1,1,1,98.78
10:43.9,1.6470016,0.27890176,0.7342881,1.4762156,1.0215822,-0.19030683,-0.05497675,0.8048212,1.2844048,-0.030236399,0.5321313,1.1024022,0.52833045,-0.22113292,0.06946665,0.58270687,0.031151071,-0.8101107,-0.47106266,0.12709235,849.7802,857.8388,846.55676,837.28937,969.85345,0.077453613,0.195617676,0.973266602,0.448608398,2.287902832,1.839294434,1,1,1,1,1,98.78
