augmentation,iter_0,average
Noise,0.5298444628715515,0.5298444628715515
Scaling,0.5246796011924744,0.5246796011924744
Magnitude Warp,0.3493286371231079,0.3493286371231079
Random Sampling,0.5920791625976562,0.5920791625976562
Flip,0.5334053039550781,0.5334053039550781
Drop,0.6117337942123413,0.6117337942123413
TimeWarp,0.601291835308075,0.601291835308075
Negation,0.6585572957992554,0.6585572957992554
Channel shuffle,0.5578941106796265,0.5578941106796265
Permutations,0.7034764289855957,0.7034764289855957
"Noise,scale",0.6507089734077454,0.6507089734077454
"Magnitude Warp, Drop",0.5806657075881958,0.5806657075881958
"Noise,scale,Magnitude Warp, Drop",0.5336638689041138,0.5336638689041138
all_0,0.5497976541519165,0.5497976541519165
all_1,0.5192360877990723,0.5192360877990723
