augmentation,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,average
Noise,0.8177415132522583,0.9667943716049194,0.8838099837303162,0.8339718580245972,0.8838099837303162,0.8504983186721802,0.900306761264801,0.9501661062240601,0.9170283079147339,0.9170071482658386,0.8921135067939758
Scaling,0.8506510257720947,0.8176950216293335,0.9170071482658386,0.8671435713768005,0.9003322124481201,0.8010711669921875,0.8673130869865417,0.8671096563339233,0.8507272005081177,0.8672114610671997,0.8606261014938354
Magnitude Warp,0.9501533508300781,0.9169010519981384,0.8669055700302124,0.9335718154907227,0.950178861618042,0.8835721611976624,0.9335548281669617,0.8503453731536865,0.9002812504768372,0.9335548281669617,0.9119018316268921
Random Sampling,0.9003322124481201,0.900306761264801,0.950127899646759,0.950140655040741,0.8836614489555359,0.9168797731399536,0.8836019039154053,0.916815996170044,0.9335548281669617,0.950178861618042,0.9185600280761719
Flip,0.9169859290122986,0.9169010519981384,0.9002812504768372,0.8338021039962769,0.8340990543365479,0.9003576636314392,0.8506891131401062,0.9336226582527161,0.8672792315483093,0.8834826946258545,0.8837500810623169
Drop,0.8505365252494812,0.9169859290122986,0.9003322124481201,0.8004604578018188,0.8837209343910217,0.8504983186721802,0.933486819267273,0.9002302289009094,0.933486819267273,0.9003831148147583,0.8870121836662292
TimeWarp,0.8169482946395874,0.7670251131057739,0.7671443223953247,0.7841083407402039,0.7508941888809204,0.8337170481681824,0.8668032884597778,0.800204873085022,0.8005114793777466,0.7672038674354553,0.795456051826477
Negation,0.8506891131401062,0.8507272005081177,0.9501661062240601,0.9003322124481201,0.8838396668434143,0.8506891131401062,0.8838989734649658,0.8673807382583618,0.8343104720115662,0.8508414030075073,0.8722874522209167
Channel shuffle,0.9003322124481201,0.8174623250961304,0.9335208535194397,0.8836614489555359,0.9001791477203369,0.900153636932373,0.9335208535194397,0.7672038674354553,0.8835721611976624,0.8836019039154053,0.8803208470344543
Permutations,0.8668032884597778,0.883631706237793,0.8503453731536865,0.9169647693634033,0.8671436309814453,0.8002049326896667,0.9335038661956787,0.8837209343910217,0.8836911916732788,0.9168372750282288,0.8802846670150757
"Noise,scale",0.8501920700073242,0.9168372750282288,0.9001791477203369,0.9168585538864136,0.8670417070388794,0.9168585538864136,0.9501151442527771,0.9335378408432007,0.9002812504768372,0.900306761264801,0.9052208065986633
"Magnitude Warp, Drop",0.8504219055175781,0.9002812504768372,0.8670756816864014,0.8670417070388794,0.8340990543365479,0.8837209343910217,0.8837209343910217,0.8339294791221619,0.9003322124481201,0.8338445425033569,0.8654467463493347
"Noise,scale,Magnitude Warp, Drop",0.8505747318267822,0.8670756816864014,0.8670756816864014,0.8341413736343384,0.9335718154907227,0.8339294791221619,0.8504983186721802,0.8507652878761292,0.8338870406150818,0.8342259526252747,0.8555744886398315
all_0,0.8673469424247742,0.9169859290122986,0.900306761264801,0.8672453165054321,0.9004848003387451,0.9003831148147583,0.8838099837303162,0.8673469424247742,0.9004340171813965,0.8343527317047119,0.8838696479797363
all_1,0.8504219055175781,0.950140655040741,0.9002557396888733,0.9168797731399536,0.9335208535194397,0.9003322124481201,0.8670076727867126,0.8506891131401062,0.8835721611976624,0.8836614489555359,0.8936481475830078
