augmentation_couple,augmentation_1,augmentation_2,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,average
Noise_Noise,Noise,Noise,0.8340989947319031,0.8011725544929504,0.8837506771087646,0.7349643111228943,0.8838396668434143,0.8340566754341125,0.8507653474807739,0.8175554871559143,0.800868034362793,0.7679163217544556,0.8208988308906555
Noise_Scaling,Noise,Scaling,0.7842736840248108,0.8670417070388794,0.8172290325164795,0.7678571343421936,0.8507652878761292,0.8173691034317017,0.8339719176292419,0.8671096563339233,0.8171355724334717,0.7844387888908386,0.8207192420959473
Noise_Magnitude Warp,Noise,Magnitude Warp,0.7842186093330383,0.7845486998558044,0.8175089359283447,0.7178963422775269,0.7178963422775269,0.6015325784683228,0.7840531468391418,0.7346938848495483,0.7677386403083801,0.8008171319961548,0.751090407371521
Noise_Random Sampling,Noise,Random Sampling,0.7511485815048218,0.817415714263916,0.8341413736343384,0.6180378198623657,0.8340990543365479,0.6689584851264954,0.8175089359283447,0.8506510257720947,0.8671774864196777,0.8837803602218628,0.7942918539047241
Noise_Flip,Noise,Flip,0.7842736840248108,0.71775221824646,0.8170419931411743,0.8011725544929504,0.8176485896110535,0.8173691034317017,0.7178963422775269,0.7843287587165833,0.7510850429534912,0.8671436309814453,0.7875712513923645
Noise_Drop,Noise,Drop,0.8837506771087646,0.8339294791221619,0.783942699432373,0.8837506771087646,0.734490692615509,0.8506510257720947,0.8338870406150818,0.8671774864196777,0.8838099837303162,0.8672792315483093,0.8422669172286987
Noise_Noise+Scaling,Noise,Noise+Scaling,0.8010203838348389,0.7674418687820435,0.8173224329948425,0.8504983186721802,0.6689584851264954,0.8176950216293335,0.7677978873252869,0.8009188175201416,0.7350993156433105,0.8340142965316772,0.7860766649246216
Scaling_Noise,Scaling,Noise,0.8506128787994385,0.8506891131401062,0.8673469424247742,0.8507653474807739,0.7677386403083801,0.8340566754341125,0.7018348574638367,0.7843287587165833,0.8504601120948792,0.817415714263916,0.8175249099731445
Scaling_Scaling,Scaling,Scaling,0.7508941888809204,0.7179683446884155,0.8172757625579834,0.7018348574638367,0.7508941888809204,0.7675012946128845,0.7840531468391418,0.783887505531311,0.734355092048645,0.734490692615509,0.7543154954910278
Scaling_Magnitude Warp,Scaling,Magnitude Warp,0.8007153868675232,0.8340566754341125,0.7841083407402039,0.6687897443771362,0.7843287587165833,0.8340142965316772,0.7842185497283936,0.8008171319961548,0.7676793336868286,0.8340566754341125,0.789278507232666
Scaling_Random Sampling,Scaling,Random Sampling,0.701758861541748,0.8505747318267822,0.7678571343421936,0.8506128787994385,0.7182559967041016,0.7019867300987244,0.817415714263916,0.7678571343421936,0.8506510257720947,0.7676793336868286,0.7794649004936218
Scaling_Flip,Scaling,Flip,0.8507272005081177,0.8671435713768005,0.8673130869865417,0.8342259526252747,0.8342682123184204,0.8506891131401062,0.8175554871559143,0.8176485300064087,0.8341836929321289,0.7843837738037109,0.8358138799667358
Scaling_Drop,Scaling,Drop,0.8007662892341614,0.8007662892341614,0.817415714263916,0.8339294791221619,0.7342871427536011,0.6346448659896851,0.8338870406150818,0.8338870406150818,0.6686209440231323,0.7016828060150146,0.7659887075424194
Scaling_Noise+Scaling,Scaling,Noise+Scaling,0.7508941888809204,0.7173190116882324,0.7673228979110718,0.8005625009536743,0.7513389587402344,0.850307047367096,0.8338870406150818,0.7342872023582458,0.783942699432373,0.8172757625579834,0.7807137370109558
Magnitude Warp_Noise,Magnitude Warp,Noise,0.8506510257720947,0.800969660282135,0.8010203838348389,0.8340566754341125,0.8006644248962402,0.783942699432373,0.8505365252494812,0.7677978873252869,0.8505365252494812,0.6856706142425537,0.8025846481323242
Magnitude Warp_Scaling,Magnitude Warp,Scaling,0.7675606608390808,0.7508942484855652,0.7345584630966187,0.7179683446884155,0.7508941888809204,0.8007662892341614,0.7841082811355591,0.7009966373443604,0.6193022727966309,0.8006644248962402,0.7427713871002197
Magnitude Warp_Magnitude Warp,Magnitude Warp,Magnitude Warp,0.8342682123184204,0.8172757625579834,0.8335040807723999,0.8338870406150818,0.8506891131401062,0.8505365252494812,0.8671775460243225,0.8338446021080017,0.8505747318267822,0.9004085659980774,0.8472166061401367
Magnitude Warp_Random Sampling,Magnitude Warp,Random Sampling,0.7675012946128845,0.8171355724334717,0.8672453165054321,0.7675606608390808,0.7342872023582458,0.7340153455734253,0.7342193126678467,0.8175089359283447,0.7670847177505493,0.7843286991119385,0.7790886759757996
Magnitude Warp_Flip,Magnitude Warp,Flip,0.7675012946128845,0.7841634750366211,0.7673824429512024,0.8006644248962402,0.8339294791221619,0.8175554871559143,0.7843837738037109,0.8009188175201416,0.8006644248962402,0.7005374431610107,0.7857701182365417
Magnitude Warp_Drop,Magnitude Warp,Drop,0.7838321924209595,0.7676200270652771,0.8008171319961548,0.8008171319961548,0.7508942484855652,0.800613522529602,0.7019867300987244,0.7841083407402039,0.7176800966262817,0.7340153455734253,0.7642384767532349
Magnitude Warp_Noise+Scaling,Magnitude Warp,Noise+Scaling,0.7842736840248108,0.8504983186721802,0.7675012946128845,0.6007166504859924,0.8338870406150818,0.8505365252494812,0.8173224329948425,0.8338870406150818,0.6352040767669678,0.7342193126678467,0.7708047032356262
Random Sampling_Noise,Random Sampling,Noise,0.8007662296295166,0.8176485300064087,0.7344906330108643,0.8175089359283447,0.7844387888908386,0.8340142965316772,0.8836911916732788,0.8671096563339233,0.8175554871559143,0.8672792315483093,0.8224502801895142
Random Sampling_Scaling,Random Sampling,Scaling,0.8339294791221619,0.8672453165054321,0.8176020383834839,0.7841083407402039,0.8504601120948792,0.8340566754341125,0.8836911916732788,0.783942699432373,0.7676200270652771,0.7014544010162354,0.8124110102653503
Random Sampling_Magnitude Warp,Random Sampling,Magnitude Warp,0.8338446021080017,0.8506128787994385,0.8008171319961548,0.7678571343421936,0.7837768793106079,0.8670417070388794,0.8506891131401062,0.7675012946128845,0.7673824429512024,0.8838099837303162,0.8173333406448364
Random Sampling_Random Sampling,Random Sampling,Random Sampling,0.8173224329948425,0.817415714263916,0.7514023780822754,0.8340566754341125,0.7844937443733215,0.8174623250961304,0.8173224329948425,0.8337170481681824,0.9170071482658386,0.8340142965316772,0.8224213719367981
