augmentation,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,average
Noise,0.8835721611976624,0.9169010519981384,0.8502687215805054,0.9335378408432007,0.950140655040741,0.9335548281669617,0.8671096563339233,0.9168585538864136,0.9169222712516785,0.9501915574073792,0.9119057655334473
Scaling,0.9170283079147339,0.9833844304084778,0.9002812504768372,0.9667689204216003,0.933469831943512,0.9003576636314392,0.9004085659980774,0.9169222712516785,0.8839285969734192,0.9169435501098633,0.9219492673873901
Magnitude Warp,0.9335038661956787,0.9502043128013611,0.9003322124481201,0.9335378408432007,0.8502303957939148,0.8836614489555359,0.9336057305335999,0.9169859290122986,0.9170071482658386,0.9335038661956787,0.9152573347091675
Random Sampling,0.916815996170044,0.8670417070388794,0.8836614489555359,0.9335548281669617,0.950140655040741,0.9003322124481201,0.9335548281669617,0.9169859290122986,0.8672792315483093,0.9335887432098389,0.9102956056594849
Flip,0.9335378408432007,0.9335718154907227,0.9169435501098633,0.9003831148147583,0.950140655040741,0.9169010519981384,0.9667943716049194,0.9667603969573975,0.9169647097587585,0.9667603969573975,0.9368758201599121
Drop,0.9667859077453613,0.9169435501098633,0.8671096563339233,0.9002812504768372,0.9335887432098389,0.9004340171813965,0.8836019039154053,0.8504601120948792,0.9335208535194397,0.9335887432098389,0.9086315035820007
TimeWarp,0.9336057305335999,0.9335548281669617,0.9501533508300781,0.8837506175041199,0.9335548281669617,0.9170495271682739,0.9335887432098389,0.9336057305335999,0.8171355724334717,0.950127899646759,0.9186126589775085
Negation,0.8504983186721802,0.9003322124481201,0.8339719176292419,0.9501661062240601,0.9667859077453613,0.9501533508300781,0.9168585538864136,0.8671435713768005,0.9169010519981384,0.9501661062240601,0.9102975726127625
Channel shuffle,0.9004085659980774,0.9335378408432007,0.9501533508300781,0.9336057305335999,0.9169222712516785,0.9667689204216003,0.950178861618042,0.9170071482658386,0.9170283079147339,0.8670417070388794,0.9252653121948242
Permutations,0.9171130061149597,0.9002047181129456,0.9667859077453613,0.9336057305335999,0.9002812504768372,0.9169435501098633,0.9335887432098389,0.8837506175041199,0.9168797731399536,0.9336057305335999,0.9202759861946106
"Noise,scale",0.883780300617218,0.9501151442527771,0.9501533508300781,0.9502170085906982,0.9667859077453613,0.933486819267273,0.9169435501098633,0.9003831148147583,0.9169010519981384,0.9501915574073792,0.9318957328796387
"Magnitude Warp, Drop",0.9667689204216003,0.9335548281669617,0.9336057305335999,0.9169435501098633,0.9335208535194397,0.9335548281669617,0.9335208535194397,0.9003322124481201,0.9001791477203369,0.9003831148147583,0.9252364039421082
"Noise,scale,Magnitude Warp, Drop",0.8670756816864014,0.9170071482658386,0.9501661062240601,0.900357723236084,0.9501023292541504,0.9169010519981384,0.900306761264801,0.950178861618042,0.9335548281669617,0.8669736385345459,0.9152624011039734
all_0,0.9169435501098633,0.9667773842811584,0.9667773842811584,0.9003322124481201,0.9501533508300781,0.950178861618042,0.8672453165054321,0.9667943716049194,0.9169859290122986,0.9002812504768372,0.9302469491958618
all_1,0.9667689204216003,0.9667943716049194,0.9169435501098633,0.900306761264801,0.9335887432098389,0.950127899646759,0.9002557396888733,0.9667603969573975,0.9667773842811584,0.9335718154907227,0.9401895403862
