augmentation,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,average
Noise,0.979285717010498,0.979285717010498,1.0,0.9792709350585938,0.9585714340209961,0.9585714340209961,0.979285717010498,0.979285717010498,0.9585714340209961,0.9585714340209961,0.973069965839386
Scaling,0.979285717010498,0.979285717010498,1.0,0.979285717010498,0.979285717010498,0.979285717010498,1.0,0.9585714340209961,0.979285717010498,1.0,0.9834285974502563
Magnitude Warp,0.9586009979248047,1.0,1.0,0.9586009979248047,0.9585418105125427,0.9585714340209961,0.979285717010498,0.979285717010498,1.0,0.9585714340209961,0.9751458168029785
Random Sampling,0.9793004989624023,1.0,0.979285717010498,0.9792709350585938,1.0,0.9585418105125427,1.0,0.9793004989624023,0.979285717010498,0.9377682209014893,0.9792753458023071
Flip,0.9585714340209961,1.0,0.9585418105125427,0.979285717010498,0.9793004989624023,1.0,0.9585418105125427,1.0,1.0,1.0,0.983424186706543
Drop,0.979285717010498,0.979285717010498,0.979285717010498,0.979285717010498,0.937901496887207,1.0,1.0,0.9378571510314941,0.979285717010498,0.979285717010498,0.9751472473144531
TimeWarp,1.0,0.979285717010498,0.9586009979248047,0.9793004989624023,0.9793004989624023,0.9586009979248047,0.979285717010498,0.979285717010498,0.9172610640525818,1.0,0.9730920791625977
Negation,1.0,0.979285717010498,0.979285717010498,0.979285717010498,0.9793004989624023,1.0,0.979285717010498,0.979285717010498,0.9585418105125427,0.9585714340209961,0.9792841672897339
Channel shuffle,1.0,1.0,0.937901496887207,1.0,0.979285717010498,1.0,1.0,0.979285717010498,0.9585714340209961,0.979285717010498,0.983432948589325
Permutations,0.9585714340209961,0.979285717010498,0.9585714340209961,1.0,0.9585714340209961,0.9585714340209961,0.979285717010498,1.0,0.9586009979248047,0.979285717010498,0.9730743169784546
all,0.9585714340209961,1.0,0.979285717010498,0.979285717010498,0.979285717010498,0.979285717010498,0.979285717010498,0.9378127455711365,0.9586009979248047,0.979285717010498,0.973069965839386
