augmentation_couple,augmentation_1,augmentation_2,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,average
Noise_Noise,Noise,Noise,0.979285717010498,0.979285717010498,0.9378571510314941,0.9586009979248047,0.9585418105125427,0.9172610640525818,0.979285717010498,0.9585714340209961,0.9585714340209961,0.9170836210250854,0.9544345140457153
Noise_Scaling,Noise,Scaling,0.8966500163078308,0.9171428680419922,0.9585418105125427,0.9378571510314941,0.9170836210250854,0.9585418105125427,0.9171428680419922,0.9378127455711365,0.8346400260925293,0.937901496887207,0.921331524848938
Noise_Magnitude Warp,Noise,Magnitude Warp,0.8342857360839844,0.9585714340209961,0.9378571510314941,0.937901496887207,0.979285717010498,0.9172019958496094,0.979285717010498,0.979285717010498,0.9378571510314941,0.8962061405181885,0.9357738494873047
Noise_Random Sampling,Noise,Random Sampling,0.9171428680419922,0.9378571510314941,0.8342857360839844,0.8964285850524902,0.9378127455711365,0.9378127455711365,0.9170836210250854,0.8757143020629883,0.9170836210250854,0.9172019958496094,0.9088423848152161
Noise_Flip,Noise,Flip,0.979285717010498,0.9585714340209961,0.9585714340209961,0.937901496887207,0.8965762853622437,0.9585714340209961,0.9585714340209961,0.9585714340209961,0.9378571510314941,0.9171428680419922,0.9461620450019836
Noise_Drop,Noise,Drop,0.9170243144035339,0.9378571510314941,0.9378571510314941,0.9378571510314941,0.9378571510314941,0.9170243144035339,0.9792709350585938,0.979285717010498,0.9585714340209961,0.875980019569397,0.9378585815429688
Noise_Time Warp,Noise,Time Warp,0.9170836210250854,0.9170836210250854,0.9585714340209961,0.8965024948120117,0.8963545560836792,0.9378127455711365,0.9378571510314941,0.9585714340209961,0.9171428680419922,0.8963545560836792,0.923333466053009
Noise_Permutation,Noise,Permutation,0.937901496887207,0.9172019958496094,0.9171428680419922,0.9378571510314941,0.937901496887207,0.9172610640525818,0.937901496887207,0.9585714340209961,0.937901496887207,0.9585714340209961,0.9358212351799011
Noise_Negation,Noise,Negation,0.8965762853622437,0.979285717010498,0.9378571510314941,0.9585714340209961,1.0,0.979285717010498,0.979285717010498,0.9585714340209961,1.0,0.979285717010498,0.9668720364570618
Noise_Channel_Shuffle,Noise,Channel_Shuffle,0.8964285850524902,0.9378127455711365,0.9378571510314941,0.8756254315376282,0.8963545560836792,0.8758915662765503,0.9378571510314941,0.9585714340209961,0.9585418105125427,0.9585418105125427,0.9233482480049133
Noise_Noise+Scaling,Noise,Noise+Scaling,0.9172019958496094,0.9378127455711365,0.8754473924636841,0.8754473924636841,0.8962804079055786,0.9378127455711365,1.0,0.9378127455711365,0.8338109254837036,0.9170836210250854,0.9128710031509399
Noise_Mag_warp+Noise,Noise,Mag_warp+Noise,0.9378571510314941,0.9172019958496094,0.8550000190734863,0.9378127455711365,0.979285717010498,0.9378127455711365,0.9585714340209961,0.9585418105125427,0.937901496887207,0.9585714340209961,0.93785560131073
Noise_scaling+flip,Noise,scaling+flip,0.9585714340209961,0.9585714340209961,0.979285717010498,0.9171428680419922,0.9585714340209961,0.979285717010498,0.9585714340209961,0.9378571510314941,0.9378571510314941,0.9378571510314941,0.9523571133613586
Scaling_Noise,Scaling,Noise,0.9793004989624023,0.937901496887207,0.9585714340209961,0.9586009979248047,0.937901496887207,0.9793004989624023,0.937901496887207,0.9585714340209961,0.979285717010498,0.9172019958496094,0.9544536471366882
Scaling_Scaling,Scaling,Scaling,0.9585714340209961,0.9585714340209961,0.9170836210250854,0.9378571510314941,0.9585714340209961,0.8966500163078308,0.979285717010498,0.9378571510314941,0.9378571510314941,0.9585714340209961,0.9440876841545105
Scaling_Magnitude Warp,Scaling,Magnitude Warp,0.875980019569397,0.9585714340209961,0.9173200130462646,0.937901496887207,0.9172019958496094,0.9172019958496094,0.937901496887207,0.9378571510314941,0.9172019958496094,0.9378571510314941,0.9254995584487915
Scaling_Random Sampling,Scaling,Random Sampling,0.9171428680419922,0.9585714340209961,0.9171428680419922,0.8758029937744141,0.9171428680419922,0.8965024948120117,0.9171428680419922,0.9170836210250854,0.9586009979248047,0.9378127455711365,0.9212945699691772
Scaling_Flip,Scaling,Flip,0.937901496887207,1.0,0.937901496887207,0.979285717010498,0.937901496887207,0.9378127455711365,0.9586009979248047,0.937901496887207,0.979285717010498,0.979285717010498,0.958587646484375
Scaling_Drop,Scaling,Drop,0.979285717010498,0.9586009979248047,0.9378571510314941,0.9585714340209961,0.9585714340209961,0.8964285850524902,0.9585714340209961,0.9171428680419922,0.8964285850524902,0.979285717010498,0.9440744519233704
Scaling_Time Warp,Scaling,Time Warp,0.937901496887207,0.9585714340209961,0.9585714340209961,0.9585714340209961,0.8966500163078308,0.979285717010498,0.979285717010498,1.0,0.9379457831382751,0.9378571510314941,0.9544639587402344
Scaling_Permutation,Scaling,Permutation,0.9585714340209961,0.9171428680419922,0.8964285850524902,0.937901496887207,0.8965024948120117,0.9585714340209961,0.937901496887207,0.9172019958496094,0.979285717010498,0.979285717010498,0.9378793835639954
