augmentation,Noise,Scaling,Magnitude Warp,Random Sampling,Flip,Drop,Time Warp,Permutation,Negation,Channel_Shuffle,Noise+Scaling,Mag_warp+Noise,scaling+flip
Noise,0.9544345140457153,0.921331524848938,0.9357738494873047,0.9088423848152161,0.9461620450019836,0.9378585815429688,0.923333466053009,0.9358212351799011,0.9668720364570618,0.9233482480049133,0.9128710031509399,0.93785560131073,0.9523571133613586
Scaling,0.9544536471366882,0.9440876841545105,0.9254995584487915,0.9212945699691772,0.958587646484375,0.9440744519233704,0.9544639587402344,0.9378793835639954,0.9461458325386047,0.9254196882247925,0.9130488634109497,0.9233690500259399,0.9565059542655945
Magnitude Warp,0.9254242181777954,0.9337202310562134,0.950325608253479,0.9005358815193176,0.9482660293579102,0.9192216992378235,0.9171457290649414,0.9440714716911316,0.9502650499343872,0.9358019828796387,0.9295965433120728,0.9378571510314941,0.8881901502609253
Random Sampling,0.9461369514465332,0.9192394018173218,0.9523808360099792,0.946135401725769,0.9441127777099609,0.9212960004806519,0.9564956426620483,0.9192408323287964,0.935806393623352,0.9336994886398315,0.8985472917556763,0.9129718542098999,0.9254181981086731
Flip,0.9213019609451294,0.9129835963249207,0.9441291093826294,0.9358285665512085,0.933742344379425,0.9025939702987671,0.9482024312019348,0.9523615837097168,0.9275014996528625,0.9337232708930969,0.933749794960022,0.915056586265564,0.9668540954589844
Drop,0.9316619038581848,0.9316531419754028,0.929593563079834,0.9378823041915894,0.9212945103645325,0.8819566965103149,0.913044273853302,0.921241283416748,0.9606561660766602,0.9772142171859741,0.9564851522445679,0.9461576342582703,0.9296084642410278
Time Warp,0.9626995325088501,0.9337231516838074,0.925428569316864,0.9420000314712524,0.964773952960968,0.9337424039840698,0.8984953761100769,0.9585846662521362,0.9751724004745483,0.9130281209945679,0.9440832138061523,0.9357739686965942,0.9482187032699585
Permutation,0.9440714120864868,0.9668585658073425,0.9171354174613953,0.9461458325386047,0.9191120266914368,0.9503152966499329,0.9482232332229614,0.9089043736457825,0.9130975008010864,0.9440892338752747,0.9088408350944519,0.9544404149055481,0.939916729927063
Negation,0.921368420124054,0.9441097974777222,0.9316619634628296,0.9544225931167603,0.8694244623184204,0.9275251626968384,0.952366054058075,0.9316354990005493,0.9461427927017212,0.9192407727241516,0.9047910571098328,0.9379088282585144,0.90062016248703
Channel_Shuffle,0.9316916465759277,0.9378747940063477,0.9172033071517944,0.9067619442939758,0.939965546131134,0.9482143521308899,0.904671311378479,0.9192925691604614,0.9482290148735046,0.9627246856689453,0.8944191932678223,0.9357901811599731,0.8923241496086121
Noise+Scaling,0.9296083450317383,0.9109743237495422,0.9088379144668579,0.9088038206100464,0.9440921545028687,0.9544299840927124,0.9627068638801575,0.9523541331291199,0.9358064532279968,0.9399330019950867,0.9461768865585327,0.9274556040763855,0.933724582195282
Mag_warp+Noise,0.933724582195282,0.910897433757782,0.9295773506164551,0.942029595375061,0.9275221824645996,0.9792990684509277,0.9606399536132812,0.9648122787475586,0.9337099194526672,0.9317005276679993,0.90690678358078,0.9440358877182007,0.931648850440979
scaling+flip,0.9233659505844116,0.9482142329216003,0.942004382610321,0.9668630361557007,0.9710000157356262,0.9254255294799805,0.91095370054245,0.946197509765625,0.9420074224472046,0.9337113499641418,0.9046772718429565,0.9192201495170593,0.94822758436203
