Var1,Var2
2017-10-16,"16:53:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:31.276,0.68681806,1.5798049,0.15937378,0.36864653,0.47196618,0.8188198,-0.31520906,0.39725637,1.1102046,0.8159364,-0.14668891,1.2699045,0.4499458,0.41406164,-0.27873456,0.36308178,-0.03368244,0.014586207,-0.5039598,-0.02992552,835.6777,872.74725,849.3773,781.685,649.5238,-0.0816650390625,0.11126708984375,0.9798583984375,0.59814453125,2.67669677734375,2.49725341796875,1,1.0,1.0,1.0,1.0,83.28"
2017-10-16,"16:53:31.804,0.66620004,1.652211,0.20931609,0.4719789,0.4468749,1.077542,-0.2983869,0.42746076,1.0946949,0.8147777,-0.13193047,1.2188034,0.41185442,0.4388902,-0.31891754,0.37682068,0.0251078,-0.05053061,-0.53554714,0.038232774,767.98535,807.0696,844.5421,675.7143,572.96704,-0.0843505859375,0.1085205078125,0.984130859375,0.6280517578125,2.7813720703125,2.998199462890625,1,1.0,1.0,1.0,1.0,83.28"
2017-10-16,"16:53:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:32.306,0.17188007,1.6754088,-0.10620392,0.27103135,0.2931009,1.0815738,-0.3711289,0.29776248,1.1083319,0.7856437,-0.09650413,1.228727,0.359476,0.3797112,-0.36564118,0.38872516,0.0010460658,-0.11912075,-0.6584656,-0.021705437,822.381,832.4542,854.61536,749.45056,772.8205,-0.0772705078125,0.11199951171875,0.98602294921875,0.777587890625,2.773895263671875,2.220611572265625,1,1.0,1.0,1.0,1.0,83.28"
2017-10-16,"16:53:32.809,0.2180651,1.7003515,-0.00938756,0.36018673,0.28791583,0.99021345,-0.37544563,0.17164996,1.0200887,0.83154315,-0.01808581,1.065121,0.33330056,0.45036113,-0.3175847,0.31669182,-0.05121186,-0.1861734,-0.60868895,-0.010720487,874.35895,898.93774,840.10986,896.52014,1071.392,-0.07440185546875,0.1187744140625,0.97991943359375,0.179443359375,2.848663330078125,3.33465576171875,1,1.0,1.0,1.0,1.0,83.28"
2017-10-16,"16:53:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:33.319,0.84957814,1.7341158,0.47941068,0.7208011,0.5880058,0.9302991,-0.25255105,0.34640527,1.018362,0.8737781,0.034330394,1.053402,0.43852782,0.54763705,-0.2519882,0.3581038,-0.047564946,-0.20711102,-0.6485428,-0.009988421,834.87177,871.9414,850.58606,912.23444,1151.978,-0.0811767578125,0.113037109375,0.98309326171875,0.545806884765625,3.60382080078125,2.175750732421875,1,1.0,1.0,1.0,1.0,83.28"
2017-10-16,"16:53:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:33.830,1.0301218,1.5921899,1.4538999,0.86810005,0.6719589,0.9852147,0.3932023,0.47087884,0.97653973,0.873708,0.096573964,0.9840711,0.47799718,0.6310816,-0.24652936,0.3485713,-0.034868244,-0.18831556,-0.52405965,0.06277769,848.97437,800.2198,830.84247,751.06226,554.43225,-0.0784912109375,0.1102294921875,0.97564697265625,0.276641845703125,1.92901611328125,1.233673095703125,1,1.0,1.0,1.0,1.0,83.27"
2017-10-16,"16:53:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:34.332,1.30833,1.6641856,1.6264173,1.1312262,0.8797097,1.0034559,0.46645713,0.6512521,0.65159875,1.0230186,0.07700811,0.94195986,0.5254809,0.6642453,-0.2135625,0.36549973,0.09648351,-0.087638035,-0.37645268,0.10522635,821.5751,836.4835,847.3626,762.3443,754.68866,-0.07586669921875,0.1058349609375,0.98101806640625,0.657958984375,1.413116455078125,1.727142333984375,1,1.0,1.0,1.0,1.0,83.27"
2017-10-16,"16:53:34.841,1.645768,1.4448954,1.6157155,1.7513148,0.28693613,0.11362583,0.4520535,0.03652207,1.3530382,0.79586613,0.090069234,1.1862644,0.43721637,0.45936045,-0.25924236,0.29272616,0.3560836,-0.1557131,-0.3366659,0.29360422,877.98535,863.8828,836.4835,891.685,1043.5897,-0.077880859375,0.100341796875,0.98101806640625,0.22430419921875,2.1234130859375,3.42437744140625,1,1.0,1.0,1.0,1.0,83.27"
2017-10-16,"16:53:35.355,1.4091552,1.2989985,1.2437396,1.5097994,0.22731912,0.29941544,0.0063562803,-0.0023434565,1.3602289,0.79586613,0.056622364,1.1878315,0.4037121,0.46289477,-0.2875638,0.35299394,0.29549524,-0.19565213,-0.33147728,0.31461132,915.8608,901.75824,846.55676,977.50916,1161.2454,-0.08465576171875,0.10382080078125,0.98260498046875,0.171966552734375,2.729034423828125,2.452392578125,1,1.0,1.0,1.0,1.0,83.27"
2017-10-16,"16:53:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:35.889,1.2680005,1.1398298,0.6569121,1.3506411,0.30495673,0.48645312,-0.1625564,0.09599923,1.366757,0.55138826,-0.13004155,1.2089293,0.38642794,0.35875404,-0.31974396,0.3495238,0.2567872,-0.1971118,-0.43417627,0.30118924,794.9817,811.50183,841.7216,693.44324,561.28204,-0.07354736328125,0.1002197265625,0.98345947265625,1.00189208984375,1.487884521484375,2.908477783203125,1,1.0,1.0,1.0,1.0,83.27"
