Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38
12:56.1,1.1214983,-0.39441592,0.5077223,1.1039141,0.92462987,-0.404553,-0.03204943,0.8798845,1.1953981,-0.076410286,0.04964411,1.0536853,0.14781187,-0.2260139,0.004150188,0.16263328,-0.21254589,-0.22763896,-0.3011643,-0.2307056,884.83514,862.674,849.3773,881.6117,981.53845,-0.107910156,0.315979004,0.936035156,0.500946045,1.929016113,2.00378418,1,1,1,1,1,97.66
12:56.6,1.3390036,0.39468554,0.6282688,1.4149504,1.040526,-0.021406267,0.21259286,0.9881479,1.0964932,-0.12879346,0.10410499,1.0613413,0.26784348,-0.30433616,0.001036365,0.19954304,-0.20033853,-0.20591317,-0.30647224,-0.23267479,829.6337,854.61536,853.4066,820.3663,720.4396,-0.108520508,0.306152344,0.939025879,0.074768066,2.355194092,1.353302002,1,1,1,1,1,97.66
12:57.1,1.2682245,0.44457945,0.48398674,1.391247,0.9159484,-0.006519808,0.17306286,0.84054965,0.9271724,-0.13437814,0.09765701,0.95153946,0.2434805,-0.30366805,-0.005729855,0.15122193,-0.25742084,-0.1767818,-0.31544247,-0.26770446,809.4872,856.63007,851.39197,804.65204,771.6117,-0.108642578,0.310302734,0.937805176,0.456085205,2.250518799,1.861724854,1,1,1,1,1,97.66
12:57.6,0.98879725,0.38612503,0.17050935,1.1804398,0.5661641,-0.13422264,0.007693723,0.48152938,0.82543534,-0.30810574,-0.08149078,0.8773959,0.2072253,-0.3328274,-0.07538418,0.1560361,-0.13971609,-0.26595712,-0.32908234,-0.14438976,863.8828,849.7802,857.03296,873.5531,1018.60803,-0.109863281,0.30456543,0.940673828,0.216827393,2.564544678,2.175750732,1,1,1,1,1,97.66
12:58.1,0.53604984,-0.551869,-0.27211595,0.73456365,0.25558248,-0.49601603,-0.36328012,0.25501952,0.8573698,-0.27155492,-0.15571201,0.9290584,0.15152973,-0.29509717,-0.033913366,0.18956053,0.050708536,-0.36410353,-0.30693713,0.079009145,854.21246,848.5714,857.4359,851.39197,933.5897,-0.112426758,0.305908203,0.939025879,0.687866211,2.654266357,2.041168213,1,1,1,1,1,97.66
12:58.7,0.60421723,-0.4993918,-0.31053928,0.79699564,0.44086838,-0.45356312,-0.4255863,0.4095956,1.2464275,-0.2514908,-0.38702607,1.2580801,0.108848415,-0.07869147,-0.046917368,0.17633036,0.04544294,-0.23674361,-0.30119988,0.09567457,805.4579,857.03296,850.989,811.0989,682.5641,-0.113708496,0.305419922,0.93560791,0.373840332,2.945861816,2.497253418,1,1,1,1,1,97.66
12:59.2,0.9665283,-0.3433128,0.067684144,1.1219174,0.6712089,-0.25098825,-0.1227695,0.61984044,1.3215934,-0.1521079,0.064147934,1.2696818,0.17941792,0.08088866,-0.067545906,0.19981642,0.08087768,-0.10833666,-0.35776275,0.09965133,810.696,857.8388,841.31866,811.50183,832.0513,-0.111450195,0.307861328,0.939697266,0.575714111,2.033691406,2.272949219,1,1,1,1,1,97.66
12:59.7,1.182495,-0.16871795,0.22529088,1.3080087,0.7734762,-0.3220404,-0.06609181,0.7563764,1.3533349,-0.059861608,0.116618425,1.2932842,0.1801244,0.13847348,-0.09163462,0.20331553,-0.039779782,-0.036968198,-0.33539498,-0.022292476,865.89746,857.4359,859.45056,870.32965,1037.9487,-0.10949707,0.306335449,0.940368652,0.216827393,2.467346191,1.831817627,1,1,1,1,1,97.66
13:00.2,1.1592518,-0.1534846,0.22487342,1.2709682,0.68343174,-0.24465278,-0.08008709,0.6982904,1.2947545,-0.04974802,0.13462198,1.2451998,0.19347641,0.041448254,-0.0996844,0.23397498,-0.07528159,-0.035848107,-0.32970217,-0.01917932,863.47986,840.5128,863.8828,867.1062,836.8865,-0.111877441,0.30456543,0.934875488,0.127105713,2.332763672,2.220611572,1,1,1,1,1,97.66
13:00.7,1.04445,0.39272526,0.49372363,1.0635992,0.48076323,-0.2312255,-0.14387359,0.49823487,1.2359288,0.3589695,0.48316965,1.1475623,0.17454724,0.029642284,-0.06417886,0.2517283,-0.02773879,-0.040257197,-0.33465385,0.08273755,799.81683,854.21246,853.4066,790.14655,678.1319,-0.116455078,0.306884766,0.938842773,0.396270752,3.192596436,2.908477783,1,1,1,1,1,97.66
