Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40
24:10.8,0.25896552,0.09668679,0.017914305,0.22289144,0.9621238,-0.11808243,-0.266838,0.81978583,1.5156014,0.057709374,0.02411557,1.5497792,0.36822057,-0.21441326,0.00742377,0.36660197,-0.5146656,-0.47796372,-0.4347724,-0.4321695,846.55676,856.2271,849.3773,838.0952,846.9597,100,0,0.065429688,0.076904297,0.987915039,0.299072266,2.444915771,1.861724854,1,1,1,1,1,49.94
24:11.3,0.2093479,0.14790973,0.22614464,0.3069921,0.94831157,-0.10294597,-0.30269095,0.88267463,1.5434545,0.054892413,0.042777352,1.6283839,0.33647487,-0.30358484,-0.031148221,0.3236599,-0.52081406,-0.44940042,-0.38680565,-0.40988612,875.9707,861.8681,851.39197,870.7326,841.7216,100,0,0.066711426,0.070373535,0.986755371,1.076660156,1.719665527,2.115936279,1,1,1,1,1,49.94
24:11.8,0.16523263,0.11173857,0.17547363,0.536283,0.88056755,-0.16957691,-0.22972535,0.83110124,1.4731045,0.04757254,-0.06580491,1.6063379,0.39611626,-0.27120322,-0.095826715,0.27041835,-0.5682117,-0.60885626,-0.4958893,-0.39860693,865.09155,855.0183,853.4066,859.85345,869.12085,100,0,0.065734863,0.068725586,0.99029541,0.919647217,2.459869385,2.063598633,1,1,1,1,1,49.94
24:12.4,0.09800705,0.10141326,0.114992864,0.61793745,0.8771358,-0.25384486,-0.26849687,0.85003006,1.506373,0.10573484,-0.17648964,1.6525375,0.36002126,-0.2715928,-0.000402,0.3034412,-0.6001885,-0.5953851,-0.40162486,-0.48839596,830.4396,844.5421,849.7802,828.4249,848.1685,100,0,0.065246582,0.068237305,0.987976074,0.560760498,2.519683838,2.175750732,1,1,1,1,1,49.94
24:12.9,0.32388937,0.08255003,-0.21715716,0.6899234,0.8900938,-0.17689285,-0.19496958,0.7907286,1.5357169,0.29801822,-0.10108965,1.6201743,0.3052804,-0.26273328,0.017291004,0.34985653,-0.6164384,-0.6702788,-0.3817922,-0.53804827,860.2564,847.3626,859.45056,856.63007,840.9158,100,0,0.06463623,0.073242188,0.988586426,1.360778809,2.684173584,2.168273926,1,1,1,1,1,49.94
24:13.4,0.34117836,0.25936857,-0.13045448,0.5862835,0.9415534,0.117305346,-0.19729681,0.9854278,1.5427076,0.36198008,0.0754933,1.7721956,0.30799517,-0.1589673,0.09609218,0.3725533,-0.5268264,-0.6503526,-0.30539092,-0.52232754,829.2308,846.55676,844.1392,830.4396,856.2271,100,0,0.059997559,0.078552246,0.987915039,1.039276123,2.743988037,2.534637451,1,1,1,1,1,49.94
24:13.9,0.40681484,0.3336052,-0.047112133,0.46734917,1.0257859,0.14491601,-0.19730082,1.1227897,1.5499017,0.33583298,0.083413735,1.7518337,0.33827394,-0.05878694,0.07117782,0.32854027,-0.53304636,-0.6720369,-0.32809633,-0.50870067,858.24176,858.24176,839.304,854.21246,883.22345,100,0,0.064208984,0.06652832,0.989807129,0.127105713,3.521575928,1.547698975,1,1,1,1,1,49.94
24:14.4,0.5603976,0.34525195,0.012493474,0.6944479,1.1049422,0.142579,-0.26597488,1.2161521,1.5490373,0.33505508,0.11433659,1.7789077,0.33030492,0.030888526,0.10258348,0.2835431,-0.5890323,-0.6209522,-0.40412685,-0.51159024,836.4835,853.8095,856.63007,854.21246,884.83514,100,0,0.062438965,0.067077637,0.989318848,1.472930908,2.317810059,2.504730225,1,1,1,1,1,49.94
24:14.9,0.6124305,0.14281091,0.0872779,0.7274141,1.0761275,-0.112663284,-0.19326787,1.1499169,1.5385674,0.27144796,0.01320021,1.7251104,0.22606231,0.02670997,-0.053505894,0.2715927,-0.75611454,-0.5420084,-0.50611705,-0.5719429,878.7912,850.18317,850.18317,872.74725,861.8681,100,0,0.062866211,0.070251465,0.98815918,0.927124023,2.459869385,2.198181152,1,1,1,1,1,49.94
24:15.5,0.6209637,0.018611616,0.11684492,0.732174,1.0285344,0.05603437,-0.086833574,1.1047511,1.7156584,0.21801785,0.027359322,1.7059026,0.20981163,-0.038751695,-0.018254954,0.27721852,-0.7650408,-0.56739056,-0.6026536,-0.52418494,837.28937,849.3773,853.8095,835.6777,875.16486,100,0,0.062805176,0.070617676,0.989685059,1.547698975,2.788848877,2.601928711,1,1,1,1,1,49.94
