Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26
27:06.4,1.1983883,1.026966,0.9769192,1.1636153,0.64947605,0.40420613,0.28429496,0.5116893,1.0796568,0.56875706,0.38601413,1.0406,0.53877205,0.17884292,0.014126132,0.5233465,0.28079247,-0.02825036,0.06928206,0.15499727,832.0513,842.1245,854.61536,829.6337,761.13556
27:06.9,0.8977204,0.6852258,0.515055,0.8750852,0.727208,0.29444957,0.19206588,0.66295207,1.129098,0.3371952,0.41992742,1.0463091,0.5250318,0.13817178,0.014774822,0.4086563,0.22172749,-0.08868892,0.014144605,0.13651268,836.08057,849.7802,841.7216,849.7802,946.08057
27:07.4,0.8969184,0.7323762,0.48588213,0.8900767,0.7386575,0.27229205,0.19463754,0.6930937,1.1486405,0.2285531,0.4227345,1.0453018,0.536573,0.08565149,0.024734933,0.34102494,0.16126868,-0.13788812,-0.046263,0.06566166,854.61536,847.76556,843.73627,857.8388,948.49817
27:07.9,0.93581074,0.7241367,0.4323038,0.99699545,0.74501026,0.30986682,0.06613953,0.8106782,0.98695683,0.40828326,0.4227345,0.9650617,0.49417615,0.01645744,0.000437,0.3040246,0.001329749,-0.20518172,-0.0851842,0.001409466,848.5714,850.18317,844.94507,846.55676,760.7326
27:08.4,0.6833129,0.59398764,0.24562955,0.7939812,0.3578271,0.19820139,-0.0709248,0.56144845,0.93024963,0.40456647,0.38887393,0.9728307,0.44256553,-0.027501158,-0.12609935,0.33708277,-0.08785955,-0.16555439,0.03066586,-0.014898434,839.707,846.1539,845.7509,832.8571,780.07324
27:09.0,0.65576184,0.54739314,-0.076631606,0.7663992,0.36254644,0.1996517,-0.25987178,0.5276412,1.0111518,0.37590113,0.21788986,0.9560432,0.4157955,0.04742589,-0.16527751,0.37532488,7.69e-05,-0.14289062,0.11845628,0.08066869,858.24176,858.6447,846.55676,855.82416,850.58606
40:56.3,-0.12539352,-0.5594152,-0.41613987,-0.10759895,-0.025828442,-0.56160253,-0.5337925,0.22298324,0.7520761,-0.21963151,-0.49194074,1.0577021,0.3804394,-0.2672764,-0.49318677,0.12867318,-0.08277383,-0.30832645,-0.61925906,-0.5272243,860.2564,864.68866,848.5714,886.04395,1013.7729
40:56.8,-0.14986244,-0.59013563,-0.58533156,-0.12920435,-0.060413826,-0.54365206,-0.7142497,0.04261371,0.79942673,-0.045420397,-0.25460124,1.0390624,0.441454,-0.33683288,-0.396069,0.18450758,-0.13843223,-0.39318407,-0.7097818,-0.3998198,832.4542,852.1978,842.9304,841.7216,784.10254
40:57.3,-0.04982667,-0.44213834,-0.61775064,-0.15796323,-0.014669622,-0.32772586,-0.8339144,-0.037074026,0.8961588,-0.03287048,-0.27372077,0.99136037,0.46277872,-0.30172563,-0.34692746,0.2231824,-0.26477855,-0.33807117,-0.7261186,-0.38396978,853.8095,848.5714,850.58606,819.5604,601.5751
40:57.8,0.03699679,-0.18404996,-0.29486948,-0.18036719,-0.010882416,-0.21659225,-0.614379,-0.1741628,0.91629887,-0.011899347,-0.20275435,1.1078881,0.44488108,-0.16278315,-0.30104464,0.24673241,-0.28550643,-0.25113478,-0.62522006,-0.35981572,842.1245,854.61536,840.9158,804.65204,671.28204
40:58.4,0.12291935,-0.07845743,0.05425064,-0.15849419,-0.0888292,-0.27557805,-0.5728682,-0.3565328,1.1098536,0.021886472,-0.2290299,1.0889287,0.38725564,-0.093356416,-0.3765046,0.22277139,-0.2193934,-0.23123439,-0.60568,-0.40299118,855.0183,860.65936,847.3626,874.7619,1044.3956
40:58.9,0.2561182,-0.07076302,0.17096934,0.18404242,0.06727276,-0.44498625,-0.4905812,0.025714733,1.1538184,0.016707007,-0.22449923,1.080117,0.39073923,-0.098879606,-0.48630005,0.1826361,-0.08359329,-0.26796037,-0.6827897,-0.49267027,850.989,862.674,855.42126,874.7619,1081.0623
40:59.4,0.24479997,-0.09094749,0.11417064,0.2182069,0.1766082,-0.38828328,-0.63441443,0.09998353,1.1624907,0.014416489,-0.35454232,0.9789568,0.31391573,-0.09741129,-0.5723865,0.12720259,-0.088099495,-0.33263475,-0.78132206,-0.5601841,849.3773,861.8681,850.18317,880.40295,1061.3187
40:59.9,0.102394484,-0.2005024,0.034250926,0.14611767,0.1985423,-0.39352176,-0.5313898,0.063967325,1.0175315,-0.018865457,-0.019740338,1.1125203,0.38809896,-0.07835234,-0.5481923,0.22732052,-0.08922697,-0.4496445,-0.79618824,-0.6050876,869.5238,859.45056,855.42126,876.3736,853.4066
41:00.4,-0.09092053,-0.17704263,0.069173746,-0.18025857,0.11251492,-0.28846797,-0.5464257,-0.29860416,0.93298674,-0.13171163,-0.04238257,1.2740484,0.38697943,-0.025827514,-0.57235867,0.24660762,-0.024587393,-0.65003407,-0.79917175,-0.53441757,850.989,849.7802,851.79486,814.3223,637.4359
41:01.0,-0.09701463,-0.30421785,0.10030926,-0.2809276,-0.097580306,-0.15947473,-0.3243474,-0.27838323,0.86929786,-0.09364769,-0.02308773,1.2940371,0.5060736,0.063987404,-0.45903572,0.41817337,0.004978053,-0.7397516,-0.7991905,-0.5411034,843.3333,851.79486,850.58606,801.02563,638.24176
41:01.5,-0.12918225,-0.2586939,-0.11825659,-0.31644914,-0.035762288,-0.18675227,-0.37629113,-0.11708013,0.89411634,-0.16910094,-0.08335507,1.3300703,0.49621707,0.06961728,-0.4236368,0.43260622,0.06585049,-0.6934927,-0.7759861,-0.5201112,851.39197,851.79486,852.6007,829.6337,803.8461
41:02.0,-0.20351861,-0.28087765,-0.44060457,-0.11219856,-0.05427324,-0.22805959,-0.35681385,0.055758324,0.89727163,-0.14665055,-0.22137615,1.2416512,0.5102319,0.040005263,-0.47931093,0.4258279,0.028642219,-0.6129172,-0.7223448,-0.53762174,842.9304,856.63007,849.7802,842.9304,1021.4286
41:02.5,-0.14457642,-0.24584578,-0.7474085,-0.07652137,0.14321871,-0.26319292,-0.50320953,0.07056967,0.7886095,-0.15872373,-0.17756227,1.2138902,0.4950825,-0.07831528,-0.5540735,0.32922667,0.14007653,-0.52379006,-0.7885325,-0.5570092,843.3333,863.47986,849.7802,868.315,1078.2417
41:03.0,-0.10373114,-0.25923255,-0.53441066,-0.06468437,0.26355544,-0.21364151,-0.5011389,0.16482687,0.8649661,-0.16037025,-0.14999856,1.1666758,0.4955404,-0.14903288,-0.52644783,0.29411486,0.12570794,-0.4485392,-0.821895,-0.5105411,858.24176,858.24176,847.76556,876.3736,933.1868
41:03.5,0.11914966,-0.15152727,-0.3942786,-0.24666862,0.41649258,-0.13601148,-0.49550328,0.21567783,0.8835975,0.047212217,-0.20012993,1.1644707,0.46110648,-0.18812305,-0.43440923,0.26052192,0.15712607,-0.41916865,-0.88128465,-0.5026129,856.2271,860.2564,851.39197,835.6777,731.31866
41:04.1,0.0688649,-0.08413297,-0.28698954,-0.3037473,0.34899893,-0.14349891,-0.51484954,0.20542824,0.92412037,0.118759625,-0.20966916,1.1435035,0.34116885,-0.2852162,-0.4508013,0.29177973,0.07215034,-0.38940972,-0.8438322,-0.46120661,832.4542,842.52747,849.3773,798.60803,599.9634
41:04.6,0.07893486,-0.06706844,-0.29938063,-0.1416251,0.21036452,-0.011650591,-0.53192943,0.1411425,0.93012875,0.18145496,-0.3212091,1.0388931,0.24035197,-0.26625592,-0.547172,0.27008072,0.05441898,-0.3874347,-0.8887678,-0.5257014,847.76556,854.21246,847.76556,814.7253,732.52747
41:05.1,-0.07785092,-0.13525058,-0.41701075,-0.052864753,0.022846483,-0.020219445,-0.6283851,-0.013521097,1.0486835,0.20251457,0.037688885,1.2093804,0.29478022,-0.24202238,-0.52277714,0.38868198,-0.009746787,-0.27648938,-0.864618,-0.53686416,842.1245,846.9597,853.8095,849.3773,971.4652
41:05.6,0.015195572,-0.2288984,-0.6284529,-0.004253227,0.1713885,-0.07673472,-0.6446449,0.20683251,1.238027,0.22034815,0.037786026,1.3901428,0.4282422,-0.13054937,-0.29312313,0.45866787,-0.0528009,-0.2141148,-0.8447687,-0.6105342,856.2271,859.0476,852.6007,872.74725,1099.1941
41:06.1,0.15833628,-0.3555915,-0.6571741,0.05010275,0.29477242,-0.1597984,-0.61755675,0.5533295,1.2469304,0.13955595,0.02886204,1.4372814,0.4516683,-0.06984432,-0.22193205,0.45636126,-0.09469367,-0.18588637,-0.89088017,-0.61643445,836.8865,858.24176,852.6007,869.92676,1022.23444
41:06.6,0.17009744,-0.412554,-0.3786589,0.037220128,0.35919303,-0.24053158,-0.3971858,0.6995653,1.408492,0.1051406,0.06691079,1.4816366,0.5391225,0.003382677,-0.25609982,0.42810723,-0.16533235,-0.24563086,-0.8529583,-0.59656674,866.30035,858.24176,849.7802,863.0769,778.86444
41:07.1,0.04351128,-0.47763997,-0.16580698,0.08348718,0.331804,-0.37623397,-0.32546347,0.69748974,1.5528129,0.011686817,0.08481414,1.4432805,0.585408,-0.014025864,-0.35815606,0.29160294,-0.2147787,-0.37024042,-0.8191181,-0.5957743,863.0769,849.7802,855.42126,826.8132,628.97437
41:07.6,0.078765415,-0.35579422,-0.113231175,0.23693441,0.48681578,-0.49698448,-0.32828462,0.5081933,1.5733911,0.027210085,0.084912226,1.4577465,0.62875783,-0.066431284,-0.3328893,0.28519356,-0.2043741,-0.42116642,-0.716098,-0.5446455,858.24176,852.1978,850.18317,818.7546,647.9121
41:08.1,0.11957486,-0.4487882,-0.18804699,0.33718953,0.48711944,-0.56181645,-0.42943037,0.2529046,1.5897201,0.08725418,0.03201144,1.4600921,0.58522856,-0.08839457,-0.28632954,0.19595475,-0.0762961,-0.34853947,-0.6994226,-0.5770532,858.6447,862.674,853.4066,881.2088,1054.0659
