Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38
19:11.0,0.6916391,0.2988692,0.28621867,0.7989206,0.08484974,-0.059978873,-0.31569663,0.16587019,0.66783416,0.46134245,0.13109758,0.6155096,0.48937252,0.62593085,0.56768876,0.34563613,-0.013906107,0.31836358,0.27770993,-0.037278797,819.5604,850.18317,849.7802,805.4579,786.52014,0.039428711,0.10534668,0.985412598,1.555175781,1.532745361,2.512207031,1,1,1,1,1,71.66
19:11.6,1.1354579,0.6796071,0.6879418,1.2430177,0.31210187,-0.04639065,-0.09418463,0.32723847,0.68847144,0.40297806,0.31054163,0.6175451,0.4768467,0.5753984,0.5209339,0.32615498,-0.0710564,0.2663614,0.25123993,-0.046043955,787.72894,842.9304,846.1539,788.5348,699.4872,0.045837402,0.111877441,0.985595703,0.964508057,2.923431396,2.175750732,1,1,1,1,1,71.66
19:12.1,1.1670933,0.6438514,0.6958877,1.2628765,0.38309523,-0.17072424,-0.1119313,0.32560775,0.68466264,0.30732167,0.235789,0.509755,0.38984922,0.5016001,0.52726716,0.2839631,-0.11289924,0.3239033,0.15420252,-0.03693503,869.12085,840.10986,845.34796,876.3736,870.7326,0.048095703,0.110656738,0.98449707,0.874786377,2.422485352,2.295379639,1,1,1,1,1,71.66
19:12.6,1.0612442,0.50705814,0.56207496,1.1389198,0.3328865,-0.4788562,-0.20778377,0.25211638,0.5524295,0.16491397,0.2725648,0.54088604,0.30708048,0.5459627,0.5009686,0.24686432,-0.112215765,0.30803004,0.08941852,-0.056437008,889.67035,849.3773,848.5714,897.326,925.12823,0.048706055,0.110839844,0.984680176,1.383209229,1.899108887,2.407531738,1,1,1,1,1,71.66
19:13.1,0.5126027,-0.44763422,-0.14812677,0.32950425,0.26246452,-0.7006312,-0.5450623,0.051830135,0.3850208,-0.2042453,0.058163535,0.5971107,0.36248627,0.5898911,0.56135815,0.30294567,-0.043936346,0.37179303,0.1114392,-0.079121545,851.79486,863.0769,852.1978,844.1392,886.04395,0.041137695,0.108032227,0.98815918,1.02432251,2.811279297,1.988830566,1,1,1,1,1,71.66
19:13.6,0.36852068,-0.25399768,-0.20782875,0.18536113,0.38083977,-0.5766726,-0.44300115,0.102690496,0.3856564,0.029720252,0.14876181,0.5874073,0.41569966,0.619179,0.553417,0.29038656,-0.000177,0.37398422,0.17951393,-0.091243625,919.89014,857.4359,852.1978,911.02563,1027.4725,0.040100098,0.108154297,0.986450195,0.927124023,2.89352417,2.243041992,1,1,1,1,1,71.66
19:14.1,0.25886968,-0.18019255,-0.26786035,0.07222488,0.33989125,-0.41737497,-0.22563286,0.051623575,0.3979417,0.13181734,0.23090266,0.5905331,0.4203729,0.57635546,0.53258175,0.3198704,0.014737464,0.3770595,0.1567076,-0.025934443,838.0952,857.03296,845.34796,845.7509,792.5641,0.037231445,0.107177734,0.98638916,0.777587891,2.796325684,2.056121826,1,1,1,1,1,71.66
19:14.6,0.2519813,-0.10439912,-0.30431783,-0.015402743,0.417195,-0.32872647,-0.19914916,0.13342363,0.34771755,0.13902003,0.28008017,0.55471087,0.3252681,0.573867,0.57710767,0.26748574,0.008261635,0.38680765,0.20782036,0.08949905,793.7729,842.1245,836.4835,776.8498,711.978,0.045043945,0.106384277,0.982055664,1.390686035,2.355194092,2.347717285,1,1,1,1,1,71.66
19:15.1,0.27464098,-0.3679106,-0.33492637,-0.13054265,0.2628387,-0.37080076,-0.38509125,0.104714446,0.37579197,0.1559248,0.28233826,0.5700644,0.2912282,0.5622439,0.59797037,0.32673532,0.06274737,0.44251272,0.28751805,0.16739208,884.43225,853.00366,853.8095,884.43225,990.40295,0.047607422,0.110656738,0.985412598,1.128997803,2.624359131,2.347717285,1,1,1,1,1,71.66
19:15.7,0.24753779,-0.55739105,-0.34946746,-0.13763557,0.23790516,-0.51357013,-0.7173625,0.08034012,0.37579197,0.012109694,0.24434897,0.55556923,0.29698846,0.5293508,0.6149171,0.34449598,0.10969081,0.57723534,0.32905364,0.18714108,884.43225,835.2747,847.76556,901.3553,913.8461,0.042053223,0.109680176,0.986450195,0.717773438,2.990722656,2.0262146,1,1,1,1,1,71.66
19:16.2,0.116468,-0.9730849,-0.45751578,-0.11957817,0.0851826,-0.6116796,-0.8365876,-0.10830497,0.3770578,-0.06321396,-0.17667876,0.49898887,0.32338795,0.5155736,0.5821609,0.34246397,0.107709676,0.5884854,0.27474153,0.104488775,815.9341,859.85345,847.76556,789.34064,664.83514,0.041870117,0.107421875,0.984558105,0.777587891,2.467346191,2.257995605,1,1,1,1,1,71.66
19:16.7,-0.003082264,-1.0761349,-0.5460725,-0.19850351,0.047462765,-0.70219165,-0.74775195,-0.22410035,0.2656305,-0.24166463,-0.18779941,0.34202766,0.3122209,0.5924957,0.626134,0.34481874,0.06558069,0.5467611,0.25572607,0.0351706,834.0659,855.0183,858.6447,823.9927,864.2857,0.036071777,0.106811523,0.985778809,0.590667725,2.624359131,2.138366699,1,1,1,1,1,71.64
19:17.2,0.16899331,-1.1080434,-0.6871212,-0.08266146,0.09547692,-0.61145276,-0.6325028,-0.25602764,0.46636972,-0.21209328,-0.2023792,0.2901852,0.36803022,0.63719636,0.6327268,0.30300945,0.005537897,0.48862943,0.29343408,-0.039885256,915.05493,856.2271,844.5421,905.38464,1043.9927,0.035339355,0.105529785,0.983642578,1.383209229,2.317810059,2.572021484,1,1,1,1,1,71.64
19:17.7,0.1322554,-0.7730381,-0.8752064,0.08731406,0.041799664,-0.56224066,-0.6094451,-0.11173323,0.5575542,-0.03773714,-0.14748411,0.4171844,0.41041273,0.6269965,0.61429536,0.27674815,0.074828535,0.55387396,0.3930487,0.07499821,867.9121,854.61536,855.0183,860.65936,830.84247,0.038452148,0.10760498,0.98651123,1.278533936,1.697235107,2.452392578,1,1,1,1,1,71.64
19:18.2,0.19518732,-0.57067865,-0.7444703,0.29072055,0.060652852,-0.5746264,-0.5579298,-0.08401716,0.564415,0.004516013,-0.15174814,0.4171844,0.3870546,0.5430507,0.60547626,0.23639445,0.10186474,0.58809954,0.37010086,0.08003148,890.87915,852.1978,854.61536,890.07324,1058.4982,0.041320801,0.111816406,0.985778809,1.02432251,2.624359131,2.482299805,1,1,1,1,1,71.64
19:18.7,0.23580785,-0.39780247,-0.5957819,0.25221774,0.16223142,-0.54716843,-0.6526393,0.06515398,0.465574,0.050523162,-0.11679283,0.40496704,0.49074426,0.58752364,0.7653264,0.36397904,0.17764665,0.57224923,0.41351253,0.09584219,883.22345,855.42126,855.0183,870.7326,971.8681,0.041381836,0.109863281,0.983032227,1.241149902,2.272949219,2.751464844,1,1,1,1,1,71.64
19:19.3,0.34258384,-0.41607752,-0.5250761,0.19155861,0.33351797,-0.58589685,-0.641993,0.12274612,0.33532703,0.026533974,-0.07256457,0.3549735,0.50942516,0.56313634,0.7853738,0.38755545,0.1811996,0.5422293,0.43127978,0.09223409,898.5348,850.58606,850.989,895.7143,994.0293,0.041625977,0.108337402,0.985656738,0.785064697,2.609405518,1.98135376,1,1,1,1,1,71.64
19:19.8,0.5372247,-0.35171407,-0.5570248,0.25028563,0.31784573,-0.49056917,-0.6512239,0.08753462,0.30933493,-0.15850393,0.019838609,0.55879426,0.5360865,0.6144684,0.81033766,0.48656037,0.13944878,0.4919752,0.46869916,0.10809288,799.81683,854.61536,866.30035,808.2784,716.0073,0.03515625,0.106079102,0.987792969,0.755157471,3.648681641,1.921539307,1,1,1,1,1,71.64
19:20.3,1.3447609,0.6319803,0.30030012,1.3992814,0.4384807,-0.1172386,-0.1630462,0.32087335,0.35158417,0.108282104,0.5036999,0.6518643,0.45566875,0.7051695,0.6831263,0.48842213,0.09182903,0.5187632,0.43195578,0.15670048,905.78754,860.2564,857.4359,909.41394,1023.44324,0.032958984,0.107849121,0.984985352,0.949554443,2.878570557,2.302856445,1,1,1,1,1,71.64
19:20.8,1.4279747,0.7212209,0.46009636,1.4868257,0.30596632,-0.007888269,-0.07567593,0.2709856,0.35903588,0.16242106,0.5097655,0.69026864,0.4363095,0.72895867,0.6250255,0.49798626,-0.054005682,0.47006255,0.34529385,0.0696223,867.1062,859.85345,844.94507,875.9707,838.49817,0.029724121,0.106811523,0.98638916,1.293487549,1.742095947,2.572021484,1,1,1,1,1,71.64
19:21.3,1.4104776,0.7077734,0.46868995,1.4767144,0.3299644,-0.0545583,-0.08244743,0.33716974,0.36100504,0.16242106,0.46047285,0.6587854,0.40962282,0.71280307,0.54376745,0.46353248,-0.12307511,0.44048467,0.28382868,-0.008074356,803.44324,867.50916,856.63007,793.7729,662.01465,0.038085938,0.111206055,0.989746094,1.719665527,2.347717285,2.385101318,1,1,1,1,1,71.64
19:21.8,0.8241352,0.083555184,0.05755899,0.8276033,0.08292691,-0.43460128,-0.39747548,0.058864344,0.28578326,0.12759699,0.41606012,0.5896274,0.37484694,0.62389106,0.50546074,0.3741966,-0.20256293,0.37614745,0.2622982,-0.15228496,850.58606,845.34796,851.39197,845.34796,927.9487,0.037414551,0.109375,0.984924316,0.964508057,2.729034424,2.115936279,1,1,1,1,1,71.64
19:22.3,0.22961348,-0.35341972,-0.6108523,0.07369518,-0.064108215,-0.6722527,-0.6957416,0.019869193,0.11428754,-0.031870883,-0.19653654,0.5333072,0.40527296,0.6330394,0.49339113,0.3501342,-0.09657628,0.44996205,0.39023793,-0.084915526,897.326,834.0659,841.7216,903.7729,1014.9817,0.035217285,0.107055664,0.987976074,1.04675293,2.572021484,2.033691406,1,1,1,1,1,71.64
