Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40
12:50.9,0.15267348,-0.5652569,-0.39183453,1.7406133,0.3031591,-0.43684947,-0.76343006,0.9922521,0.2645711,0.054051753,-0.3831256,0.6092434,0.21827912,0.42456466,0.24584652,0.8143969,0.003441808,0.72385883,0.19936395,0.19614883,848.1685,847.3626,843.73627,904.57874,761.13556,8.000038,54.000004,0.549438477,0.130249023,0.823303223,1.413116455,2.400054932,2.175750732,1,1,1,1,1,65.63
12:51.4,0.270114,-0.5030932,-0.1878637,1.7406133,0.15993428,-0.60453254,-0.4914757,0.9922521,0.27631542,0.008796112,-0.34268254,0.6092434,0.29978988,0.4638952,0.26807418,0.8143969,-0.05770802,0.7305105,0.29197326,0.19614883,790.9524,849.3773,847.76556,562.49084,583.8461,0,65.99999,0.546264648,0.130310059,0.827087402,1.158905029,2.631835938,1.943969727,1,1,1,1,1,65.63
12:51.9,0.35429433,-0.6359742,-0.14964958,1.7406133,0.122873545,-0.8087203,-0.26515022,0.9922521,0.39036283,-0.33833247,-0.11743312,0.6092434,0.29468346,0.49596208,0.30674365,0.8143969,-0.05193007,0.6730803,0.31525022,0.19614883,846.9597,844.94507,844.94507,864.68866,1026.6666,0,75.999985,0.547302246,0.130737305,0.822998047,1.04675293,2.527160645,2.00378418,1,1,1,1,1,65.63
12:52.4,0.4378273,-0.23131098,0.011126311,1.7406133,0.120304555,-0.3702236,0.05114738,0.9922521,0.43528914,-0.16914354,0.031832367,0.6092434,0.28110898,0.5183656,0.3494826,0.8143969,-0.048949674,0.5365763,0.2598637,0.19614883,885.64105,843.73627,848.5714,1111.6849,1070.1831,0,85.99997,0.549560547,0.129577637,0.823791504,0.740203857,2.474822998,2.063598633,1,1,1,1,1,65.63
12:52.9,0.40296957,-0.11874783,-0.11703121,1.7406133,0.30967557,-0.32800183,-0.002197606,0.9922521,0.5080554,-0.055117376,0.03804905,0.6092434,0.26795477,0.48292372,0.35510227,0.8143969,-0.030432278,0.52317804,0.19527481,0.19614883,821.5751,844.5421,850.58606,734.1392,628.5714,0,95.99996,0.547912598,0.129760742,0.825012207,0.680389404,2.340240479,1.943969727,1,1,1,1,1,65.63
12:53.4,0.29688057,-0.06642823,-0.27861458,1.7406133,0.42465255,-0.27367538,-0.124319665,0.9922521,0.46359572,-0.05006895,0.12067102,0.6092434,0.2053485,0.36145025,0.3126559,0.8143969,-0.119758934,0.55279344,0.15931694,0.19614883,809.89014,859.0476,854.61536,607.619,704.7253,0,100,0.547119141,0.130615234,0.823730469,1.136474609,2.624359131,1.831817627,1,1,1,1,1,65.63
12:53.9,0.25542563,-0.23829387,-0.99806696,1.7406133,0.47744,-0.5170614,-0.7362456,0.9922521,0.5203747,-0.073041774,-0.055276096,0.6092434,0.053587444,0.35728636,0.28768918,0.8143969,-0.25424862,0.53231174,0.14171699,0.19614883,871.13556,854.61536,856.2271,1008.1319,1129.011,2,100,0.543701172,0.129882813,0.825317383,1.06918335,2.863616943,2.295379639,1,1,1,1,1,65.63
12:54.4,0.35922092,-0.30732337,-0.73166,1.7406133,0.3706972,-0.5287468,-0.6995563,0.9922521,0.5060252,-0.17382675,-0.038463883,0.6092434,0.039799925,0.36891457,0.35383877,0.8143969,-0.26551464,0.54297876,0.20120631,0.19614883,863.8828,857.8388,853.00366,1023.8461,916.26373,6,92.00001,0.549682617,0.131286621,0.820068359,0.971984863,2.063598633,2.086029053,1,1,1,1,1,65.63
12:55.0,0.40070817,-0.40161258,-0.4433134,1.7406133,0.24620801,-0.65918314,-0.5834813,0.9922521,0.5060252,-0.15130723,-0.102649316,0.6092434,0.14747545,0.44752282,0.4671892,0.8143969,-0.20036036,0.5509808,0.22448929,0.19614883,859.0476,858.6447,846.55676,823.9927,1017.8022,15.999998,92.00001,0.546508789,0.128112793,0.823364258,0.695343018,2.796325684,2.325286865,1,1,1,1,1,65.63
12:55.5,0.32473257,-0.5025947,-0.4220774,1.7406133,0.17473575,-0.6554787,-0.6611437,0.9922521,0.467129,-0.107756585,-0.119334534,0.6092434,0.21197993,0.43562743,0.49244744,0.8143969,-0.10669537,0.65407324,0.32878017,0.19614883,821.1722,853.00366,852.6007,709.15753,847.76556,19.999998,100,0.547973633,0.13092041,0.823486328,1.428070068,2.407531738,1.89163208,1,1,1,1,1,65.63
12:56.0,0.113690324,-0.46019354,-0.5097365,1.7406133,0.06533455,-0.7251101,-0.7024489,0.9922521,0.2593089,-0.13710311,-0.22332639,0.6092434,0.19324388,0.4286709,0.5073383,0.8143969,-0.08615703,0.62131405,0.36813825,0.19614883,814.7253,866.7033,875.56775,763.1502,647.1062,19.999998,100,0.54510498,0.131286621,0.821044922,0.84487915,3.282318115,1.98135376,1,1,1,1,1,65.55
12:56.5,0.35596076,0.000451,0.1788981,1.7406133,0.19359875,-0.23609649,0.06281989,0.9922521,0.6420997,0.16539218,0.19575341,0.6092434,0.14858995,0.48080102,0.45628378,0.8143969,-0.11619663,0.54466987,0.2933428,0.19614883,802.23444,861.06226,847.76556,582.6374,659.59705,27.999996,100,0.547729492,0.129211426,0.823608398,0.687866211,2.721557617,2.400054932,1,1,1,1,1,65.55
12:57.0,0.67822504,0.16067685,0.4142001,1.7406133,0.37215275,-0.10173663,0.23014915,0.9922521,0.6657955,0.18132602,0.19094105,0.6092434,0.07908833,0.65345436,0.45209256,0.8143969,-0.14927995,0.4627978,0.21038589,0.19614883,871.53845,857.4359,849.3773,977.1062,1118.9377,38.000004,96,0.54510498,0.129150391,0.825256348,1.106567383,2.714080811,2.123413086,1,1,1,1,1,65.55
12:57.5,0.7186403,0.118672,0.43132216,1.7406133,0.42089304,-0.09351988,0.25651643,0.9922521,0.6840837,0.18945202,0.22283907,0.6092434,0.08514504,0.70288074,0.44176158,0.8143969,-0.14890812,0.4659761,0.08658956,0.19614883,874.35895,862.27106,853.8095,1046.4103,965.0183,48.000008,86.000015,0.547607422,0.130737305,0.822387695,0.91217041,2.549591064,1.84677124,1,1,1,1,1,65.55
12:58.0,0.61600214,-0.05702307,0.23985434,1.7406133,0.37542698,-0.30991396,-0.04656791,0.9922521,0.67023003,0.13735889,0.18032026,0.6092434,0.13467969,0.6596159,0.43497404,0.8143969,-0.12257549,0.50896335,0.10268222,0.19614883,813.5165,875.9707,855.0183,628.97437,569.7436,54.000004,78.00002,0.542724609,0.128173828,0.824829102,0.814971924,3.095397949,2.302856445,1,1,1,1,1,65.55
