Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38
33:24.4,1.177832,1.0594367,0.16458805,1.3059001,0.7484096,0.038489837,-0.16249749,0.7713625,1.2892978,0.26419023,-0.09233671,1.1654966,0.48533,-0.12431126,-0.15634714,0.41976732,0.21340546,-0.32425764,-0.579738,0.044520404,841.7216,846.55676,852.1978,848.1685,926.7399,-0.037658691,0.141296387,0.98260498,0.97946167,2.168273926,2.265472412,1,1,1,1,1,66.25
33:25.0,1.1834247,0.7091194,0.2981782,1.1310862,0.85076225,-0.19830252,-0.1533727,0.84822243,1.3098803,0.28199086,-0.09093768,1.2813593,0.4428359,-0.08327178,-0.23948742,0.33346954,0.17007533,-0.38035822,-0.6102557,-0.052607846,854.61536,842.52747,868.71796,852.6007,1010.9524,-0.04296875,0.139465332,0.979736328,0.770111084,2.594451904,2.549591064,1,1,1,1,1,66.25
33:25.5,1.2003838,0.523911,0.75976133,0.9981492,0.8095375,-0.1515621,-0.06289841,0.84382665,1.2588162,0.28492987,-0.009252509,1.2411854,0.32544503,-0.08113435,-0.19471157,0.23337135,0.24316835,-0.39873892,-0.5729739,0.053112715,844.5421,853.4066,830.84247,819.15753,720.0366,-0.036804199,0.137268066,0.98260498,0.493469238,2.467346191,1.95892334,1,1,1,1,1,66.25
33:26.0,1.1860168,0.69805473,1.1438644,1.1319681,0.8487913,0.1770252,0.033360485,0.91000503,1.2749721,0.14436586,0.14908369,1.2441984,0.23458515,-0.08471687,-0.13765307,0.20376778,0.24287273,-0.35621318,-0.4843291,0.23998168,888.86444,838.0952,839.707,871.13556,933.5897,-0.03704834,0.132019043,0.978637695,0.605621338,2.863616943,1.607513428,1,1,1,1,1,66.25
33:26.5,1.2644342,1.0732527,1.1776778,1.2030526,0.6506505,0.5019088,0.32271206,0.7092739,1.4897884,0.04964378,0.18162966,1.2349457,0.31658995,-0.10367177,-0.1238203,0.23932552,0.25425044,-0.3482757,-0.50365573,0.33082983,839.707,853.4066,846.55676,830.4396,920.696,-0.043334961,0.136535645,0.981262207,0.687866211,1.241149902,2.467346191,1,1,1,1,1,66.25
33:27.0,1.3788768,1.2173526,1.1981976,1.3452499,0.6123946,0.7136015,0.5704594,0.6905358,1.5017142,0.117460184,0.3925206,1.2492776,0.4051611,-0.097828396,-0.048622023,0.2975521,0.2062264,-0.31051433,-0.45387864,0.33504844,824.3956,853.4066,834.4689,797.8022,792.5641,-0.038269043,0.146789551,0.980407715,1.128997803,2.213134766,1.884155273,1,1,1,1,1,66.25
33:27.5,1.5027375,1.4932026,1.4978856,1.5351769,0.45901844,0.978612,0.97769165,0.70394635,1.4990814,0.37845686,0.8322007,1.2651618,0.47900116,0.14553246,0.25306338,0.36725682,0.10962792,-0.26024708,-0.40986124,0.2708844,829.6337,853.4066,856.2271,825.6044,794.17584,-0.041809082,0.141784668,0.981323242,0.13458252,2.489776611,1.585083008,1,1,1,1,1,66.25
33:28.0,1.5367333,1.5531574,1.6134593,1.6590817,0.9818985,1.075589,1.0591187,0.9462419,1.3976768,0.5895346,0.8322007,1.142983,0.4600067,0.23841089,0.28314343,0.41497698,-0.05392153,-0.25515696,-0.42893994,0.18613651,878.3883,873.95605,869.5238,882.8205,853.4066,-0.02734375,0.128417969,0.981689453,0.097198486,1.600036621,2.355194092,1,1,1,1,1,66.25
33:28.5,1.6558902,1.5577275,1.6239125,1.7503955,1.321049,1.0959951,1.1103163,1.210586,1.2078977,0.8028434,0.8996158,1.0870744,0.5218582,0.35021728,0.35672024,0.5330395,-0.18402514,-0.25991315,-0.37112564,-0.009081613,846.1539,848.1685,844.5421,857.03296,708.3516,-0.033813477,0.119995117,0.986206055,0.859832764,3.132781982,2.564544678,1,1,1,1,1,66.25
33:29.0,1.6625047,1.3423404,1.34204,1.6610647,1.2774934,0.9544046,0.9162259,1.2014674,1.2187294,0.79291403,0.7944163,0.9879657,0.44533956,0.3212276,0.20167635,0.46907163,-0.19635071,-0.34994102,-0.35947576,-0.17948848,849.3773,845.34796,834.87177,855.42126,871.53845,-0.035522461,0.129333496,0.994140625,1.86920166,1.884155273,2.796325684,1,1,1,1,1,66.25
33:29.5,1.5339078,1.0546772,1.019523,1.5372376,1.0794364,0.7471195,0.70402396,1.0377307,1.1685497,0.79291403,0.710111,1.038382,0.4551614,0.26704535,0.16780543,0.43364036,-0.11618302,-0.37096915,-0.35389364,-0.089052014,826.8132,840.5128,837.6923,834.4689,1014.9817,-0.030822754,0.132446289,0.982177734,1.076660156,2.557067871,2.362670898,1,1,1,1,1,66.22
33:30.1,1.3728405,0.8431731,0.70374745,1.3419935,0.84509027,0.50922066,0.26056668,0.79212105,1.3049786,0.6280929,0.56801546,1.2252542,0.4462136,0.13993597,-0.020829013,0.35525793,0.018937532,-0.48307255,-0.4014131,0.115699664,845.7509,859.45056,842.1245,838.9011,884.43225,-0.031616211,0.135864258,0.981872559,0.904693604,2.639312744,3.678588867,1,1,1,1,1,66.22
33:30.6,1.0216408,0.5821419,0.051870555,0.9973323,0.30277827,0.19364418,-0.52993006,0.24224572,1.3127707,0.2780243,-0.024595806,1.31072,0.52064764,-0.01997062,-0.1132845,0.35630095,0.14587885,-0.4535285,-0.46851248,0.23274502,859.85345,865.4945,862.27106,861.06226,712.381,-0.033081055,0.128723145,0.979675293,0.231781006,2.340240479,2.041168213,1,1,1,1,1,66.22
33:31.1,1.2069752,1.063073,0.99168485,1.2504777,0.5740898,0.7054125,0.4179542,0.6440668,1.4024321,0.87935275,0.71496457,1.3517514,0.61385006,0.23818062,0.16216816,0.5079564,0.18166852,-0.3227268,-0.4179195,0.22224109,801.8315,809.89014,802.23444,806.26373,791.75824,-0.03302002,0.127868652,0.989990234,1.241149902,1.839294434,2.100982666,1,1,1,1,1,66.22
33:31.6,1.3961335,1.2195623,1.1921701,1.4740598,0.75251997,0.8187776,0.4949814,0.84538853,1.3992075,0.87935275,0.71496457,1.3517514,0.5839648,0.2425227,0.1624287,0.48017728,0.139107,-0.25357845,-0.4564216,0.09764334,854.61536,844.94507,834.4689,861.06226,994.0293,-0.03314209,0.131347656,0.98059082,1.248626709,2.243041992,3.506622314,1,1,1,1,1,66.22
33:32.1,1.683135,1.2870243,1.3105237,1.7257757,0.9927119,0.90146494,0.6032734,1.0830867,1.1669123,0.87935275,0.71496457,1.0674086,0.4563344,0.22805434,0.09135351,0.3768851,-0.03719787,-0.35668743,-0.48087364,-0.0717996,843.3333,848.97437,835.2747,847.76556,894.10254,-0.028015137,0.139221191,0.98260498,1.592559814,2.467346191,2.863616943,1,1,1,1,1,66.22
33:32.6,1.6116248,1.1181346,1.1309351,1.6540986,0.9121523,0.6720133,0.3513202,0.994348,1.1182829,0.6463365,0.4201289,0.88357097,0.3068591,-0.006745079,-0.20095944,0.21120334,-0.18418068,-0.48445678,-0.5591143,-0.19919634,940.0366,948.9011,940.84247,933.5897,751.8681,-0.026916504,0.140014648,0.979125977,0.418701172,2.145843506,1.996307373,1,1,1,1,1,66.22
33:33.1,1.5933547,0.8270286,0.90480167,1.6092489,0.9028778,0.43230754,0.32008255,0.9547722,1.1276306,0.34943935,0.33848628,0.9090537,0.32998163,-0.073254496,-0.27909532,0.1885842,-0.32129303,-0.6192157,-0.56074053,-0.20937449,792.1612,800.2198,794.9817,786.9231,788.93774,-0.032653809,0.129211426,0.983337402,0.059814453,2.549591064,1.644897461,1,1,1,1,1,66.22
33:33.7,0.69921213,0.5374687,0.26160875,0.7188729,0.32929012,-0.096861795,0.10824758,0.22091533,0.92327416,0.25596443,0.16737485,0.8246308,0.43053448,-0.059475172,-0.2973334,0.30178943,-0.31000093,-0.66861564,-0.6498993,-0.2615907,852.1978,847.3626,838.9011,852.1978,991.6117,-0.031616211,0.124328613,0.985351563,1.218719482,2.415008545,3.095397949,1,1,1,1,1,66.22
