Var1,Var2
2017-10-16,"16:53:20.620,0.50360733,1.8919177,0.60866624,0.26694167,0.39861476,0.97003657,-0.17859365,0.20973971,1.2898017,1.1667125,-0.20156416,1.1329533,0.3232021,0.49214175,-0.38560623,0.3996362,-0.1822864,-0.13153352,-0.65816206,-0.013272924,835.2747,845.34796,833.663,794.17584,674.90845,-0.07867431640625,0.11053466796875,0.98309326171875,0.441131591796875,1.921539306640625,2.6019287109375,1,1.0,1.0,1.0,1.0,83.30"
2017-10-16,"16:53:21.127,0.28507227,1.6174912,0.58650833,0.19603842,0.3992024,1.044917,-0.18769254,0.2480504,1.3588135,1.3047136,-0.007664608,1.2034935,0.46099007,0.5385458,-0.3792147,0.4623221,-0.19707255,-0.08239599,-0.75906366,0.022299526,877.5824,836.4835,846.1539,892.8938,1052.8572,-0.08270263671875,0.10894775390625,0.983154296875,0.441131591796875,2.99072265625,2.639312744140625,1,1.0,1.0,1.0,1.0,83.30"
2017-10-16,"16:53:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:21.640,0.34603176,1.5291561,0.50835365,0.27498248,0.34131458,1.169021,-0.30956954,0.2888444,1.3594154,1.305898,0.030051699,1.203014,0.4732569,0.5914296,-0.32834455,0.40979746,-0.041857496,-0.121101625,-0.7472579,0.121489465,790.9524,823.1868,849.7802,715.2015,708.3516,-0.07684326171875,0.1112060546875,0.98748779296875,0.657958984375,2.6617431640625,2.49725341796875,1,1.0,1.0,1.0,1.0,83.30"
2017-10-16,"16:53:22.148,0.3170716,1.5749236,0.56427115,0.24709405,0.14361423,1.1186013,-0.2636507,0.19334933,1.2725862,1.3416008,0.034998957,1.156754,0.41684142,0.6315826,-0.3125877,0.38554543,-0.047637198,-0.082707725,-0.7278034,0.13010253,902.1612,905.38464,842.52747,930.3663,933.9927,-0.07415771484375,0.11077880859375,0.98321533203125,0.246734619140625,2.79632568359375,2.145843505859375,1,1.0,1.0,1.0,1.0,83.30"
2017-10-16,"16:53:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:22.653,0.32830915,1.6536845,0.44677988,0.32078797,0.12980807,1.0351545,-0.22800918,0.29179043,1.2066447,1.1532996,-0.02136617,1.0752991,0.27738467,0.6099651,-0.2856323,0.357508,-0.036671117,-0.07289413,-0.6440472,0.10743009,823.5897,830.0366,855.82416,769.59705,613.663,-0.07275390625,0.10931396484375,0.982421875,0.441131591796875,2.624359130859375,2.788848876953125,1,1.0,1.0,1.0,1.0,83.30"
2017-10-16,"16:53:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:23.159,1.2652427,1.815814,0.4145491,1.3342369,0.57055086,1.0447726,-0.012241884,0.6064554,1.2108619,0.96126205,0.14604403,1.0353224,0.32073385,0.601707,-0.29942518,0.3933592,-0.08724306,0.009312663,-0.68236816,0.04019081,778.86444,892.0879,861.06226,667.25275,594.7253,-0.07244873046875,0.1053466796875,0.98236083984375,0.37384033203125,2.624359130859375,2.235565185546875,1,1.0,1.0,1.0,1.0,83.30"
2017-10-16,"16:53:23.665,1.3548901,1.8871866,0.3195559,1.4468924,0.71614176,1.0757216,0.025723109,0.6897825,1.2909421,0.8135869,0.19069722,1.0485535,0.5068895,0.55287856,-0.15484755,0.5340423,-0.028401997,0.056225363,-0.50444984,0.09926008,828.022,884.83514,847.76556,765.16486,806.6667,-0.0760498046875,0.1070556640625,0.9835205078125,0.336456298828125,2.52716064453125,2.385101318359375,1,1.0,1.0,1.0,1.0,83.28"
2017-10-16,"16:53:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:24.171,1.4017587,1.8654106,0.6341341,1.5053056,0.72733593,1.1825484,0.06332542,0.6806169,1.2582647,0.7912195,0.19026133,0.90000826,0.6143942,0.5391144,-0.1467302,0.6149258,0.092918806,0.08033071,-0.52707934,0.17918277,881.2088,884.43225,845.34796,913.8461,1084.2858,-0.07135009765625,0.10772705078125,0.983154296875,0.485992431640625,2.714080810546875,2.40753173828125,1,1.0,1.0,1.0,1.0,83.28"
2017-10-16,"16:53:24.679,1.0597981,1.6368717,0.6841386,1.2256144,0.7117204,1.1057153,-0.03856241,0.5167288,1.286215,0.8353284,0.091865204,0.95108306,0.6433156,0.6053865,-0.14473866,0.6784075,0.18912236,0.044122767,-0.42108727,0.25056276,821.978,845.7509,836.4835,728.9011,576.5934,-0.0748291015625,0.1085205078125,0.9893798828125,0.657958984375,2.332763671875,2.2430419921875,1,1.0,1.0,1.0,1.0,83.28"
2017-10-16,"16:53:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:25.189,1.0592585,1.5033602,0.73915696,1.1630663,0.60107964,1.1184461,0.006338342,0.40927958,1.1323886,0.8169801,-0.045619875,0.99501985,0.60890186,0.5765714,-0.19981238,0.63342947,0.15724733,0.048155062,-0.38791165,0.25442612,792.1612,804.2491,855.42126,693.44324,627.76556,-0.072998046875,0.10968017578125,0.98272705078125,0.59814453125,2.474822998046875,2.6019287109375,1,1.0,1.0,1.0,1.0,83.28"
2017-10-16,"16:53:25.696,0.9711257,1.2719613,0.6469595,1.0729206,0.5327101,0.9730463,-0.05201412,0.30753824,1.1141623,0.6979541,-0.08018718,1.0220108,0.55994666,0.5534693,-0.2466222,0.56226754,0.101619676,0.051972963,-0.31367955,0.18426915,842.52747,847.76556,848.1685,804.2491,901.75824,-0.07012939453125,0.10498046875,0.98052978515625,-0.31402587890625,2.669219970703125,2.16827392578125,1,1.0,1.0,1.0,1.0,83.28"
2017-10-16,"16:53:26.199,0.778496,1.125934,0.5343188,0.8538582,-0.029209215,0.85857534,-0.07078777,0.050473113,1.086805,0.64917904,-0.08633133,0.9857851,0.454973,0.50953543,-0.29243785,0.41904527,-0.05112097,0.008252354,-0.3988719,0.028226852,898.1319,863.8828,847.76556,950.5128,1161.2454,-0.080322265625,0.10272216796875,0.98248291015625,0.5084228515625,3.00567626953125,1.92901611328125,1,1.0,1.0,1.0,1.0,83.28"
2017-10-16,"16:53:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:26.711,0.33920795,1.0562313,0.36605692,0.46534804,-0.1877131,0.6584102,-0.23131084,-0.038296577,1.0003792,0.6422654,-0.13413282,0.92551863,0.2729684,0.50108325,-0.41389513,0.23769864,-0.13759238,-0.07110186,-0.6066545,-0.12123052,910.6227,869.92676,849.3773,974.68866,1065.348,-0.07232666015625,0.1163330078125,0.98394775390625,0.777587890625,2.9010009765625,3.06549072265625,1,1.0,1.0,1.0,1.0,83.28"
2017-10-16,"16:53:27.218,0.724694,1.3063116,0.21373315,0.39135146,0.30122843,0.6622499,-0.28577915,0.09394959,1.2427076,0.6715149,-0.2935538,0.91056913,0.27366567,0.49948707,-0.3360607,0.1232423,-0.2152101,-0.12585226,-0.8290575,-0.06662474,861.06226,818.7546,848.97437,833.663,772.8205,-0.07421875,0.10797119140625,0.97869873046875,-0.142059326171875,2.145843505859375,2.190704345703125,1,1.0,1.0,1.0,1.0,83.28"
2017-10-16,"16:53:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:27.724,1.4806983,1.7734095,0.33114457,0.51788235,1.0724448,0.63171095,-0.110792935,0.21637167,1.3613392,0.6243367,-0.06788589,0.91056913,0.40787163,0.43462744,-0.2802118,0.13027744,-0.12097577,-0.14807245,-0.7029175,0.032490153,769.59705,790.9524,848.97437,686.1905,565.7143,-0.07537841796875,0.10662841796875,0.9847412109375,0.261688232421875,2.893524169921875,1.7645263671875,1,1.0,1.0,1.0,1.0,83.28"
