TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
41:28.0,0.8248292,0.3133638,0.49638125,0.92193186,0.20388427,-0.507688,-0.5041249,0.27741998,0.878819,-0.14893931,-0.2414347,0.7344942,0.2683599,-0.19819829,-0.00208315,0.43670678,-0.041192316,-0.4185301,-0.22710444,0.1938717,844.5421,850.18317,825.2015,748.6447,745.0183,100,0,0.053161621,0.272094727,0.951416016,0.919647217,1.532745361,2.75894165,1,1,1,1,1,59.63,NaN
41:28.5,0.70396507,0.34532028,0.4154644,0.76624304,0.2742957,-0.49650583,-0.61464834,0.34063804,0.88805073,-0.007830302,-0.29451403,0.7542612,0.2178107,-0.19879404,0.006817896,0.4029888,-0.07966135,-0.48550072,-0.18016347,0.21014485,833.2601,846.1539,855.42126,922.3077,921.0989,100,0,0.045837402,0.270507813,0.956298828,1.054229736,2.572021484,2.98324585,1,1,1,1,1,59.63,NaN
41:29.1,0.37834087,0.40109724,0.35489848,0.34309277,0.20773949,-0.43309516,-0.49206683,0.20945573,0.8749208,-0.005541366,-0.2064155,0.70076215,0.21814667,-0.2823505,-0.06618048,0.36873376,-0.20968741,-0.51817876,-0.23651208,0.18187417,834.87177,842.52747,860.65936,936.4103,1017.3993,100,0,0.059082031,0.276000977,0.959533691,1.173858643,3.177642822,1.786956787,1,1,1,1,1,59.63,NaN
41:29.6,0.20263211,0.30185613,0.38896242,0.0479897,0.18444136,-0.5697384,-0.39836004,0.28865296,0.70570314,-0.020350598,-0.19339526,0.68237484,0.21938905,-0.34434038,-0.049939845,0.3893,-0.20991564,-0.56138843,-0.27216995,0.15326633,824.7985,834.0659,834.87177,733.73627,710.3663,100,0,0.05090332,0.273681641,0.954589844,0.650482178,2.422485352,2.489776611,1,1,1,1,1,59.63,NaN
41:30.1,0.51747656,0.30551705,0.60278356,0.29829141,0.26798433,-0.5080049,-0.054831658,0.2804539,0.7785399,-0.19951214,0.095085315,0.74070174,0.3352949,-0.20890237,-0.042826325,0.39953688,-0.14072716,-0.55892813,-0.3588171,0.121168524,830.4396,843.3333,824.7985,823.1868,894.5055,100,0,0.052612305,0.277893066,0.955383301,0.598144531,2.616882324,2.0262146,1,1,1,1,1,59.63,NaN
41:30.6,1.139955,0.43114978,0.84071237,1.1575222,0.5924104,-0.23041855,0.19768053,0.59382004,0.8088017,-0.1822046,0.17697532,0.8038336,0.4918311,-0.014608076,0.120887384,0.53290397,0.046014965,-0.47557986,-0.18342336,0.16826013,810.293,848.97437,867.1062,917.0696,999.2674,100,0,0.050170898,0.270263672,0.950622559,0.560760498,2.370147705,2.205657959,1,1,1,1,1,59.63,NaN
41:31.1,1.2903184,0.49536175,0.9561394,1.3380278,0.7014232,-0.18858957,0.28393206,0.7247258,1.021555,-0.30607215,0.17439419,1.1241885,0.58128023,0.07510626,0.16593309,0.614342,0.21782267,-0.3440269,-0.18983501,0.28796285,839.707,848.5714,820.7692,744.21246,711.978,100,0,0.055725098,0.273620605,0.951660156,0.859832764,3.147735596,1.876678467,1,1,1,1,1,59.63,NaN
41:31.6,1.3479033,0.45349294,0.84281546,1.401898,0.8590074,-0.2368813,0.20333613,0.9130467,1.0837986,-0.09041604,0.08271865,1.2589817,0.50327414,-0.019473767,0.15012604,0.601014,0.19310674,-0.32873195,-0.12127452,0.2939378,846.55676,858.24176,838.49817,788.5348,684.9817,100,0,0.05670166,0.272277832,0.954711914,1.106567383,2.601928711,2.370147705,1,1,1,1,1,59.63,NaN
41:32.1,1.0541883,0.2665867,0.64589727,1.1033832,0.79829997,-0.47413224,0.1052471,0.8048339,1.0518355,-0.0549059,-0.0889669,1.2534004,0.4322272,-0.16231279,0.081531435,0.45548394,0.042091727,-0.38959038,-0.20592645,0.21222562,832.8571,853.4066,831.2454,737.76556,732.9304,100,0,0.054504395,0.273193359,0.955383301,0.515899658,2.766418457,1.794433594,1,1,1,1,1,59.63,NaN
41:32.7,0.76440066,0.15756626,0.23252448,0.8020523,0.64403224,-0.4316168,-0.049456973,0.5771786,1.0597205,-0.06326669,-0.035406046,1.2546619,0.29149693,-0.2820339,0.054929845,0.3415188,-0.2964191,-0.54848665,-0.28894043,-0.035315003,831.2454,851.39197,842.52747,863.8828,942.8571,100,0,0.044189453,0.269958496,0.957824707,0.86730957,3.162689209,2.639312744,1,1,1,1,1,59.63,NaN
