Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40
02:31.3,0.67142415,1.0381483,0.44244987,0.879329,0.40928826,0.35767415,0.44315228,0.3634832,1.1275456,0.5024383,0.5774018,0.9860509,0.14342996,-0.11167551,-0.15394485,0.39365017,-0.14549334,-0.44931298,-0.40681273,0.13360104,849.7802,848.97437,851.39197,859.0476,853.00366,32,0,0.085998535,-0.112365723,0.981140137,0.306549072,2.631835938,2.115936279,1,1,1,1,1,53.66
02:31.8,0.6175781,0.9800865,0.5182749,0.5940703,0.41359115,0.38934422,0.45219135,0.3843367,1.111085,0.5152664,0.5847666,1.1128323,0.24965677,-0.05398489,-0.088666975,0.39414904,-0.024671517,-0.3121426,-0.43173745,0.19152172,855.82416,846.55676,853.8095,846.55676,805.05493,42.000004,0,0.080932617,-0.114257813,0.978942871,0.643005371,2.863616943,2.676696777,1,1,1,1,1,53.66
02:32.3,0.6479299,0.6424033,0.23548883,0.49782407,0.4304671,0.078824155,0.011611427,0.48317513,1.1039255,0.29116234,0.29478812,1.1065198,0.19654825,-0.101264685,-0.09602923,0.2818455,-0.042185828,-0.25582242,-0.47501907,0.13282607,847.3626,853.4066,850.989,856.63007,899.34064,52.000004,0,0.081542969,-0.11315918,0.984924316,1.293487549,3.207550049,2.856140137,1,1,1,1,1,53.66
02:32.8,0.7312149,0.5629564,0.18830481,0.6534022,0.54043335,0.02338085,-0.19751874,0.52856886,1.1071141,0.24042204,0.1480522,1.0789914,0.1738967,-0.1572596,-0.08573863,0.30362436,-0.101534635,-0.25904703,-0.52861214,0.043214843,850.58606,853.8095,851.79486,848.5714,906.1905,61.999996,0,0.083068848,-0.10723877,0.981994629,0.418701172,2.250518799,2.168273926,1,1,1,1,1,53.66
02:33.3,0.85367143,0.481099,0.107177585,0.91854554,0.53063667,-0.061367624,-0.2735432,0.46852624,0.92233527,0.13356592,0.12125868,1.0437269,0.030803135,-0.29032478,-0.14958484,0.27158347,-0.28574207,-0.39377952,-0.5113691,-0.14293055,846.9597,847.76556,854.21246,839.707,778.46155,67.99999,0,0.084838867,-0.108703613,0.982849121,0.291595459,2.886047363,2.639312744,1,1,1,1,1,53.66
02:33.9,1.0575589,0.41716844,0.44488034,0.99168444,0.5391003,0.026214106,-0.022459585,0.40601426,0.8068544,-0.110252894,0.026422458,0.98175925,0.038230665,-0.21249504,-0.1600629,0.21396197,-0.43290958,-0.5291385,-0.51645553,-0.2165517,855.0183,852.1978,856.2271,850.18317,770,59.999996,0,0.088684082,-0.112609863,0.982177734,0.471038818,2.841186523,2.220611572,1,1,1,1,1,53.66
02:34.4,1.1070881,0.29346123,0.54700226,0.9634123,0.47769347,0.13394514,0.05969066,0.37881613,0.7841535,-0.10463541,-0.14846335,0.95702535,0.025876634,-0.22377816,-0.11483789,0.04510656,-0.39832675,-0.60367966,-0.43035287,-0.20812953,848.1685,860.2564,851.79486,826.4103,834.0659,48.000004,0,0.081604004,-0.115356445,0.983459473,0.029907227,3.132781982,2.205657959,1,1,1,1,1,53.66
02:34.9,1.0169122,0.2736205,0.5640207,0.81960356,0.44973102,0.20402618,0.069793984,0.4704058,0.8668709,0.14153345,-0.22452413,0.9594313,0.01698796,-0.19751218,-0.105426624,-0.01933007,-0.4394394,-0.5195955,-0.51430327,-0.22701731,857.8388,856.63007,850.989,859.0476,887.25275,40,0,0.07989502,-0.112731934,0.983276367,1.121520996,2.616882324,2.818756104,1,1,1,1,1,53.66
02:35.4,1.009279,0.71699667,0.71067977,1.1534553,0.5378139,0.41696092,0.10968472,0.70935243,1.0518582,0.3837567,-0.117495336,1.1824054,0.032650568,-0.15716235,-0.16741994,0.057685375,-0.28694037,-0.48272386,-0.63462126,-0.27557683,868.71796,848.1685,859.0476,888.0586,876.3736,40,0,0.077453613,-0.107849121,0.98449707,0.613098145,2.377624512,1.8019104,1,1,1,1,1,53.56
02:35.9,1.1793355,1.005186,0.693856,1.3670577,0.639693,0.4907341,0.087180935,0.7690993,1.0518582,0.4099812,-0.032147013,1.1995697,0.14938319,-0.11731887,-0.2355394,0.1674793,-0.22399078,-0.45690286,-0.5213944,-0.22728719,858.6447,854.61536,851.39197,856.2271,811.9048,33.999996,0,0.085388184,-0.109619141,0.979003906,-0.239257813,2.751464844,1.712188721,1,1,1,1,1,53.56
