Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40
28:27.5,1.0206598,0.17306408,0.31139207,0.79059875,0.68202543,-0.16833153,0.1447633,0.84231484,1.4378262,0.2275731,0.11448697,1.4232135,0.7660458,0.12313118,-0.088514805,0.53612006,0.50853235,-0.48793322,-0.7386452,0.29094332,813.1135,840.10986,844.94507,821.978,637.8388,100,100,0.225646973,0.282409668,0.932617188,0.740203857,1.996307373,2.302856445,1,1,1,1,1,39.58
28:28.0,0.86759245,0.27197462,0.07662026,0.5626161,0.6682013,-0.18012625,0.30976897,0.89067227,1.4658293,0.2745492,0.08470936,1.4927112,0.7605207,0.12628752,-0.048969623,0.5471326,0.5204529,-0.4155045,-0.687504,0.35927603,834.87177,843.3333,838.0952,810.293,747.03296,100,100,0.230773926,0.282897949,0.92767334,0.343933105,1.764526367,2.130889893,1,1,1,1,1,39.58
28:28.6,0.7268677,0.22148742,0.05528857,0.33824086,0.5673213,-0.24560267,0.21880813,0.80503935,1.4410906,0.18082468,0.043063346,1.4908878,0.7687119,-0.004834061,-0.17416528,0.56087995,0.49045777,-0.40002018,-0.64759296,0.33669198,850.989,844.5421,828.8278,826.0073,950.5128,100,100,0.224914551,0.280883789,0.928649902,0.583190918,3.013153076,2.572021484,1,1,1,1,1,39.58
28:29.1,0.49243146,-0.054036967,0.25814545,0.27099273,0.57871854,-0.2924606,0.15143524,0.73940986,1.4173257,0.17644605,0.4049836,1.5110594,0.79605186,-0.13006034,-0.28723842,0.55685824,0.54275846,-0.45983714,-0.64155644,0.25960118,833.663,838.0952,842.52747,817.1429,703.5165,100,100,0.219970703,0.284912109,0.928405762,0.710296631,2.691650391,2.198181152,1,1,1,1,1,39.58
28:29.6,0.5141612,-0.18873912,0.280402,0.34417328,0.5115519,-0.23747888,-0.03516928,0.6099969,1.2329303,0.15223455,0.4055975,1.5307801,0.78088146,-0.1548631,-0.2772778,0.53715265,0.501986,-0.5184508,-0.6477522,0.1969828,828.022,843.3333,839.707,869.92676,985.16486,100,100,0.215209961,0.273681641,0.932800293,0.456085205,2.250518799,1.884155273,1,1,1,1,1,39.58
28:30.1,0.44876635,0.026703296,0.2912055,0.36182922,0.49626443,-0.14547631,-0.048447434,0.54105425,1.2345097,0.2364966,0.40594617,1.5288247,0.7940457,-0.17732154,-0.21764684,0.5020669,0.5519937,-0.58447653,-0.6053989,0.3266826,834.4689,846.9597,834.87177,846.55676,783.69965,100,100,0.208862305,0.268127441,0.920837402,-1.308441162,2.287902832,4.89730835,1,1,1,1,1,39.58
28:30.6,0.39398307,0.28648278,0.3217209,0.20039147,0.46120995,0.013740869,0.026213406,0.47312585,1.224162,0.40080956,0.3912368,1.5361687,0.7408818,-0.19340053,-0.16001457,0.51032275,0.514503,-0.61901516,-0.5546808,0.41796795,817.9487,847.76556,846.55676,869.5238,1061.7216,100,100,0.230834961,0.280334473,0.924682617,-0.732727051,1.278533936,2.198181152,1,1,1,1,1,39.58
28:31.1,0.2846498,0.33008885,0.3427791,0.27612096,0.5388538,0.059570223,-0.021260608,0.6344875,1.2134247,0.40080956,0.11096134,1.45851,0.7467193,-0.116903156,-0.13929379,0.50824964,0.5161559,-0.669216,-0.5036473,0.41260058,813.91943,849.3773,841.7216,846.9597,866.7033,100,100,0.223388672,0.279724121,0.932434082,1.368255615,4.344024658,2.071075439,1,1,1,1,1,39.58
28:31.6,0.72780794,0.28566012,0.36237234,0.578527,0.60185575,0.26335466,0.20285091,0.83548725,1.1880206,0.53210735,0.469567,1.4320841,0.7365635,-0.08490517,-0.17802171,0.6046385,0.41279387,-0.656381,-0.51673496,0.33945808,827.619,848.97437,842.9304,837.6923,802.6374,100,100,0.21875,0.279052734,0.929931641,0.859832764,3.125305176,4.142150879,1,1,1,1,1,39.58
28:32.1,0.83402354,0.06429726,0.19914976,0.7347598,0.6397565,0.2792497,0.097878434,0.8142661,1.3505045,0.462669,0.44781962,1.41487,0.7793915,-0.059106026,-0.123800054,0.60063136,0.32624233,-0.6426586,-0.58913416,0.38202187,827.619,841.31866,842.1245,837.6923,1027.0696,100,100,0.228210449,0.285888672,0.928833008,0.605621338,2.489776611,1.413116455,1,1,1,1,1,39.58
28:32.7,0.8890493,-0.04248824,0.09623874,0.7183339,0.63690364,0.24786258,0.154577,0.76015425,1.347362,0.511792,0.447173,1.4782408,0.8712419,-0.068426356,-0.09910062,0.6153505,0.30605996,-0.6570677,-0.71028155,0.41191176,836.4835,842.1245,839.707,870.32965,1095.1648,100,100,0.217712402,0.281982422,0.932617188,-0.02243042,3.319702148,2.265472412,1,1,1,1,1,39.58
28:33.2,0.6586569,-0.15448783,0.054379854,0.44034743,0.62726736,-0.06274206,-0.06260742,0.54563445,1.3490505,0.26602048,0.3154692,1.4844611,0.86775225,-0.080192976,-0.08939968,0.51070017,0.40468457,-0.6942484,-0.74292964,0.42946258,803.44324,841.7216,843.73627,850.18317,921.50183,100,100,0.22479248,0.283813477,0.929748535,1.039276123,3.080444336,1.93649292,1,1,1,1,1,39.58
28:33.7,0.3734116,-0.04968,-0.030425297,0.17742008,0.7926417,-0.15480326,-0.17176871,0.652711,1.6259924,0.3444792,0.14751181,1.529403,0.86508167,-0.0201252,-0.13849343,0.537107,0.47395146,-0.7402363,-0.74884176,0.46314222,854.21246,843.3333,859.45056,878.7912,728.49817,100,100,0.221374512,0.281677246,0.930908203,0.837402344,2.534637451,2.235565186,1,1,1,1,1,39.58
28:34.2,0.46479613,-0.052079152,0.07583256,0.22133994,1.003792,-0.092501715,-0.04292873,0.77375245,1.6370301,0.3217523,0.21075238,1.5906605,0.84599745,0.017144566,-0.12725295,0.68147516,0.5040158,-0.7601984,-0.7001537,0.4696931,841.31866,845.7509,846.55676,836.8865,624.94507,100,100,0.214294434,0.281433105,0.93145752,0.358886719,3.095397949,1.532745361,1,1,1,1,1,39.58
28:34.7,0.5590688,0.053666927,0.044839166,0.21924192,1.05572,0.05721661,0.010452873,0.7819525,1.7072726,0.29946932,0.2472432,1.5984582,0.8542582,-0.028685683,-0.10000394,0.739375,0.49201125,-0.7103799,-0.66138077,0.43124518,832.0513,849.7802,844.1392,871.53845,1086.7032,100,100,0.212585449,0.277160645,0.933959961,0.598144531,3.431854248,2.437438965,1,1,1,1,1,39.58
28:35.2,0.5554449,0.011636848,0.083079256,0.07557769,0.9373581,0.026739646,0.053814027,0.5953328,1.6825305,0.21328604,0.25089496,1.5885799,0.83475566,-0.06999706,-0.13532223,0.6619413,0.4395968,-0.6210501,-0.6407204,0.3856184,876.3736,849.3773,842.1245,893.69965,986.77655,100,100,0.21081543,0.275634766,0.93762207,0.493469238,3.237457275,2.706604004,1,1,1,1,1,39.58
28:35.7,1.0310532,0.019691845,-0.15438078,-0.12752506,0.7169139,-0.030979658,-0.22608088,0.27821407,1.6119099,0.090511665,0.099125065,1.5229291,0.75001687,-0.0773386,-0.2577259,0.46255592,0.48996574,-0.5508527,-0.714112,0.48076698,834.87177,855.0183,839.707,866.30035,1075.8242,100,100,0.210449219,0.274597168,0.933654785,0.500946045,2.796325684,2.317810059,1,1,1,1,1,39.58
28:36.3,1.1475046,0.7527732,0.4249914,0.35912207,0.6870454,0.13667879,0.07668782,0.45562813,1.4724085,0.57546407,0.37731126,1.4927754,0.77379346,-0.020542929,-0.27069288,0.46438202,0.4727572,-0.446182,-0.8500541,0.53138334,819.15753,890.07324,824.7985,841.31866,1033.1135,100,100,0.21282959,0.273193359,0.932067871,0.052337646,1.764526367,2.990722656,1,1,1,1,1,39.58
28:36.8,1.5010829,1.6633186,1.5146486,0.50951993,0.8610189,0.7215882,0.577658,0.583347,1.4743923,0.61083305,0.46871984,1.4588561,0.7025795,-0.033944987,-0.2783794,0.5277502,0.4771129,-0.37661374,-0.8265357,0.538261,866.7033,828.8278,844.5421,863.8828,850.989,100,100,0.220153809,0.273986816,0.93170166,1.136474609,1.77947998,2.497253418,1,1,1,1,1,39.55
28:37.3,1.5699203,1.8725213,1.9387779,1.2695289,0.90797275,0.9132729,0.7838017,0.82676184,1.4692036,0.608811,0.4788556,1.4263932,0.67316437,-0.050289575,-0.20181972,0.50962996,0.42996457,-0.28567156,-0.79588974,0.49003395,821.5751,845.7509,843.3333,831.2454,639.85345,100,100,0.218017578,0.271484375,0.936218262,0.463562012,2.609405518,2.437438965,1,1,1,1,1,39.55
28:37.8,1.6725875,2.114048,1.950503,1.3045486,0.99788016,1.1134346,0.7524256,0.7421323,1.4365476,0.6012341,0.47121942,1.4013249,0.74265987,-0.04902443,-0.20288706,0.71464366,0.58902466,-0.3257027,-0.65384305,0.49560988,834.0659,827.619,844.1392,830.0366,695.8608,100,100,0.22052002,0.276306152,0.935668945,0.800018311,3.349609375,1.517791748,1,1,1,1,1,39.55
28:38.3,1.3287485,0.45916873,1.7734722,1.1033657,0.86825675,-0.06844303,0.57156324,0.9076187,1.5762762,-0.00109122,0.3091773,1.5008345,0.9512281,-0.15027857,-0.17209473,0.75179654,0.6597664,-0.76187587,-0.64757866,0.43768945,847.76556,846.9597,842.1245,842.9304,882.8205,100,100,0.215576172,0.26953125,0.933227539,0.553283691,3.416900635,2.093505859,1,1,1,1,1,39.55
28:38.8,1.1590134,0.36897907,0.7282507,0.8044334,0.9156309,0.1838371,0.3026208,0.95620245,1.5940937,0.19331045,0.27720314,1.5086955,0.9349063,-0.12532501,-0.19927773,0.7656672,0.6288015,-0.6536808,-0.6239608,0.43626815,810.696,841.7216,837.28937,853.8095,788.1319,100,100,0.214050293,0.270263672,0.936035156,0.814971924,2.73651123,2.190704346,1,1,1,1,1,39.55
28:39.3,1.07473,0.24387097,-0.16542801,0.56690174,0.8427834,0.22172372,0.35214847,1.0185604,1.6102746,0.2993201,0.27883154,1.5072265,0.8715918,-0.16410413,-0.20275511,0.72103095,0.50746715,-0.614818,-0.75010455,0.39984676,846.1539,835.6777,840.10986,859.85345,1050.8425,100,100,0.215209961,0.272155762,0.934448242,1.121520996,2.108459473,2.325286865,1,1,1,1,1,39.55
28:39.8,0.8078827,0.07424005,-0.2649523,0.54737127,0.79743344,0.27837712,0.23314053,0.97074646,1.5573634,0.31237873,0.20186031,1.2914993,0.89624465,-0.030623727,-0.25539142,0.66537577,0.4125964,-0.6047047,-0.769979,0.43255994,798.60803,844.1392,845.34796,834.87177,826.0073,100,100,0.218078613,0.270935059,0.934204102,0.366363525,2.280426025,2.168273926,1,1,1,1,1,39.55
28:40.4,0.79668397,0.57835585,0.21541622,0.52206093,0.99389166,0.38925776,0.66993606,0.957544,1.5932955,0.50891364,0.7590534,1.3912789,0.8862087,0.00630496,-0.25724533,0.6314868,0.4828814,-0.5845044,-0.7330005,0.4678166,820.7692,840.10986,841.31866,828.8278,862.27106,100,100,0.217529297,0.270446777,0.942321777,0.657958984,3.102874756,1.861724854,1,1,1,1,1,39.55
28:40.9,0.86481214,0.6657728,0.3710837,0.49376395,0.9891492,0.36540005,0.6709363,0.9276316,1.325498,0.4842683,0.7599558,1.376688,0.8913107,0.03175888,-0.20680246,0.6067284,0.61327875,-0.5729216,-0.65319806,0.50750345,823.9927,843.73627,839.707,843.73627,1099.597,100,100,0.216430664,0.26739502,0.934326172,0.284118652,2.796325684,2.00378418,1,1,1,1,1,39.55
28:41.4,1.0000645,0.64020985,0.35257787,0.4944019,0.9472137,0.3347118,0.65804696,0.82706636,1.4152735,0.49285617,0.7604143,1.4537295,0.72692436,-0.11433819,-0.18238017,0.51960117,0.69806844,-0.4969418,-0.64305574,0.4190125,849.3773,848.97437,845.34796,868.71796,1006.1172,100,100,0.217468262,0.269104004,0.933105469,0.650482178,2.863616943,2.220611572,1,1,1,1,1,39.55
28:41.9,0.94712615,0.23979524,0.13221769,0.4122428,0.6507448,0.15547928,0.05394173,0.7196068,1.4061431,0.39892954,0.35299975,1.3367438,0.6406635,-0.25067693,-0.20678084,0.40622082,0.73479974,-0.5530119,-0.7250323,0.32386643,801.02563,851.39197,833.663,846.55676,792.96704,100,100,0.219482422,0.267944336,0.936401367,0.807495117,3.469238281,2.280426025,1,1,1,1,1,39.55
28:42.4,1.1303052,0.3633159,0.36132497,0.50893086,0.73918617,0.35768262,0.01823597,0.62074405,1.4579045,0.44266173,0.028077532,1.3812107,0.7288515,-0.25709534,-0.22269881,0.43315104,0.7479828,-0.62952024,-0.7789015,0.2825641,831.2454,841.7216,858.24176,825.2015,633.8095,100,100,0.214904785,0.276489258,0.938781738,0.897216797,2.631835938,2.056121826,1,1,1,1,1,39.55
