Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26
26:51.0,0.70010424,0.9592143,0.9928929,0.6880864,0.6703833,0.48053712,0.5450904,0.5849642,1.2494401,0.79198235,0.7424773,1.0860825,0.4858634,0.2476033,0.14657769,0.5334367,0.1424014,0.02651457,0.1189982,0.08371897,859.0476,850.989,845.34796,869.12085,985.56775
26:51.5,0.873589,1.1459173,1.1302806,0.6195097,0.7008457,0.57613087,0.66428137,0.55849326,1.2494401,0.7640417,0.69786507,0.88111633,0.5032872,0.29477766,0.17251067,0.57150877,0.19103116,0.022922754,0.19798508,0.18213955,848.97437,844.94507,853.4066,852.6007,821.978
26:52.0,0.76301676,1.2283528,1.186707,0.39988738,0.449946,0.54721594,0.55916244,0.1939861,1.0805686,0.75056434,0.6649134,0.8556891,0.4714025,0.3528145,0.28615296,0.6152401,0.24351478,0.045101665,0.22040534,0.30581802,855.0183,853.8095,842.1245,853.4066,733.73627
26:52.5,0.69696397,1.172112,1.0717909,0.24346024,0.25505066,0.43896127,0.40552193,-0.016240742,0.9282011,0.6573083,0.47881624,0.9084634,0.47384593,0.33991015,0.32026124,0.6198393,0.22067173,0.028110843,0.20168135,0.3049375,840.9158,845.34796,834.0659,832.4542,862.674
26:53.0,1.04681,0.97688365,0.8559248,1.0451697,0.41722083,0.23491988,0.13396072,0.45064655,1.007439,0.3393127,0.513183,1.0838772,0.52779204,0.29388162,0.46843916,0.62974674,0.40254486,0.25034687,0.33558303,0.42418107,865.4945,847.3626,846.9597,851.39197,779.67035
26:53.5,1.1989123,0.9562183,0.72552663,1.2127495,0.524746,0.41990742,0.13958517,0.60653603,0.9985735,0.21709305,0.5123765,1.0838772,0.53899413,0.21396452,0.4176047,0.6172733,0.4568849,0.28959876,0.35570893,0.4220258,834.0659,823.5897,857.4359,845.7509,823.5897
26:54.0,1.3694108,1.0068481,0.75239193,1.3181397,0.7142962,0.52424634,0.24789491,0.8160208,1.0323498,0.2769524,0.5137617,1.0908378,0.5473853,0.13043347,0.34430414,0.49789667,0.57034624,0.340894,0.34234124,0.407736,866.30035,850.58606,860.2564,848.1685,728.9011
26:54.6,0.5059094,1.0143031,0.7765518,0.6835953,0.2619385,0.50823444,0.2646588,0.5246089,1.1065911,0.36059645,0.4753692,0.95834655,0.44892395,0.08232891,0.059298072,0.40690637,0.18529312,0.17821202,0.15475677,0.07169742,847.3626,846.1539,850.58606,842.9304,848.5714
26:55.1,0.47856322,1.0455908,0.84127617,0.55983114,0.44211635,0.32450745,0.27818573,0.50288177,1.1582239,0.34658295,0.42343456,1.2326957,0.54637367,0.14561772,0.017742474,0.4252005,0.16638803,0.12999538,0.06584941,0.058868084,845.34796,840.5128,859.0476,847.3626,799.81683
26:55.6,0.52888554,0.9323615,0.77261174,0.29714015,0.5126628,0.27407405,0.2428579,0.33670864,1.1754113,0.4133097,0.4399381,1.3582972,0.4775625,0.20026587,0.113099456,0.42188355,-0.000278,0.036250275,0.025198136,-0.040996898,857.03296,842.9304,840.9158,862.27106,880.80585
