Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38
38:56.2,0.4532288,0.38658556,0.25613347,0.3471149,0.51659644,0.14500152,-0.05851804,0.21691172,0.9609267,0.13887098,-0.08650229,0.7296926,-0.076573804,-0.24632716,-0.45390922,-0.0757904,-0.28452718,-0.59455633,-0.6829245,-0.15948382,853.8095,856.2271,850.18317,859.0476,822.7839,0.007568359,0.141723633,0.985351563,0.695343018,2.153320313,2.280426025,1,1,1,1,1,62.38
38:56.7,0.53285396,0.27159148,0.012530001,0.70035493,0.45844918,0.072788,-0.19656673,0.2593267,0.96030277,0.17549057,-0.03971093,0.77261835,0.000374,-0.27706087,-0.4459975,-0.015533365,-0.3184709,-0.53379965,-0.5993194,-0.20376895,887.6557,853.4066,856.2271,929.5604,1158.8279,0.008666992,0.144836426,0.981018066,0.328979492,2.265472412,2.213134766,1,1,1,1,1,62.38
38:57.2,0.5401078,0.042932536,-0.3160362,0.71131593,0.066553645,-0.096997954,-0.4028062,0.07907226,0.6695073,0.17549057,-0.021494411,1.0243715,0.012421052,-0.33223143,-0.43889347,0.041526888,-0.38890466,-0.5637875,-0.647846,-0.30456915,804.65204,851.79486,855.42126,772.8205,581.4286,0.012817383,0.146911621,0.985046387,0.942077637,2.98324585,2.287902832,1,1,1,1,1,62.38
38:57.7,0.5181207,-0.062498942,-0.23474914,0.69850534,0.00873992,-0.25734076,-0.47789565,0.2047863,0.6315786,0.11096643,-0.04476856,1.0521758,0.033237994,-0.40746552,-0.458921,0.041486632,-0.4493559,-0.44178244,-0.74041784,-0.41080934,832.8571,867.1062,849.7802,824.3956,915.4579,0.014953613,0.141357422,0.97833252,-0.246734619,3.648681641,2.624359131,1,1,1,1,1,62.38
38:58.2,0.38314217,0.0761741,-0.098472,0.42184144,0.17517126,-0.2763251,-0.6403832,0.22719993,0.64906293,-0.42777863,-0.20639624,1.0663558,0.063549206,-0.17517795,-0.46820065,0.17545661,-0.4571644,-0.3753061,-0.8376918,-0.40375465,871.53845,864.68866,855.0183,889.67035,1183.8096,0.003295898,0.13861084,0.983093262,0.328979492,1.727142334,2.123413086,1,1,1,1,1,62.38
38:58.8,0.22712013,0.33098412,-0.068150505,0.4041788,0.110380396,-0.32483023,-0.68404394,0.41147378,0.78047013,-0.38867652,-0.24955423,1.2871691,0.054232232,-0.05513881,-0.47724792,0.22750995,-0.45406976,-0.34979433,-0.81974435,-0.3181709,880,854.21246,858.24176,906.1905,1123.37,0.010131836,0.145874023,0.977294922,0.702819824,1.540222168,2.228088379,1,1,1,1,1,62.38
38:59.3,0.22369121,0.35457703,-0.039820846,0.36017382,0.17379679,-0.24777369,-0.49721852,0.47107255,0.7838604,-0.2647301,-0.24582879,1.2794282,0.07077238,-0.07068111,-0.4780421,0.24020717,-0.43693995,-0.46924546,-0.73827684,-0.24215187,867.1062,860.65936,848.97437,870.7326,819.5604,0.00958252,0.140991211,0.984313965,0.127105713,2.317810059,1.93649292,1,1,1,1,1,62.38
38:59.8,0.29755223,0.25149444,0.022305751,0.23959988,0.28398645,-0.23219526,-0.38685745,0.4018691,0.80697405,-0.16541165,-0.27761155,1.3097423,0.04902844,-0.25607398,-0.5849028,0.12461123,-0.36965257,-0.5080252,-0.7834961,-0.15994032,836.08057,855.0183,855.42126,826.0073,974.68866,0.009887695,0.145263672,0.981140137,0.583190918,2.706604004,2.856140137,1,1,1,1,1,62.38
39:00.3,0.311005,-0.07946261,0.0321192,0.074466705,0.39676076,-0.19806959,-0.36130047,0.3146346,0.76481384,-0.059645463,-0.37687257,1.2482111,0.048032347,-0.4377629,-0.57864076,-0.046358936,-0.3163443,-0.5091284,-0.75602484,-0.0922407,805.05493,856.63007,861.4652,784.5055,570.14655,0.012084961,0.143493652,0.982055664,0.657958984,3.828125,1.996307373,1,1,1,1,1,62.38
39:00.8,0.5047863,0.10313708,0.14690146,0.29137725,0.39884675,-0.050818894,-0.20953871,0.3368903,0.81163824,-0.08453165,-0.11682701,1.1241449,0.04791493,-0.47941238,-0.57303965,0.023564804,-0.25524536,-0.47202286,-0.7654585,-0.040411748,830.4396,852.1978,857.8388,836.08057,934.7985,0.006774902,0.141906738,0.981750488,0.074768066,3.282318115,1.749572754,1,1,1,1,1,62.38
