Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40
18:09.3,0.21659873,0.2449187,0.12715805,0.46186057,0.14010702,-0.017166074,0.12473732,0.16328035,0.8823518,0.20405039,-0.14459226,0.6553882,-0.049382973,-0.28619987,-0.16146404,0.13668396,-0.13002488,-0.5942553,-0.5736831,-0.1151874,855.82416,855.0183,850.989,854.21246,896.9231,29.999996,56.000042,-0.316711426,0.123657227,0.926696777,0.657958984,2.392578125,2.385101318,1,1,1,1,1,93.89
18:09.9,0.29781657,0.3424379,0.25392628,0.45269176,0.27824277,0.25664884,0.044754036,0.20482533,0.81118196,0.1564248,-0.100905195,0.6091137,-0.077870674,-0.33696812,-0.2117637,0.09775675,-0.12108046,-0.53418034,-0.50248843,-0.06417015,847.76556,858.24176,847.3626,844.94507,822.381,40,66.00003,-0.309143066,0.12512207,0.930786133,0.710296631,2.422485352,1.82434082,1,1,1,1,1,93.89
18:10.4,0.47187206,0.37538254,0.31159136,0.4846734,0.29452217,0.28492925,-0.04843508,0.14156432,0.67376435,0.16373236,-0.11774031,0.30042621,-0.079471774,-0.30055586,-0.36023208,0.078058764,-0.17948712,-0.5088228,-0.51220554,-0.05564491,867.50916,838.0952,845.34796,867.50916,809.89014,50.000008,76.00002,-0.307250977,0.128662109,0.930541992,-0.007476807,2.415008545,1.876678467,1,1,1,1,1,93.89
18:10.9,0.6130779,0.7237987,0.36316678,0.6376898,0.35705256,0.43857226,-0.1506478,0.21975565,0.4747706,0.20853804,-0.18508625,0.11525732,-0.088105224,0.057756387,-0.41073683,0.056220282,-0.3394669,-0.28358015,-0.55133843,-0.11359626,850.989,851.39197,845.34796,850.18317,871.13556,48.000004,86.000015,-0.303039551,0.122802734,0.933898926,0.411224365,2.145843506,2.684173584,1,1,1,1,1,93.89
18:11.4,1.4200662,0.753883,0.5023838,1.461528,-0.021808902,0.26351228,-0.22010629,0.32116446,0.40389776,0.22623335,-0.35813385,0.08001494,0.1255831,0.14449047,-0.33191577,0.093754545,-0.15895098,-0.14323081,-0.48641905,-0.21295801,853.00366,845.34796,846.9597,848.1685,841.7216,38,78.00002,-0.301696777,0.12109375,0.931884766,0.657958984,2.766418457,2.056121826,1,1,1,1,1,93.89
18:11.9,1.2123076,0.76234,0.5604288,1.2240018,0.120315656,0.241461,-0.13985215,0.2206125,0.5796138,0.20039743,-0.30211636,0.12682393,-0.002955472,0.19556372,-0.24395637,0.09296009,-0.29320177,-0.14576766,-0.42679462,-0.16709529,832.8571,853.8095,832.0513,831.2454,826.4103,27.999994,68.00003,-0.291992188,0.12298584,0.94140625,0.710296631,2.519683838,2.355194092,1,1,1,1,1,93.89
18:12.4,1.0526142,0.5367979,0.6567126,1.0784972,0.115040734,0.0930518,0.026595226,0.3026941,0.5796138,0.1918656,0.11971005,0.30286434,0.048994653,-0.002292679,-0.25717196,0.18144941,-0.366768,-0.29257813,-0.55445665,-0.2291265,837.6923,842.52747,844.5421,842.52747,866.7033,17.999994,58.00004,-0.293029785,0.121154785,0.936767578,0.568237305,1.734619141,2.676696777,1,1,1,1,1,93.89
18:12.9,0.4478256,0.5241685,0.6017856,0.47635463,0.047975667,0.13846375,0.073814094,0.20855075,0.551657,0.16612636,0.12683171,0.3735601,0.1245253,-0.089444846,-0.3096602,0.17496315,-0.38426298,-0.60130274,-0.78362936,-0.22487627,834.4689,845.7509,844.1392,835.6777,830.4396,15.999995,50.000046,-0.290222168,0.125671387,0.941162109,0.014953613,2.504730225,2.841186523,1,1,1,1,1,93.89
18:13.4,0.35079172,0.637922,0.5208108,0.39795396,0.019839233,0.14095445,-0.014908561,0.181442,0.6044849,0.16089414,0.13247521,0.41673398,0.1457178,-0.1472989,-0.28634983,0.16822162,-0.40246302,-0.6906425,-0.76859516,-0.31322312,848.1685,853.4066,844.1392,842.1245,896.9231,23.999994,50.000046,-0.287353516,0.126525879,0.944702148,0.328979492,2.572021484,2.564544678,1,1,1,1,1,93.89
18:13.9,0.11680052,0.58169717,0.29366705,0.17653576,-0.058899004,0.025750162,-0.18801008,-0.08015964,0.6605017,-0.09419663,-0.001566644,0.4298235,0.08497867,-0.2097568,-0.23893848,0.1312652,-0.40288752,-0.6521631,-0.73402333,-0.3308991,857.4359,857.4359,847.76556,849.7802,822.7839,33.999996,50.000046,-0.281433105,0.118469238,0.949584961,0.777587891,2.534637451,1.772003174,1,1,1,1,1,93.89
