Var1,Var2
2017-10-16,"16:51:53.689,1.0840747,1.3283327,1.5027856,0.0,0.17440309,0.84570813,0.015170581,0.0,0.43520775,0.35392937,-0.011682235,0.0,0.2054672,0.39673072,0.03172061,0.0,-0.30222112,0.05567598,0.12495596,0.0,659.19415,859.45056,842.9304,507.28937,471.8315,-0.12060546875,0.10150146484375,0.9791259765625,0.426177978515625,2.998199462890625,2.6318359375,1,1.0,1.0,1.0,1.0,83.45"
2017-10-16,"16:51:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:51:54.200,1.345759,1.3283327,1.0807203,0.0,0.69697225,0.84570813,-0.08831334,0.0,0.7058649,0.35392937,0.04274275,0.0,0.8723462,0.39673072,0.13675724,0.0,0.4956016,0.05567598,0.21979581,0.0,717.2161,875.9707,858.6447,539.5238,608.8278,-0.1201171875,0.103271484375,0.9749755859375,-0.179443359375,3.7982177734375,2.22808837890625,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:51:54.708,1.6322751,1.3283327,0.50189245,0.0,0.6357561,0.84570813,-0.0024614497,0.0,1.1715972,0.35392937,0.35527098,0.0,0.86606264,0.39673072,0.2653117,0.0,0.43014774,0.05567598,0.28279287,0.0,939.2308,889.67035,860.2564,991.2088,1059.7069,-0.138671875,0.10650634765625,0.971435546875,0.478515625,3.9776611328125,2.82623291015625,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:51:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:51:55.215,1.663341,1.3283327,0.49720097,0.0,0.52581054,0.84570813,0.12558793,0.0,1.2548366,0.35392937,0.5744265,0.0,0.8553636,0.39673072,0.3299906,0.0,0.3383314,0.05567598,0.20181508,0.0,972.27106,883.6264,841.31866,1150.3663,1059.7069,-0.13641357421875,0.1075439453125,0.97637939453125,0.157012939453125,3.0804443359375,2.3028564453125,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:51:55.744,1.5441294,1.3283327,0.62482864,0.0,0.49157915,0.84570813,0.4631958,0.0,1.4075414,0.35392937,0.6864543,0.0,0.799365,0.39673072,0.37010822,0.0,0.26317528,0.05567598,0.18304443,0.0,722.4542,778.86444,851.79486,544.7619,604.3956,-0.14044189453125,0.10772705078125,0.97247314453125,-0.0,2.37762451171875,1.86920166015625,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:51:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:51:56.256,1.0967132,1.3283327,0.9520052,0.0,0.5701176,0.84570813,0.4424125,0.0,1.3815476,0.35392937,0.6748639,0.0,0.7067156,0.39673072,0.31544194,0.0,0.24983384,0.05567598,0.18814895,0.0,728.9011,729.304,846.55676,570.9524,510.1099,-0.1390380859375,0.10394287109375,0.97607421875,-0.052337646484375,1.9439697265625,2.46734619140625,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:51:56.770,1.0977647,1.3283327,1.2532473,0.0,0.65414107,0.84570813,0.28921124,0.0,1.3670686,0.35392937,0.61303335,0.0,0.6678322,0.39673072,0.16950203,0.0,0.27036005,0.05567598,0.17054991,0.0,799.011,685.38464,841.31866,698.2784,753.8828,-0.13531494140625,0.10498046875,0.98040771484375,0.40374755859375,2.4224853515625,2.534637451171875,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:51:57.279,1.3135884,1.3283327,1.5692756,0.0,0.6197512,0.84570813,0.012683013,0.0,1.341066,0.35392937,0.003153083,0.0,0.6727443,0.39673072,0.03379178,0.0,0.29368883,0.05567598,0.0059393295,0.0,959.7802,803.0403,842.9304,1086.7032,1085.4945,-0.13134765625,0.10650634765625,0.97467041015625,-0.1495361328125,2.31781005859375,2.175750732421875,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:51:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:51:57.795,1.3493501,1.3283327,1.522952,0.0,0.5707254,0.84570813,-0.059527535,0.0,1.3200687,0.35392937,-0.2670341,0.0,0.678489,0.39673072,-0.15304029,0.0,0.30698007,0.05567598,-0.26943702,0.0,954.5421,899.34064,840.5128,1086.7032,958.5714,-0.12896728515625,0.10272216796875,0.975830078125,0.186920166015625,3.431854248046875,2.1533203125,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:51:58.319,0.59410024,1.3283327,1.4256493,0.0,0.123611726,0.84570813,-0.20548804,0.0,0.9824167,0.35392937,-0.2983849,0.0,0.27759412,0.39673072,-0.3692014,0.0,0.14059539,0.05567598,-0.5146934,0.0,774.0293,823.5897,847.76556,652.74725,759.5238,-0.13397216796875,0.10943603515625,0.97406005859375,0.500946044921875,3.072967529296875,2.026214599609375,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:51:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:51:58.836,0.54538244,1.3283327,0.26751405,0.0,0.07682434,0.84570813,-0.7784632,0.0,1.1250619,0.35392937,-0.17056781,0.0,0.32442048,0.39673072,-0.47402683,0.0,0.19662587,0.05567598,-0.67546725,0.0,1008.5348,878.3883,857.03296,1102.8206,1088.7179,-0.13995361328125,0.102783203125,0.9759521484375,-0.0299072265625,2.190704345703125,2.55706787109375,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:51:59.351,1.4973959,1.3283327,-0.094129905,0.0,0.381461,0.84570813,-0.35989657,0.0,1.1440878,0.35392937,0.11158569,0.0,0.27587023,0.39673072,-0.46100318,0.0,0.2419165,0.05567598,-0.7734372,0.0,855.0183,815.12823,855.82416,829.2308,914.65204,-0.12872314453125,0.10205078125,0.97613525390625,0.2691650390625,2.429962158203125,2.392578125,1,1.0,1.0,1.0,1.0,83.44"
