Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38
28:03.2,1.6349926,1.3566105,0.98888105,1.8467183,1.0632887,0.6043147,0.26289254,1.0558859,1.4871935,0.76460874,0.26553065,1.5019879,0.84171486,0.16778843,-0.007045773,0.4941276,0.38068858,-0.32314754,-0.490817,0.50721824,807.0696,813.1135,856.63007,849.3773,935.6044,-0.240356445,0.144836426,0.947265625,1.173858643,1.450500488,2.00378418,1,1,1,1,1,67.19
28:03.7,1.6431692,1.3753986,0.881444,1.5933521,1.1070693,0.58736247,0.11989675,1.107561,1.4871935,0.7195813,0.26226333,1.365857,0.77588296,0.117503114,-0.06615554,0.51723677,0.5249254,-0.5190569,-0.49800977,0.5931743,831.2454,805.8608,867.9121,822.381,835.2747,-0.233886719,0.148925781,0.95135498,0.874786377,2.429962158,1.921539307,1,1,1,1,1,67.19
28:04.2,1.5651757,1.2833416,0.863894,1.4457297,1.1810911,0.70846826,0.018999401,1.0821269,1.4954733,0.34839457,0.30571923,1.3363225,0.73085314,0.094633475,-0.07034791,0.5587971,0.51607335,-0.43836635,-0.40810972,0.6108248,770.40295,820.3663,844.5421,753.47986,664.83514,-0.23034668,0.142089844,0.957946777,0.403747559,3.386993408,2.310333252,1,1,1,1,1,67.19
28:04.8,1.4705617,1.2171187,0.8660465,1.1544253,1.136231,0.82986087,0.60521317,1.0059922,1.2622632,0.4841875,0.40255785,1.291359,0.70244,0.16708504,-0.013579819,0.5781602,0.6173704,-0.21871565,-0.24743974,0.6136382,809.0842,836.8865,863.8828,781.685,730.10986,-0.247009277,0.13659668,0.956237793,0.381317139,4.074859619,-1.128997803,1,1,1,1,1,67.19
28:05.3,1.4896367,1.3243412,0.96423334,1.1037251,1.0621346,0.859391,0.72210926,0.8585658,1.3342377,0.57704467,0.39597836,1.2051125,0.78445125,0.25826165,-0.011749634,0.7027403,0.5496771,-0.14220054,-0.2030663,0.6113703,813.5165,816.337,834.4689,824.3956,813.91943,-0.232299805,0.136657715,0.954528809,1.360778809,2.00378418,1.570129395,1,1,1,1,1,67.19
28:05.8,1.5218644,1.2483386,1.620568,1.1545923,0.856662,0.7414922,0.79167515,0.56995445,1.3146535,0.57704467,0.42151305,1.1989943,0.84524095,0.21266864,0.090507254,0.7098936,0.53974956,-0.18314998,-0.2213057,0.5813312,839.304,764.35895,648.315,869.12085,944.4689,-0.230895996,0.153564453,0.947265625,1.06918335,2.168273926,2.624359131,1,1,1,1,1,67.19
28:06.3,1.4330962,1.4126626,2.1423233,1.1883962,0.6630196,0.6130023,0.7221661,0.45306206,1.3230956,0.56656057,0.44163525,1.2174269,0.8813423,0.12020215,0.10733647,0.64343333,0.43122634,-0.30482545,-0.26926076,0.41794685,799.41394,756.30035,818.7546,800.6227,643.0769,-0.223693848,0.147460938,0.953125,0.657958984,1.286010742,3.558959961,1,1,1,1,1,67.19
28:06.8,1.1272602,1.4234107,2.4028196,1.080762,0.5821122,0.5667878,0.76245946,0.33081466,1.3370619,0.40303966,0.5398733,1.265406,0.83382934,0.04191643,0.23780297,0.47181308,0.42006153,-0.34312838,-0.26728356,0.26131874,842.52747,814.7253,803.44324,840.5128,759.5238,-0.217712402,0.14276123,0.957641602,0.157012939,1.921539307,2.280426025,1,1,1,1,1,67.19
28:07.3,0.73998624,1.7995098,2.4128637,0.8585668,0.5250677,0.84285504,0.98168623,0.2903696,1.316936,0.48021322,0.58469623,1.2449065,0.76949877,0.14363454,0.2349741,0.32457814,0.3897886,-0.39267647,-0.21889833,0.05470126,767.98535,897.72894,806.6667,760.7326,738.1685,-0.214599609,0.141052246,0.958862305,0.590667725,2.422485352,2.497253418,1,1,1,1,1,67.19
28:07.8,0.5794833,1.8970233,2.365748,0.64054793,0.72569066,0.9842855,1.0851752,0.34413192,1.3026923,0.48021322,0.57319576,1.2387545,0.7101433,0.23195526,0.29444376,0.43505785,0.30201533,-0.40681377,-0.21571362,0.072065294,849.7802,804.2491,858.6447,872.3443,997.25275,-0.212097168,0.146728516,0.957397461,0.897216797,2.400054932,2.235565186,1,1,1,1,1,67.19
28:08.3,0.5794833,2.1388192,2.1129096,0.64054793,0.72569066,1.1316341,1.236259,0.34413192,1.3026923,0.36140746,0.4268303,1.2387545,0.7101433,0.3597656,0.26127908,0.43505785,0.30201533,-0.47827545,-0.19327988,0.072065294,843.73627,834.0659,854.61536,870.7326,947.28937,-0.201171875,0.147033691,0.958129883,0.785064697,1.831817627,2.392578125,1,1,1,1,1,67.19
28:08.8,0.5794833,2.1388192,2.1398697,0.64054793,0.72569066,1.1316341,1.3060006,0.34413192,1.3026923,0.36140746,0.40888837,1.2387545,0.7101433,0.3597656,0.29972985,0.43505785,0.30201533,-0.47827545,-0.194812,0.072065294,792.5641,817.5458,855.82416,790.9524,740.58606,-0.205383301,0.14630127,0.95501709,0.590667725,2.153320313,2.04864502,1,1,1,1,1,67.19
28:09.4,1.124776,1.4821126,1.697629,1.5294533,0.66639626,1.0536423,0.39714512,0.6459099,1.0759649,0.7405934,0.35339502,1.0788165,0.79076636,0.30159795,0.19648215,0.5308072,0.49619913,-0.087940305,-0.07922896,0.44551265,801.4286,839.707,877.1795,778.86444,724.0659,-0.200927734,0.146240234,0.961730957,0.575714111,2.616882324,2.631835938,1,1,1,1,1,67.19
28:09.9,1.0707713,1.332487,1.5839888,1.3730516,0.5878334,0.848213,0.57279116,0.51903385,1.1285436,0.7405934,0.71564287,1.1035963,0.7319203,0.21292067,0.2659723,0.5455402,0.3883102,-0.1910565,-0.15993904,0.36453924,807.47253,853.8095,868.315,821.5751,839.707,-0.193786621,0.148498535,0.958862305,0.471038818,1.884155273,2.04864502,1,1,1,1,1,67.16
28:10.4,0.98900807,1.2968789,1.4460051,1.234793,0.48619583,0.71117437,0.5419939,0.49448276,1.2705202,0.7442099,0.72170657,1.1006883,0.6750002,0.22352818,0.23293872,0.5379304,0.41029724,-0.22522116,-0.19433346,0.40108794,831.6484,850.18317,877.5824,869.12085,946.08057,-0.195495605,0.155212402,0.957763672,0.037384033,2.564544678,2.213134766,1,1,1,1,1,67.16
28:10.9,0.9039053,1.0603588,1.2081529,0.9392558,0.45547217,0.43220353,0.4973366,0.43596485,1.264279,0.36627397,0.7818654,1.0368998,0.5567359,0.16800398,0.27932814,0.4598103,0.54346853,-0.2592566,-0.34425485,0.3635551,842.52747,847.76556,872.74725,876.3736,942.8571,-0.194335938,0.14654541,0.958557129,0.351409912,2.975769043,2.370147705,1,1,1,1,1,67.16
28:11.4,1.0227182,1.0504879,0.9900833,1.0491096,0.569522,0.6197715,0.31741744,0.61245525,1.2634666,0.5018193,0.78395706,0.9647763,0.57705945,0.17694734,0.2823866,0.40503272,0.6102018,-0.22490288,-0.44365883,0.36115596,836.8865,848.5714,884.0293,848.97437,786.1172,-0.19934082,0.142944336,0.959777832,0.530853271,2.512207031,2.108459473,1,1,1,1,1,67.16
28:11.9,1.0466026,0.8507384,1.075944,1.0999542,0.64975554,0.68324155,0.3446692,0.68401897,1.2301232,0.68208677,0.7192345,0.9869233,0.5631697,0.17753933,0.30538484,0.3362829,0.6043113,-0.2394192,-0.4772106,0.26752338,821.1722,863.47986,788.1319,795.38464,685.38464,-0.200073242,0.145935059,0.960021973,0.852355957,2.213134766,3.065490723,1,1,1,1,1,67.16
28:12.5,1.2797378,0.9653115,1.2830113,1.2114329,0.90702826,0.7599933,0.86572546,0.8669584,1.436604,0.7387456,1.0272863,1.191946,0.6729198,0.23480462,0.5474214,0.53654915,0.49831423,-0.3739213,-0.27114677,0.26474887,813.5165,854.61536,866.7033,789.34064,777.6557,-0.198852539,0.147766113,0.96105957,0.84487915,3.229980469,3.102874756,1,1,1,1,1,67.16
28:13.0,1.4774686,0.9183103,1.3851379,1.3566341,0.9889183,0.6850805,0.97031254,0.93157446,1.4439458,0.6908305,1.0410092,1.2067235,0.70735455,0.22627352,0.5960241,0.5957978,0.43095142,-0.44534636,-0.22951372,0.21950622,805.05493,844.5421,855.0183,806.6667,910.6227,-0.197143555,0.150817871,0.961425781,1.188812256,2.482299805,2.153320313,1,1,1,1,1,67.16
28:13.5,1.4718564,0.9185484,1.2818202,1.3528929,0.9208001,0.58827466,0.9038179,0.8384804,1.4439458,0.5828508,1.0410092,1.2025415,0.7244171,0.14909522,0.5524192,0.6352552,0.30438197,-0.43804008,-0.24637567,0.13832997,834.0659,828.4249,847.3626,859.45056,995.64105,-0.203308105,0.145812988,0.962219238,0.321502686,2.75894165,2.93838501,1,1,1,1,1,67.16
28:14.0,1.3575752,0.875106,0.95290637,1.3087335,0.78990704,0.48591983,0.49298823,0.6992622,1.377785,0.63415086,0.9019017,1.1951635,0.65164757,0.0327889,0.21880421,0.5857468,0.23563342,-0.34749994,-0.36874518,0.04061647,864.2857,842.52747,870.32965,871.9414,897.72894,-0.196472168,0.150268555,0.963745117,0.800018311,2.355194092,3.072967529,1,1,1,1,1,67.16
28:14.5,1.1731178,1.0908768,0.681444,1.2099212,1.0951333,0.79772925,0.15325761,0.83466685,1.3994881,0.6205124,0.37441593,1.3124381,0.62910134,-0.030914322,-0.001607245,0.74383396,0.5155658,-0.25041628,-0.38180354,0.24087697,815.9341,851.39197,843.73627,801.4286,758.71796,-0.195678711,0.152099609,0.964172363,0.882263184,3.259887695,1.854248047,1,1,1,1,1,67.16
28:15.0,1.1273208,1.3578423,0.92179716,1.1149778,1.1957828,0.9269731,0.31831113,0.8986847,1.3999337,0.63422215,0.42878103,1.356228,0.63119185,-0.135263,0.003345177,0.7641729,0.58686733,-0.31084004,-0.41681916,0.33503878,783.69965,829.6337,877.98535,768.3883,712.7839,-0.202819824,0.145446777,0.963500977,0.433654785,2.80380249,2.91595459,1,1,1,1,1,67.16
28:15.5,1.0523374,1.3819993,0.95960844,1.012717,1.2256523,0.8996379,0.37285757,0.9264732,1.4282073,0.64539546,0.46592698,1.3556626,0.62782127,-0.09223177,0.001884651,0.7197567,0.56539917,-0.41765857,-0.43790406,0.38086948,824.7985,851.79486,849.7802,803.0403,834.0659,-0.193603516,0.148986816,0.96282959,1.286010742,2.362670898,3.461761475,1,1,1,1,1,67.16
28:16.1,0.7389562,1.2542042,0.99064004,0.6959543,0.94739544,0.6474992,0.35557792,0.6686548,1.4440184,0.49204302,0.47229782,1.4084859,0.5874992,-0.07947541,-0.024749683,0.48944634,0.5088926,-0.6217765,-0.4545659,0.45784512,817.5458,875.9707,849.3773,846.55676,976.7033,-0.189575195,0.155578613,0.959960938,1.009368896,2.856140137,2.87109375,1,1,1,1,1,67.16
28:16.6,1.0678926,1.0162129,1.1113356,0.87956035,0.8001211,0.35562047,0.58335584,0.5833326,1.4304197,0.47621974,0.48660526,1.370804,0.69261694,-0.08921007,0.104450285,0.54219776,0.62573457,-0.59338236,-0.27139607,0.5513775,865.4945,843.3333,846.1539,882.8205,927.1429,-0.187988281,0.151855469,0.954956055,0.777587891,1.854248047,2.168273926,1,1,1,1,1,67.16
28:17.1,1.155409,1.0341171,1.2119209,1.0033453,0.5896453,0.13973287,0.6533702,0.44921523,1.4202924,0.40927947,0.44812492,1.3378576,0.7498352,-0.14249337,0.13425669,0.60599554,0.71339583,-0.45987174,-0.12677772,0.630148,819.9634,844.1392,848.97437,813.5165,792.5641,-0.188232422,0.147888184,0.960510254,-0.560760498,2.400054932,2.444915771,1,1,1,1,1,67.16
28:17.6,1.1558745,1.0205537,1.1598772,1.2491379,0.47881532,-0.046305157,0.62231344,0.3683622,1.2478198,0.26036724,0.4968028,1.097109,0.7981647,-0.065441586,0.13873942,0.6181811,0.6994559,-0.32302177,-0.13506873,0.59639037,796.1905,840.10986,847.76556,780.4762,721.2454,-0.189697266,0.148742676,0.963745117,0.643005371,2.699127197,2.153320313,1,1,1,1,1,67.16
