Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26
40:56.3,-0.12539352,-0.5594152,-0.41613987,-0.10759895,-0.025828442,-0.56160253,-0.5337925,0.22298324,0.7520761,-0.21963151,-0.49194074,1.0577021,0.3804394,-0.2672764,-0.49318677,0.12867318,-0.08277383,-0.30832645,-0.61925906,-0.5272243,860.2564,864.68866,848.5714,886.04395,1013.7729
40:56.8,-0.14986244,-0.59013563,-0.58533156,-0.12920435,-0.060413826,-0.54365206,-0.7142497,0.04261371,0.79942673,-0.045420397,-0.25460124,1.0390624,0.441454,-0.33683288,-0.396069,0.18450758,-0.13843223,-0.39318407,-0.7097818,-0.3998198,832.4542,852.1978,842.9304,841.7216,784.10254
40:57.3,-0.04982667,-0.44213834,-0.61775064,-0.15796323,-0.014669622,-0.32772586,-0.8339144,-0.037074026,0.8961588,-0.03287048,-0.27372077,0.99136037,0.46277872,-0.30172563,-0.34692746,0.2231824,-0.26477855,-0.33807117,-0.7261186,-0.38396978,853.8095,848.5714,850.58606,819.5604,601.5751
40:57.8,0.03699679,-0.18404996,-0.29486948,-0.18036719,-0.010882416,-0.21659225,-0.614379,-0.1741628,0.91629887,-0.011899347,-0.20275435,1.1078881,0.44488108,-0.16278315,-0.30104464,0.24673241,-0.28550643,-0.25113478,-0.62522006,-0.35981572,842.1245,854.61536,840.9158,804.65204,671.28204
40:58.4,0.12291935,-0.07845743,0.05425064,-0.15849419,-0.0888292,-0.27557805,-0.5728682,-0.3565328,1.1098536,0.021886472,-0.2290299,1.0889287,0.38725564,-0.093356416,-0.3765046,0.22277139,-0.2193934,-0.23123439,-0.60568,-0.40299118,855.0183,860.65936,847.3626,874.7619,1044.3956
40:58.9,0.2561182,-0.07076302,0.17096934,0.18404242,0.06727276,-0.44498625,-0.4905812,0.025714733,1.1538184,0.016707007,-0.22449923,1.080117,0.39073923,-0.098879606,-0.48630005,0.1826361,-0.08359329,-0.26796037,-0.6827897,-0.49267027,850.989,862.674,855.42126,874.7619,1081.0623
40:59.4,0.24479997,-0.09094749,0.11417064,0.2182069,0.1766082,-0.38828328,-0.63441443,0.09998353,1.1624907,0.014416489,-0.35454232,0.9789568,0.31391573,-0.09741129,-0.5723865,0.12720259,-0.088099495,-0.33263475,-0.78132206,-0.5601841,849.3773,861.8681,850.18317,880.40295,1061.3187
40:59.9,0.102394484,-0.2005024,0.034250926,0.14611767,0.1985423,-0.39352176,-0.5313898,0.063967325,1.0175315,-0.018865457,-0.019740338,1.1125203,0.38809896,-0.07835234,-0.5481923,0.22732052,-0.08922697,-0.4496445,-0.79618824,-0.6050876,869.5238,859.45056,855.42126,876.3736,853.4066
41:00.4,-0.09092053,-0.17704263,0.069173746,-0.18025857,0.11251492,-0.28846797,-0.5464257,-0.29860416,0.93298674,-0.13171163,-0.04238257,1.2740484,0.38697943,-0.025827514,-0.57235867,0.24660762,-0.024587393,-0.65003407,-0.79917175,-0.53441757,850.989,849.7802,851.79486,814.3223,637.4359
41:01.0,-0.09701463,-0.30421785,0.10030926,-0.2809276,-0.097580306,-0.15947473,-0.3243474,-0.27838323,0.86929786,-0.09364769,-0.02308773,1.2940371,0.5060736,0.063987404,-0.45903572,0.41817337,0.004978053,-0.7397516,-0.7991905,-0.5411034,843.3333,851.79486,850.58606,801.02563,638.24176
