Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40
11:32.5,1.200105,0.38979825,0.31953245,1.8788036,0.76618916,0.39427197,0.049356885,0.6907841,1.6352818,0.51138294,0.3960821,0.7273134,0.6358627,0.062821195,0.49663582,0.57474726,0.42546183,-0.05450473,0.32785413,0.3987489,844.1392,841.7216,843.3333,1193.4799,878.7912,83.99998,94.00001,0.116394043,0.269470215,0.946289063,0.186920166,2.287902832,2.579498291,1,1,1,1,1,50.22
11:33.0,0.89647615,0.23714161,0.20437215,1.831284,0.5913853,0.21615082,-0.100336425,0.6385768,1.1933573,0.29119855,0.27920735,0.96398246,0.5519846,-0.031018611,0.4729358,0.5577593,0.46487734,-0.058729593,0.42643562,0.35301715,795.78754,850.58606,833.663,1216.4469,929.5604,93.99996,94.00001,0.120605469,0.273071289,0.950317383,0.411224365,3.394470215,1.876678467,1,1,1,1,1,50.22
11:33.5,0.25976312,-0.20848382,0.048507314,1.6720573,0.09625992,-0.09892412,-0.2790197,0.5289758,1.0769417,-0.02949008,0.08222689,1.0780897,0.47841507,-0.058921795,0.32308704,0.51761925,0.46443963,-0.1002,0.32220283,0.26173934,853.4066,854.61536,848.1685,1098.3883,888.46155,100,100,0.120849609,0.273803711,0.952026367,0.157012939,2.100982666,1.659851074,1,1,1,1,1,50.22
11:34.0,0.2797824,-0.047507286,-0.02124479,1.6614432,0.13933478,-0.076216124,-0.32602414,0.36675084,1.2674818,0.119716726,0.1043211,1.1176347,0.42687142,-0.009676709,0.1874294,0.47869447,0.43270218,-0.10793822,0.2530228,0.24261914,846.1539,840.9158,853.8095,1032.3077,842.1245,100,100,0.116699219,0.271850586,0.949523926,0.725250244,3.050537109,1.682281494,1,1,1,1,1,50.22
11:34.5,0.10894654,0.1301422,0.12094247,1.6957992,0.10397286,-0.18562417,-0.47930926,0.35474858,1.3739748,0.09324189,0.06593589,1.1138859,0.36904576,-0.00999758,-0.15436688,0.46983057,0.34751508,-0.22007301,0.028044265,0.39549613,910.6227,863.8828,846.1539,862.27106,815.9341,100,100,0.117736816,0.272460938,0.950744629,0.441131592,1.704711914,2.82623291,1,1,1,1,1,50.22
11:35.0,0.10694728,0.3047581,0.2892686,1.7879406,0.13696185,-0.15536453,-0.5119154,0.40660438,1.3592471,0.09050104,-0.06605602,1.073233,0.47112176,0.0723433,-0.099429555,0.4945665,0.33815217,-0.21831582,-0.042449348,0.48618984,814.3223,832.8571,862.27106,1147.1428,859.0476,100,100,0.119384766,0.269836426,0.950439453,0.291595459,2.721557617,2.220611572,1,1,1,1,1,50.22
11:35.5,0.023429638,0.45954284,0.3883474,1.8218685,0.11302054,-0.18645912,-0.2869017,0.5257359,1.348237,-0.042153183,-0.099549726,0.8991024,0.4939483,0.03976144,-0.08030886,0.5186642,0.3598733,-0.13344607,-0.07508908,0.5540242,913.44324,845.7509,855.0183,1062.1245,796.5934,100,100,0.118530273,0.266662598,0.954650879,0.747680664,3.140258789,2.071075439,1,1,1,1,1,50.22
11:36.0,-0.002462811,0.48682633,0.4103009,1.9452692,0.054367,-0.086968176,-0.074829966,0.43278688,0.8393055,-0.17335698,-0.026077794,0.8473264,0.43756837,-0.026363168,-0.01861709,0.569729,0.33492413,-0.08744647,-0.10378606,0.50971556,894.10254,840.10986,846.55676,1060.9158,811.9048,100,100,0.115234375,0.270874023,0.948547363,0.545806885,3.095397949,2.654266357,1,1,1,1,1,50.22
11:36.5,-0.13094956,0.44821653,0.22797473,1.4764626,-0.05522989,-0.11000687,-0.02668678,0.9103383,0.5862656,-0.22081465,-0.03195315,0.73831683,0.30625835,-0.20842092,-0.15289596,0.29649356,0.23370592,-0.10098906,-0.11311876,0.3214602,913.8461,852.6007,854.21246,909.81683,762.74725,100,100,0.123474121,0.272460938,0.950439453,0.710296631,2.519683838,2.310333252,1,1,1,1,1,50.22
11:37.1,0.73064077,0.35917786,0.13726167,1.8309261,0.05373301,-0.13076223,-0.0616485,0.8439541,0.75681305,-0.20010386,-0.035343982,0.8143917,0.30789152,-0.31529167,-0.25072742,0.27898735,0.3145151,-0.096153416,-0.13000295,0.38704994,899.7436,842.1245,864.2857,945.2747,811.0989,100,100,0.113891602,0.273986816,0.949157715,0.575714111,2.699127197,2.542114258,1,1,1,1,1,50.22
11:37.6,1.5433866,0.8391999,0.37198952,1.8309261,0.17134205,0.12972431,-0.08169102,0.8439541,0.7249609,-0.057435516,0.12395866,0.8143917,0.3618432,-0.17063817,-0.2863909,0.27898735,0.31821623,-0.1798523,-0.20895997,0.38704994,890.87915,849.7802,847.76556,955.34796,796.99634,90.00001,98,0.123352051,0.270263672,0.948425293,0.127105713,2.930908203,1.637420654,1,1,1,1,1,50.22
11:38.1,1.6657808,1.2673723,0.92916554,2.0210943,0.41961607,0.46012858,0.26248085,0.6810866,0.9708786,0.3490905,0.33389512,0.6780444,0.39378443,-0.07915514,-0.07155059,0.21883865,0.33837813,-0.23840562,-0.15646952,0.46251202,918.2784,847.3626,843.73627,925.9341,768.7912,80.000015,88.000015,0.127197266,0.269836426,0.951416016,0.351409912,2.669219971,2.370147705,1,1,1,1,1,50.22
11:38.6,1.6364411,1.2706335,0.93692106,2.0210943,0.41421515,0.47146899,0.3052047,0.6810866,0.94101965,0.3774349,0.33389512,0.6780444,0.3800116,0.003863632,0.011160578,0.21883865,0.25150353,-0.23984404,-0.121872075,0.46251202,810.696,850.58606,855.82416,1200.3297,921.50183,72.00003,80.000015,0.118041992,0.269714355,0.951538086,0.396270752,2.84866333,2.489776611,1,1,1,1,1,50.22
11:39.1,1.1663624,1.1568807,0.91005665,2.0210943,0.47650996,0.37929657,0.2547924,0.6810866,0.8995624,0.38571557,0.30465528,0.6780444,0.42929065,0.093518354,0.056380827,0.21883865,0.2593105,-0.09312215,-0.019431183,0.46251202,790.14655,851.79486,841.31866,1120.1465,929.5604,60.00004,72.00003,0.120361328,0.268493652,0.94921875,0.829925537,3.259887695,2.467346191,1,1,1,1,1,50.22
11:39.6,0.56994206,0.5856405,0.41469806,1.9286585,0.35517704,-0.045132685,-0.05556848,0.47235695,0.7388327,0.23695952,-0.07201155,0.30008674,0.37005877,0.081701405,-0.063435264,0.42198157,0.24657781,-0.110523105,-0.03426896,0.3590237,839.304,850.18317,846.1539,939.6337,888.86444,62.00004,82.000015,0.121643066,0.275085449,0.950683594,0.710296631,3.274841309,3.304748535,1,1,1,1,1,50.22
11:40.1,0.33217302,0.5965821,0.4169081,1.8948059,0.2635219,-0.11588841,-0.17629886,0.4770111,0.7368982,0.22763824,-0.08518488,0.50707155,0.38423085,0.06548176,-0.14171499,0.413799,0.23014747,-0.098383695,0.01420639,0.32944417,846.1539,845.34796,863.47986,664.0293,869.5238,70.00003,90.00001,0.122558594,0.271972656,0.950927734,0.792541504,1.973876953,2.474822998,1,1,1,1,1,50.22
11:40.6,0.1016075,0.5977606,0.42468306,1.830087,0.14718427,-0.09605748,-0.10942107,0.48530743,0.67300856,0.21712206,0.08994587,0.49500936,0.38435543,-0.051157437,-0.18431899,0.41566956,0.1889967,-0.0985985,0.06899739,0.3437152,894.10254,844.1392,852.6007,576.5934,832.0513,82.000015,100,0.122741699,0.270324707,0.950378418,0.702819824,2.168273926,2.078552246,1,1,1,1,1,50.22
11:41.1,-0.15517454,0.40258786,0.44589883,1.6742585,0.061114114,-0.15693189,-0.13776764,0.4586752,0.43198797,0.20552838,0.134871,0.473218,0.43579414,-0.07051729,-0.12874582,0.4278114,0.15731184,-0.00723713,0.0082871,0.30853266,839.707,842.9304,842.9304,578.60803,823.1868,86.000015,100,0.12713623,0.272949219,0.950195313,0.545806885,2.82623291,1.854248047,1,1,1,1,1,50.2
11:41.6,-0.29024965,0.2121992,0.36951578,1.6742585,0.0677571,-0.23388933,-0.22251877,0.4586752,0.4662014,0.19418052,0.20332685,0.473218,0.4142467,-0.112467796,-0.09029022,0.4278114,0.09061704,-0.06594249,-0.11049153,0.30853266,897.72894,836.4835,850.989,645.89746,799.41394,94.00001,100,0.124511719,0.271179199,0.949401855,-0.08972168,2.220611572,2.0262146,1,1,1,1,1,50.2
11:42.2,-0.22836742,0.29671273,0.31882527,1.6742585,-0.038192656,-0.004385511,-0.19002187,0.4586752,0.5779007,0.13353996,0.25551343,0.473218,0.3543626,-0.10437296,-0.051781457,0.4278114,0.05315862,-0.14349371,-0.31188527,0.30853266,865.89746,850.58606,854.61536,1136.2638,821.978,100,100,0.121520996,0.274475098,0.945617676,0.328979492,3.162689209,2.235565186,1,1,1,1,1,50.2
11:42.7,0.41555315,0.46558157,0.17219724,1.6742585,0.18187441,0.10037171,-0.22778565,0.4586752,0.84506726,0.18465652,0.20546415,0.473218,0.39344504,-0.15755297,-0.05598013,0.4278114,0.12019665,-0.28318998,-0.29817605,0.30853266,805.8608,851.79486,853.00366,1034.3224,919.4872,100,100,0.124572754,0.272521973,0.947387695,-0.097198486,3.267364502,2.198181152,1,1,1,1,1,50.2
11:43.2,0.79895514,0.5804397,0.34195912,1.6742585,0.398238,0.24954866,-0.060446844,0.4586752,0.8577482,0.30434442,0.21064469,0.473218,0.42581,-0.15025817,-0.015706124,0.4278114,0.15688302,-0.24475387,-0.15676108,0.30853266,812.3077,846.1539,850.18317,623.3333,905.78754,100,100,0.128662109,0.274963379,0.953674316,1.263580322,1.570129395,2.385101318,1,1,1,1,1,50.2
11:43.7,1.0224897,0.66551596,0.2496261,1.6742585,0.48081094,0.15084876,-0.17612444,0.4586752,0.8577482,0.25571716,0.11713178,0.473218,0.43461862,-0.17881367,-0.003009756,0.4278114,0.21558325,-0.2257985,-0.038839184,0.30853266,882.4176,850.18317,846.55676,587.8755,786.1172,100,100,0.129882813,0.274841309,0.948547363,0.687866211,2.228088379,2.272949219,1,1,1,1,1,50.2
11:44.2,0.95938414,0.71507466,0.39808193,1.6742585,0.38382703,0.13397172,-0.12850937,0.4586752,0.52474606,0.301173,0.06468962,0.473218,0.46244705,-0.03710159,0.15334561,0.4278114,0.16007811,-0.23153663,0.004258658,0.30853266,900.9524,842.1245,849.7802,1012.96704,832.0513,94.00001,100,0.126281738,0.267150879,0.953674316,0.149536133,2.400054932,1.86920166,1,1,1,1,1,50.2
11:44.7,0.9005095,1.1451527,0.48225996,1.6742585,0.3444419,0.4131645,-0.23994231,0.4586752,0.39139292,0.5221182,0.040272474,0.473218,0.43814024,0.03810331,0.19855809,0.4278114,0.18984725,-0.20759906,0.023791136,0.30853266,809.4872,853.4066,848.97437,1015.78754,893.69965,84.000015,100,0.132995605,0.268432617,0.95098877,1.241149902,2.729034424,2.691650391,1,1,1,1,1,50.2
11:45.2,0.67818636,1.1898313,0.5262433,1.6742585,0.37306255,0.43328232,-0.16405845,0.4586752,0.31335533,0.5221182,0.16106506,0.473218,0.4172339,0.048033003,0.21456873,0.4278114,0.24779522,-0.21815182,-0.012899729,0.30853266,868.315,844.94507,851.79486,968.24176,810.696,74.00002,100,0.129211426,0.274719238,0.951477051,-0.284118652,2.228088379,4.134674072,1,1,1,1,1,50.2
11:45.7,0.7638206,1.1573913,0.5433236,1.6742585,0.3904442,0.4540695,-0.08748949,0.4586752,0.36098874,0.5235929,0.21338367,0.473218,0.34724852,0.022027109,0.0720245,0.4278114,0.2919385,-0.22967409,-0.04972716,0.30853266,919.0842,860.2564,832.8571,931.978,776.04395,64.00003,100,0.133789063,0.27154541,0.949035645,0.157012939,3.132781982,1.517791748,1,1,1,1,1,50.2
11:46.3,1.2098297,0.779338,0.79079866,1.9814047,0.360018,0.16915002,0.17742358,0.93868244,0.48273107,0.3000177,0.6028992,0.86013496,0.4362552,0.051945727,-0.003093379,0.64892733,0.3134918,-0.38200247,-0.09528767,0.32745,860.65936,849.7802,854.61536,879.59705,880,54.000046,100,0.136169434,0.263916016,0.947998047,-0.284118652,2.579498291,1.727142334,1,1,1,1,1,50.2
11:46.8,1.1998581,0.50467837,0.8281731,1.9814047,0.23398882,0.19614172,0.28372765,0.93868244,0.49262318,0.26110172,0.6141017,0.86013496,0.4194821,0.028203221,-0.05558656,0.64892733,0.31322306,-0.29494715,0.003419141,0.32745,803.0403,844.94507,849.7802,937.619,966.63007,44.000046,100,0.136108398,0.269775391,0.949462891,0.643005371,2.930908203,2.011260986,1,1,1,1,1,50.2
11:47.3,1.1578872,0.42338437,0.75568324,2.0132778,0.16971534,0.12531166,0.2118704,0.9952152,0.4632907,0.2618625,0.60966486,0.85656583,0.35630816,-0.010196747,-0.015408691,0.66819763,0.2268098,-0.22973178,0.018378016,0.31072906,811.9048,855.42126,863.8828,1021.02563,885.64105,34.00004,100,0.128356934,0.259033203,0.962890625,-0.418701172,3.910369873,3.910369873,1,1,1,1,1,50.2
11:47.8,0.30296826,0.27095783,0.09737671,2.0274684,0.2895228,0.15974556,-0.14527419,1.041407,0.56465,0.17945565,0.3756937,0.82314926,0.24282983,-0.12726289,-0.025677485,0.674068,0.17276616,-0.21988022,-0.03214623,0.27858466,795.38464,846.1539,840.5128,973.8828,929.5604,30.000036,100,0.127075195,0.270080566,0.946960449,0.732727051,2.98324585,2.84866333,1,1,1,1,1,50.2
11:48.3,0.3201135,0.34281877,-0.001969389,2.0274684,0.41426292,0.1181825,-0.3427914,1.041407,0.540938,0.000846,-0.29188088,0.82314926,0.27690068,-0.17286213,-0.0129101,0.674068,0.01285269,-0.348916,-0.2355901,0.27858466,853.00366,845.7509,853.00366,1002.8938,808.68134,30.000036,100,0.130859375,0.269714355,0.949584961,0.306549072,2.78137207,2.078552246,1,1,1,1,1,50.2
11:48.9,0.27811,0.33033076,0.18191184,1.8253561,0.43600997,0.09619876,-0.1007852,1.1626049,0.54589725,0.041126966,-0.3129648,0.909947,0.295067,-0.22027251,-0.03442827,0.5256342,0.090897396,-0.41730934,-0.26787746,0.42858422,925.9341,852.6007,863.47986,902.5641,743.8095,32.00004,100,0.132568359,0.266906738,0.950927734,0.179443359,2.80380249,2.220611572,1,1,1,1,1,50.2
11:49.4,0.25977322,0.19847353,0.15390995,1.6747664,0.2661584,-0.15680943,-0.04348775,1.1765913,0.50660443,0.07739512,-0.28894627,0.9293929,0.28089377,-0.15688103,-0.010875414,0.48721308,0.1723204,-0.3274349,-0.32506043,0.38893634,889.2674,841.7216,850.18317,846.1539,844.1392,42.000042,100,0.13067627,0.268066406,0.950561523,0.687866211,2.639312744,2.325286865,1,1,1,1,1,50.2
