Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38
54:59.7,0.50733685,-0.15286437,0.31775385,0.4438966,-0.13530232,-0.60928243,0.1665343,0.13443208,0.2801467,-0.12352699,0.10343832,0.3522515,0.12490157,0.11680235,-0.41578746,-0.030755296,-0.3778845,-0.35593095,-0.5156141,-0.32803673,830.4396,882.4176,843.73627,833.663,743.00366,0.273193359,0.282470703,0.913574219,0.097198486,2.706604004,2.407531738,1,1,1,1,1,81.48
55:00.2,0.6403121,0.3764411,0.41664478,0.65076596,0.012296845,-0.5109797,0.2502647,0.30932263,0.2562818,-0.23045214,0.10343832,0.37304127,0.09834243,0.20799316,-0.41711354,-0.10528905,-0.48608732,-0.2991941,-0.52979743,-0.4109418,831.2454,904.17584,845.34796,836.4835,820.7692,0.279418945,0.283508301,0.918945313,0.88973999,2.385101318,2.287902832,1,1,1,1,1,81.48
55:00.7,0.57857144,0.6783948,0.4333559,0.7102262,0.14405987,-0.6401842,0.26885188,0.42306384,0.23488668,-0.6358641,0.0997951,0.34699172,0.18302475,0.26541138,-0.46464694,0.19508402,-0.3881116,-0.45896316,-0.572054,-0.2842913,851.79486,898.93774,856.2271,853.00366,880.80585,0.275634766,0.278869629,0.916320801,0.142059326,3.274841309,3.723449707,1,1,1,1,1,81.48
55:01.2,0.7460775,0.6725236,0.26160413,0.7279741,0.2900716,-0.063566394,-0.06438659,0.47446716,0.40003258,0.079632066,-0.024224967,0.43337896,0.25967935,0.3010664,-0.49847814,0.25966263,-0.32932046,-0.34442416,-0.6987691,-0.1910183,886.04395,922.71063,848.97437,891.685,923.1135,0.266723633,0.265197754,0.919677734,2.078552246,7.334747314,6.803894043,1,1,1,1,1,81.48
55:01.7,0.73721087,0.6725236,0.5126497,0.68713427,0.3127126,-0.063566394,0.032359704,0.5037381,0.40003258,0.079632066,0.06492098,0.43236175,0.28950828,0.3010664,-0.4124305,0.28835317,-0.28803036,-0.34442416,-0.6602625,-0.15863428,848.97437,930.3663,842.1245,847.3626,810.696,0.250854492,0.263916016,0.919616699,2.639312744,2.422485352,4.87487793,1,1,1,1,1,81.48
55:02.2,0.89422494,1.1857804,0.8717125,0.72432595,0.40875602,0.30776414,0.35245195,0.57603574,0.40003258,0.37792045,0.28300673,0.34463367,0.3944927,0.34181038,-0.21866457,0.40285873,-0.16377126,-0.17099576,-0.63939124,-0.029045956,818.7546,902.5641,853.4066,828.022,790.14655,0.219543457,0.237121582,0.938232422,-0.747680664,3.140258789,-0.291595459,1,1,1,1,1,81.48
55:02.8,0.89422494,1.1515194,1.0193226,0.72432595,0.40875602,0.089441165,0.46513316,0.57603574,0.40003258,0.37496436,0.2938603,0.34463367,0.3944927,0.36609477,-0.12222725,0.40285873,-0.16377126,-0.01717261,-0.48500907,-0.029045956,826.8132,898.93774,857.4359,832.0513,803.0403,0.268005371,0.25402832,0.931152344,3.828125,-0.104675293,1.420593262,1,1,1,1,1,81.45
55:03.3,0.89422494,1.1542171,1.0621659,0.72432595,0.40875602,0.18514608,0.40144128,0.57603574,0.40003258,0.38853228,0.25718915,0.34463367,0.3944927,0.35434747,-0.06480833,0.40285873,-0.16377126,-0.06827755,-0.32370704,-0.029045956,862.27106,912.23444,842.9304,834.4689,846.55676,0.246948242,0.245300293,0.930358887,0.807495117,4.254302979,1.757049561,1,1,1,1,1,81.45
55:03.8,1.275856,1.3573688,0.9489081,1.0208232,0.5172067,0.60252684,0.1435689,0.26976925,0.85367507,0.17719212,0.23932813,1.1612792,0.31316984,0.3782814,-0.03118666,0.21205981,-0.1061586,-0.010987921,-0.1959689,0.020206848,867.50916,878.3883,837.6923,857.4359,909.41394,0.261047363,0.260437012,0.933166504,1.278533936,2.243041992,0.605621338,1,1,1,1,1,81.45
55:04.3,1.1438669,1.4658462,0.7413958,0.89803153,0.48527724,0.62336755,-0.16013192,0.2522946,0.9085222,0.12786971,0.2943333,1.1696825,0.3499891,0.39904323,0.017843012,0.2527417,-0.121479094,0.08553762,-0.11321828,0.088227175,883.6264,864.2857,866.30035,894.90845,877.98535,0.25201416,0.261657715,0.934020996,1.555175781,2.945861816,2.205657959,1,1,1,1,1,81.45
